"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alchemilla t.","Algae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Elaeagnus","Ephedra","Erica t.","Erodium","Euphorbiaceae undif.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Filipendula t.","Fraxinus","Galium t.","Indeterminable","Juglans","Lamiaceae undif.","Linum t.","Myriophyllum undif.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Quercus undif.","Ranunculaceae undif.","Resedaceae undiff.","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sarcopoterium","Secale","Sparganium","Spike","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Vitis"
"203.0",NA,NA," 10.0","  3.6","  0.0","  0.0","  0.0","  0.0","  0.0","140.0","  0.0","  5.0","  0.0","114.0","  0.0","  0.0","  2.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  1.0","  0.0","  4.0","  8.0","  0.0","  0.0","  4.0"," 15.0","  5.0","  4.0","  0.0","  1.0","  0.0","  0.0","  0.0","  1.0","  0.0","  3.0","  0.0","  0.0","  1.0","  4.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0"," 96.0","  1.0","  6.0","  0.0","  0.0"," 10.0","  1.0","  0.0","  0.0"," 23.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  1.0","  1.0"," 83.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"379",NA,NA," 26","  3","  0","  0","  0","  1","  0"," 77","  0","  3","  5","204","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  3","  0","  2","  1","  2","  0","  3","  9","  2","  1","  0","  0","  0","  0","  0","  1","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","105","  1","  9","  0","  0"," 13","  0","  0","  0"," 15","  0","  0","  4","  0","  0","  0","  0","  0","  0","  1","  0","  0"," 39","  0","  0","  0","  0","  1","  0"
"555.0",NA,NA," 42.0","  3.2","  0.0","  0.0","  0.0","  0.0","  0.0"," 72.0","  0.0","  2.0","  0.0"," 59.0","  0.0","  0.0","  2.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  1.0","  0.0","  0.0","  5.0","  2.0","  0.0","  1.0"," 28.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","202.0","  0.0","  3.0","  0.0","  0.0"," 15.0","  0.0","  0.0","  0.0"," 11.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  1.0"," 65.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0"
"818.0",NA,NA," 66.0","  3.4","  0.0","  0.0","  0.0","130.0","  0.0"," 80.0","  0.0","  1.0","  2.0","142.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  1.0","  0.0","  4.0","  0.0","  0.0"," 12.0","  0.0","  1.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  7.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","144.0","  1.0","  1.0","  0.0","  0.0"," 10.0","  0.0","  0.0","  0.0"," 11.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 30.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0"
"1082.0",NA,NA,"  90.0","   2.2","   0.0","   0.0","   0.0"," 963.0","   1.0","   9.0","   2.0","   1.0","   1.0","  81.0","   0.0","   0.0","   2.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   4.0","   1.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","  45.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   1.0","   3.0","   1.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 129.0","   0.0","  13.0","   0.0","   0.0","  85.0","   3.0","   0.0","   0.0","  29.0","   2.0","   1.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","   3.0","   0.0","   0.0"," 207.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"1238.0",NA,NA," 106.0","   3.2","   0.0","   0.0","   0.0","  60.0","   3.0","  29.0","   0.0","   5.0","   3.0"," 143.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   1.0","   5.0","   8.0","   0.0","   5.0","  10.0","   1.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 113.0","   0.0","  15.0","   0.0","   0.0","  25.0","   2.0","   0.0","   0.0","  45.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","   1.0","   0.0","   0.0","  34.0","   1.0","   0.0","   0.0","   0.0","   2.0","   0.0"
"1338.0",NA,NA," 130.0","   3.2","   0.0","   0.0","   0.0","   3.0","   0.0","  89.0","   0.0","   2.0","   1.0"," 141.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   1.0","   1.0","   1.0","   0.0","   0.0","  19.0","   2.0","   0.0","   8.0","  13.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   2.0","   0.0","   0.0","   0.0","   2.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 154.0","   0.0","  21.0","   0.0","   0.0","  27.0","   0.0","   2.0","   0.0","  12.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","  74.0","   2.0","   0.0","   0.0","   1.0","   0.0","   0.0"
"1405.0",NA,NA," 146.0","   2.4","   0.0","   0.0","   0.0","  16.0","   3.0","  28.0","   0.0","   4.0","   5.0"," 171.0","   0.0","   0.0","   1.0","   2.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   2.0","   0.0","   2.0","   7.0","   5.0","   0.0","   7.0","  10.0","  10.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   9.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  50.0","   1.0","  24.0","   3.0","   0.0","  62.0","   5.0","   0.0","   0.0","  27.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   3.0","   0.0","   5.0","   1.0","   1.0"," 105.0","   1.0","   0.0","   0.0","   0.0","   3.0","   0.0"
"1536.0",NA,NA," 170.0","   3.2","   0.0","   0.0","   0.0","  27.0","   1.0","  18.0","   0.0","   1.0","   0.0"," 131.0","   0.0","   0.0","   0.0","   1.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   3.0","   3.0","   0.0","   1.0","   3.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   1.0","   0.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 163.0","   0.0","   9.0","   0.0","   0.0","  31.0","   2.0","   0.0","   0.0","  15.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","  72.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"1630",NA,NA," 186","   3","   0","   0","   0"," 920","   1","   5","   0","   3","   4","  15","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   5","  28","   7","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0"," 242","   1","   1","   0","   0","  64","   2","   0","   0","  37","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","  58","   4","   0","   0","   0","   0","   0"
