"Sample age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Acacia t.","Acalypha","Acanthaceae undif.","Adenia","Aerva type","Albizia","Alchornea","Amaranthaceae undif.","Annonaceae","Antidesma t.","Apiaceae undif.","Apocynaceae undif.","Artemisia","Asteraceae","Bombax","Borreria t.","Brassicaceae","Bridelia","Caesalpinioideae","Capparaceae undif.","Capparis","Caryophyllaceae undif.","Cassia","Celtis","Chrozophora","Chrysobalanus t.","Cissampelos","Cissus t.","Cleome","Combretaceae","Commelina","Commiphora","Cyperaceae","Detarium","Diospyros/Euclea t.","Elaeis","Ephedra","Euphorbiaceae undif.","Faboideae Undif.","Ficus","Heliotropium","Hymenocardia","Hyphaene t.","Indeterminable","Indigofera","Ipomoea","Irvingia","Kohautia","Lamiaceae undif.","Lannea","Macaranga","Malva undif.","Meliaceae undif.","Mitracarpus","Mitragyna/Hallea","Monoletes","Moraceae undif.","Morelia","Myriophyllum alterniflorum t.","Nymphaea","Oldenlandia","Olea t.","Onagraceae","Periploca","Petaloid monocot","Phoenix t.","Phyllanthus undif.","Piliostigma","Poaceae","Polygala","Polygonum t.","Potamogeton","Rubiaceae undif.","Salvadora","Sapindaceae undif.","Scrophulariaceae undif.","Securinega  t.","Sesbania","Sideroxylon t.","Solanum","Spergularia t.","Syzygium t.","Tephrosia","Triletes","Typha","Uapaca","Vernonieae","Ximenia","Ziziphus/Paliurus"
"4716.743"," 157.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","  30.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","  54.000","   1.000","   0.000","   1.000","   1.000","   1.000","   1.000","   0.000","   0.000","   2.000","   0.000","   2.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   1.000","   0.000","   3.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 258.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   4.000","   3.000","   0.000","   0.000","   0.000"
"4836.468"," 162.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  15.000","   5.000","   0.000","   0.000","   0.000","   0.000","   2.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   2.000","   0.000","   0.000","   1.000","   0.000","   0.000","   6.000","   0.000","   0.000","  92.000","   0.000","   0.000","   0.000","   0.000","   1.000","   2.000","   0.000","   0.000","   1.000","   0.000","   6.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   7.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000"," 369.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   4.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   1.000"
"5028.027"," 170.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  31.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   2.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000"," 113.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   1.000","   0.000","  10.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   7.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000"," 328.000","   0.000","   0.000","   0.000","   3.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   3.000","   1.000","   0.000","   0.000","   0.000"
"5123.807"," 174.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","  34.000","   4.000","   1.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   7.000","   1.000","   0.000","  70.000","   1.000","   0.000","   1.000","   0.000","   1.000","   4.000","   0.000","   0.000","   4.000","   0.000","   7.000","   1.000","   0.000","   1.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   4.000","   0.000","   0.000","   4.000","   0.000","   1.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 284.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","  10.000","   1.000","   0.000","   0.000","   1.000","   3.000","   0.000","   0.000"
"5267.477"," 180.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  23.000","   2.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  12.000","   0.000","   0.000","  91.000","   1.000","   0.000","   0.000","   0.000","   0.000","   9.000","   0.000","   0.000","   1.000","   0.000","   4.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   1.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 297.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  10.000","   0.000","   0.000","   2.000","   5.000","   0.000","   0.000","   0.000"
"5482.981"," 189.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  10.000","   1.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","  50.000","   1.000","   0.000","   0.000","   0.000","   1.000","   5.000","   0.000","   0.000","   3.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   1.000","   2.000","   0.000"," 224.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   2.000","   0.000","   0.000","   1.000","   5.000","   0.000","   0.000","   0.000"
"5722.431"," 199.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  10.000","   3.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   1.000","   0.000","  77.000","   1.000","   0.000","   1.000","   0.000","   1.000","   3.000","   0.000","   2.000","   3.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   1.000","   1.000","   1.000","   3.000","   0.000","   3.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000"," 287.000","   0.000","   0.000","   0.000","   1.000","   2.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   1.000","   1.000","   7.000","   0.000","   0.000","   0.000"
"5890.046"," 206.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   7.000","   2.000","   1.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   0.000","  96.000","   1.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   3.000","   0.000","   3.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   2.000","   0.000","   0.000","   3.000","   0.000","   2.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 389.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   9.000","   0.000","   1.000","   1.000","   8.000","   0.000","   0.000","   0.000"
"6081.605"," 214.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   9.000","   4.000","   0.000","   1.000","   0.000","   0.000","   0.000","   3.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   8.000","   0.000","   0.000","  66.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   1.000","   3.000","   0.000","  12.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   7.000","   0.000","   0.000","   0.000","   7.000","   1.000","   2.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000"," 350.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  18.000","   0.000","   0.000","   1.000","  12.000","   0.000","   0.000","   0.000"
"6297.11"," 223.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   4.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   2.00","   0.00","   0.00","   1.00","   0.00","   0.00","  10.00","   0.00","   0.00"," 106.00","   0.00","   0.00","   0.00","   0.00","   1.00","   1.00","   0.00","   0.00","   0.00","   0.00","   7.00","   1.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   8.00","   0.00","   0.00","   0.00","   5.00","   0.00","   2.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00"," 418.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","  21.00","   0.00","   0.00","   1.00","  26.00","   0.00","   0.00","   0.00"
