"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acer","Alchemilla t.","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Brassicaceae","Cannabaceae undif.","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cyperaceae","Ephedra","Fabaceae Undif.","Fern","Juglans","Juncaceae","Lamiaceae undif.","Lythrum","Monoletes","Myriophyllum undif.","Olea t.","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Primulaceae undif.","Quercus evergreen","Ranunculaceae undif.","Rosaceae undif.","Sanguisorba t.","Sesamum","Tamarix","Triletes","Typha","Unknown"
"2122",NA,NA,"  70","   3","   2","  15","   6","   2","  21","  11","   0","   1","   0","   2","   1"," 146","  57","   0","   0","   0","   0","  91","   3","   0","   0","   0","   1","   5","   0","   3"," 153","   0","   0","   0","   1","  22","   0","   0","   0","   0","   0","   0","  20","   2"
"2213",NA,NA,"  73","   0","   3","   3","  11","   3","  30","  13","   0","   0","   0","   0","   5","  69","  31","   0","   0","   0","   0","  40","   6","   0","   0","   0","   0","   5","   0","   6"," 149","   0","   0","   3","   2","   9","   3","   0","   0","   0","   0","   0","   1","   2"
"2304",NA,NA,"  76","   0","   0","  16","   6","  12","  22","   8","   0","   0","   0","   1","   0","  62","  19","   0","   5","   0","   0","  10","   3","   0","   0","   0","   0","  12","   0","  34","  92","   0","   2","   2","   0","  22","   3","   0","   0","   0","   0","   0","  17","   6"
"2486",NA,NA,"  82","   1","   0","  15","   9","   7","  39","   5","   1","   1","   0","   0","   4","  57","  25","   1","   0","   0","   0","   5","   5","   0","   2","   0","   2","   6","   0","   1","  97","   0","   0","   0","   0","  51","   0","   0","   0","   0","   0","   0","  21","   0"
"2547",NA,NA,"  84","   0","   0","   8","  14","   4","  37","   7","   0","   6","   0","   7","   4","  34","   8","   0","   2","   0","   1","  25","   1","   0","   0","   0","   0","   4","   0","   3","  97","   0","   0","   3","   0","  53","   5","   3","   0","   0","   0","   0","  19","   2"
"2668",NA,NA,"  88","   0","   1","   5","  13","  11","  26","   7","   0","   0","   0","   6","   3","  34","  27","   0","   1","   0","   0","  20","   1","   0","   2","   0","   0","   1","   0","   3"," 146","   2","   0","   2","   0","  36","   4","   1","   0","   0","   0","   0","  10","   0"
"2789",NA,NA,"  92","   0","   5","   2","  10","   7","  39","   1","   0","   0","   2","   4","   0","  71","  45","   0","   0","   0","   0","  85","   1","   0","   3","   0","   2","   0","   0","   0"," 117","   0","   0","   3","   0","  59","   0","   1","   0","   0","   0","   0","  20","   0"
"2911",NA,NA,"  96","   0","   1","   3","   7","   6","  18","   6","   0","   0","   0","   2","   1","  46","  34","   1","   1","   0","   0","  58","   1","   0","   3","   0","   0","   7","   0","   8"," 127","   0","   0","   1","   0","  68","   7","   0","   1","   0","   0","   0","  18","  14"
"3032",NA,NA," 100","   1","   0","   6","  11","   6","  17","   5","   0","   1","   0","   9","   1","  24","  22","   1","   0","   0","   0","  65","  12","   0","   0","   0","   0","   7","   0","   3","  96","   0","   0","   2","   0","  69","  14","   0","   0","   0","   0","   0","  27","   2"
"3153",NA,NA," 104","   1","   0","   5","  12","   4","  13","   5","   0","   0","   0","  12","   0","   8","  37","   0","   0","   0","   0","  56","   1","   0","   3","   0","   0","   7","   0","   0"," 139","   0","   1","   1","   0","  92","   2","   0","   0","   0","   0","   0","  51","   4"
"3275",NA,NA," 108","   0","   0","   7","  14","   9","  14","   8","   0","   2","   2","   6","   0","   7","  20","   0","   1","   0","   0","  53","   0","   0","   4","   0","   1","  10","   0","   0"," 127","   0","   0","   6","   0","  90","   4","   0","   1","   0","   0","   0","  41","   6"
"3468",NA,NA," 112","   0","   0","  17","   2","   6","  21","   5","   0","   0","   0","   1","   1","  19","  63","   1","   0","   0","   0","  65","   1","   0","   5","   0","   0","  10","   0","   0"," 162","   0","   0","   0","   6","  53","   0","   0","   0","   0","   0","   0","  70","   4"
"3705",NA,NA," 116","   0","   0","   5","   2","   3","   4","   2","   0","   2","   0","  14","   0","   8","  39","   0","   0","   0","   0","  52","   3","   0","   4","   0","   1","  15","   0","   0"," 190","   0","   1","   0","   6","  63","   0","   0","   0","   1","   0","   0","  65","   0"
"3942",NA,NA," 120","   0","   0","   6","   7","   1","   5","   2","   0","   0","   0","  10","   0","   8"," 126","   0","   1","   0","   1","  37","   4","   0","   6","   0","   1","  15","   0","   0"," 160","   0","   1","   0","   0","  64","   0","   0","   0","   0","   0","   0","  75","   4"
"4180",NA,NA," 124","   0","   0","   7","  13","   8","  13","   4","   0","   0","   0","   4","   0","   2","  87","   1","   2","   0","   0","  35","   3","   0","   0","   0","   3","   6","   0","   4"," 130","   0","   1","   2","   0","  94","   9","   1","   0","   0","   0","   0","  39","   2"
