"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Acer","Alnus","Amaranthaceae undif.","Anthoceros t.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Calligonum","Cannabaceae undif.","Caryophyllaceae undif.","Castanea","Cedrus","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fern","Fontanesia","Fraxinus","Geranium","Indeterminable","IsoÃ«tes","Juglans","Lamiaceae undif.","Ligustrum","Lonicera","Lycopodium spike","Malva undif.","Mercurialis","Morella","Myriophyllum spicatum/verticillatum t.","Myrtaceae undif.","Olea t.","Persicaria t.","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Riccia","Rubiaceae undif.","Rumex t.","Ruppia","Searsia","Thalictrum","Thymelaeaceae undif.","Triletes","Typha","Ulmus t.","Unknown (trilete, non-psilate)","Urtica t.","Viburnum"
"  70",NA,NA,"  7.0","1.5, 37987","0","0","90","0","2","3","0","12","0","4","0","0","0","0","3","34","0","0","0","10","1","0","2","0","1","0","2","0","0","21","23","0","0","0","0","0","0","0","0","2","0","12","0","8","5","13","1","58","2","0","12","55","0","0","0","15","0","0","0","0","1","4","0","0","0","0"
" 150",NA,NA," 15.0","1.5, 27952","0","0","31","0","1","0","2","13","1","3","0","1","0","0","2","19","0","0","0","86","0","0","2","0","0","0","0","1","0","15","9","1","1","1","0","0","0","0","0","0","1","16","0","12","1","12","0","86","3","1","8","19","0","0","0","7","11","0","0","0","1","2","0","0","1","0"
" 450",NA,NA," 45.0","1.5, 29884","0","2","24","1","0","1","1","12","2","8","0","0","0","0","1","15","0","0","0","26","3","0","7","0","0","1","0","0","1","18","13","0","0","0","0","0","0","0","0","19","0","16","1","13","3","12","0","51","4","0","20","80","0","0","0","6","0","0","0","0","0","5","0","0","0","0"
" 550",NA,NA," 55.0","1, 5888","0","0","28","0","2","4","0","30","0","3","1","0","1","0","2","34","1","0","2","20","0","0","6","1","2","0","0","1","1","27","12","0","0","0","0","0","0","0","1","0","0","19","0","14","2","13","0","48","1","1","14","35","1","0","0","6","64","0","0","0","0","1","0","0","1","1"
"1015",NA,NA," 76.5","2, 101950","0","0","100","0","3","1","0","14","0","3","0","0","0","0","2","22","0","0","1","7","0","0","2","0","0","0","1","0","0","16","30","0","0","0","0","0","0","1","0","2","0","30","0","9","7","15","0","64","6","0","23","45","0","0","1","15","0","0","0","0","0","3","0","0","0","0"
"4062",NA,NA,"117.0","1.5, 16300","0","0","42","0","0","1","1","29","0","10","0","0","0","0","4","41","1","0","0","27","0","0","0","0","1","1","1","0","0","30","59","0","0","0","0","0","0","0","0","2","0","6","0","7","4","19","2","80","5","0","12","45","0","0","0","10","0","0","0","0","0","1","0","1","0","0"
"4526",NA,NA,"143.0","1.5, 84362","0","0","13","0","0","2","0","22","0","4","0","0","0","0","1","10","2","0","0","35","3","2","3","0","0","0","1","0","0","14","13","0","0","0","0","0","0","0","0","0","0","19","0","17","4","21","0","57","4","0","10","70","0","0","0","3","11","1","0","0","1","2","0","0","0","0"
"5027",NA,NA,"171.0","1.5, 74252","0","1","42","0","3","6","1","11","0","12","0","0","0","0","3","30","0","1","0","39","0","2","3","0","0","0","2","0","0","43","25","0","0","0","1","0","1","2","0","4","0","39","0","10","6","32","0","59","4","0","23","74","0","0","0","18","0","0","0","0","0","3","1","0","0","0"
"5564",NA,NA,"201.0","2, 103787","0","0","36","0","1","1","0","10","0","10","0","0","0","0","6","11","2","0","0","38","2","0","6","0","0","0","0","0","0","27","20","0","0","0","0","0","0","0","0","0","0","24","0","13","10","25","0","70","6","0","21","96","0","0","0","16","0","0","1","1","0","5","0","0","0","0"
"5850",NA,NA,"217.0","1, 20082","1","1","16","0","2","4","0","18","0","3","0","0","2","1","5","16","0","0","0","27","1","0","3","0","1","0","0","0","0","21","13","0","0","0","0","0","0","0","0","0","0","31","0","11","7","17","0","31","0","0","11","104","1","0","0","4","6","1","0","0","0","3","0","0","0","0"
"6243",NA,NA,"239.0","1.5, 19833","0","0","23","0","1","0","0","10","0","0","0","0","0","0","2","19","0","0","0","23","0","0","4","0","1","0","1","0","0","24","23","0","0","0","0","0","0","0","0","0","0","22","0","23","8","23","0","37","2","0","9","112","0","3","0","5","2","1","0","1","0","2","0","0","0","0"
