"Sample age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Acacia t.","Acalypha","Aerva type","Alchemilla t.","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asclepiadaceae undif.","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Boscia","Brassicaceae","Calligonum","Campanulaceae","Capparis","Carpinus","Caryophyllaceae undif.","Cassia","Celtis","Centaurea","Cichorieae","Cistaceae","Cleome","Cocculus","Combretaceae","Convolvulaceae","Crassulaceae","Cucumis","Cupressaceae","Cyperaceae","Echium t.","Ephedra","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagonia","Faidherbia albida","Ficus","Galium t.","Genisteae","Hypericum undif.","Indeterminable","Indigofera","Lamiaceae undif.","Lemnaceae","Lotus t.","Maerua","Mercurialis","Moltkiopsis","Neurada","Ononis t.","Paronychieae","Peganum","Petaloid monocot","Phoenix t.","Pinus undif.","Plantago","Plumbaginaceae","Poaceae","Potamogeton","Quercus evergreen","Quercus undif.","Resedaceae undiff.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salvadora","Searsia","Solanaceae undif.","Solanum","Spergularia t.","Tamarix","Tephrosia","Tribulus","Trifolium t.","Typha","Ulmus t.","Urtica t.","Vernonieae","Vitex","Warionia","Ziziphus/Paliurus","Zygophyllum t."
NA,"  2","9","0","44","0","123","0","0","0","2","0","0","20","0","1","0","86","18","0","7","0","3","0","0","4","2","0","3","0","0","0","0","0","0","0","1","1","0","3","0","4","0","1","0","0","0","12","0","1","0","0","2","0","30","0","0","194","0","0","0","0","0","0","12","0","0","0","0","1","0","0","0","0","15","2","0","0","23","0","0","0","1","0","1","0","0","0","0","0"
NA," 24","10","1","5","0","123","0","12","0","25","0","0","49","0","0","0","15","68","0","7","0","2","1","1","2","8","0","0","0","0","0","4","1","0","18","1","0","7","1","0","6","0","0","0","1","0","19","0","1","0","1","3","0","11","1","0","25","0","0","0","0","1","0","46","0","0","1","0","0","0","3","0","0","3","0","0","7","26","1","1","0","0","0","2","1","0","0","1","0"
NA," 36","7","0","1","0","181","0","16","0","17","0","0","39","0","0","0","17","21","0","0","0","2","0","0","2","4","1","0","0","1","1","8","1","1","11","0","0","0","3","0","0","0","0","0","2","1","19","2","4","0","1","0","1","69","1","0","14","0","0","0","0","0","2","42","0","0","1","0","0","0","2","2","7","5","0","0","0","16","0","0","0","2","0","4","0","0","1","0","0"
NA," 54","13","0","0","0","51","0","3","0","28","0","0","45","0","0","1","15","1","0","4","0","1","0","0","2","2","0","10","0","0","0","0","0","0","26","7","1","0","1","0","2","0","1","0","1","1","7","2","4","0","0","2","0","22","2","0","13","1","1","0","0","2","0","130","0","1","1","0","0","0","2","0","0","1","0","0","0","92","0","1","0","3","0","2","1","0","0","0","5"
NA," 76","2","0","2","0","22","1","2","0","501","0","0","34","0","0","6","5","5","0","0","0","2","0","0","0","6","0","0","0","0","0","0","0","0","2","0","1","0","0","0","11","0","0","1","0","0","1","0","0","0","3","4","0","2","1","0","5","0","0","0","0","1","0","71","0","0","0","0","1","0","0","0","0","2","1","0","0","3","0","0","0","2","0","2","0","0","1","1","1"
NA," 86","0","2","0","0","4","0","6","2","233","0","0","48","1","0","1","8","0","0","9","0","3","0","0","11","4","0","1","1","0","0","0","0","0","59","2","0","0","2","0","15","0","0","0","1","2","5","0","0","0","1","1","0","0","1","3","4","0","1","1","1","0","0","126","0","1","1","0","0","0","7","0","19","0","0","0","1","25","0","0","1","8","0","3","1","1","0","0","0"
NA,"126","2","0","0","2","2","21","4","0","76","0","1","19","0","0","1","5","0","1","0","1","0","4","0","3","4","0","0","0","0","0","0","0","1","39","0","0","0","0","1","0","1","2","0","0","0","14","0","1","2","0","0","0","0","0","0","3","0","1","0","0","1","0","205","0","1","0","0","0","0","0","0","0","0","0","1","0","5","0","0","1","79","0","0","0","0","0","0","0"
NA,"154","0","0","0","0","1","5","3","0","8","0","0","19","0","0","0","3","0","1","1","0","0","0","0","0","6","0","0","0","0","0","0","0","0","103","1","0","0","0","0","0","0","1","0","0","0","3","1","0","0","0","0","0","0","0","0","2","0","3","1","0","0","0","82","0","0","1","2","0","0","0","0","0","0","0","0","0","7","0","0","0","243","1","2","0","0","0","0","0"
NA,"164","1","0","0","0","4","1","5","0","24","1","1","25","0","0","0","3","0","0","0","0","1","0","0","1","11","0","0","0","0","0","0","0","0","70","0","0","0","0","0","1","0","0","0","0","2","6","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","77","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","279","0","1","0","0","0","0","0"
"7559-7751","189","2","0","0","0","0","0","5","0","18","0","0","41","0","5","1","2","0","0","0","0","1","0","0","5","18","0","0","0","0","0","0","0","0","53","0","0","0","1","0","0","0","2","0","0","0","0","0","1","0","1","0","0","0","1","0","2","0","1","0","0","1","0","171","3","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","167","0","0","0","0","0","0","0"
