"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acacia t.","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Berberis t.","Boraginaceae undif.","Brassicaceae","Cardueae undif.","Caryophyllaceae undif.","Cedrus","Centaurea","Cichorieae","Cistaceae","Corylus","Cyperaceae","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fern-Lycopodiaceae","Fraxinus","Lamiaceae undif.","Lythrum","Malva undif.","Mercurialis","Morella","Myriophyllum undif.","Olea t.","Pinus undif.","Pistacia","Plantago","Poaceae","Polygonum t.","Potamogeton","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rumex t.","Ruta","Scrophulariaceae undif.","Sparganium","Typha"
"  0",NA,NA,"  0","  6","  0","  0","  4","  3","  0"," 42","  0","  0","  1","  0","  1","  1","  0"," 28","  0","  0","  3","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0"," 25"," 32","  0","  1"," 62"," 11","  6"," 28","195","  4","  0","  0","  4","  0","  8"
"215",NA,NA,"  5"," 10","  0","  3"," 29","  4","  1"," 45","  0","  0","  0","  1"," 14","  3","  0","  0","  0","  0"," 19","  0","  0"," 10","  0","  0","  0","  4","  0","  0","  0","  0","  0"," 36"," 29","  0","  0"," 80","  7"," 14"," 77","238","  0","  0","  0"," 14","  1","  3"
"430",NA,NA," 10","  1","  0","  0","  4","  1","  3","  4","  0","  0","  4","  0","  3","  0","  4","  1","  0","  0","  3","  1","  0","  7","  4","  0","  0","  0","  0","  0","  0","  0","  0"," 13","  1","  0","  1"," 60","  8","  2"," 60","148","  0","  0","  0"," 49","  0","  1"
"644",NA,NA," 15","  6","  0","  0","  3","  1"," 10","  7","  0","  0","  3","  1","  4","  0","  1","  4","  0","  0","  0","  0","  0"," 11","  7","  0","  0","  4","  0","  0","  0","  0","  1","  6","  7","  0","  0"," 46","  7","  1"," 66","165","  3","  0","  0","  6","  0","  2"
"859",NA,NA," 20","  1","  0","  0","  4","  1","  0","  6","  0","  0","  3","  0","  7","  0","  3","  4","  0","  0","  0","  1","  6","  7"," 11","  0","  0","  0","  0","  0","  0","  0","  0","  4","  6","  0","  0"," 60","  3"," 28"," 45","153","  4","  0","  0"," 10","  0","  6"
"1074",NA,NA,"  25","   6","   0","   0","   8","   3","   0","  28","   0","   0","   0","   0","   4","   0","   0","   6","   0","   0","   6","   0","   0","   4","   0","   0","   0","   0","   0","   1","   0","   0","   0","   3","  11","   0","   0","  64","   1","   0","  98"," 175","   3","   0","   0","   0","   0","   2"
"1289",NA,NA,"  30","   3","   0","   0","   7","   1","   3","  11","   0","   0","   1","   1","   1","   3","   0","   4","   0","   0","   1","   0","   0","   4","   6","   0","   0","   0","   0","   2","   0","   0","   0","   6","   6","   0","   4","  63","   8","   0","  71"," 116","   1","   0","   0","   0","   0","   0"
"1509",NA,NA,"  35","   0","   0","   0","   5","   0","   0","  21","   0","   0","   1","   0","   7","   0","   0","  11","   1","   0","   0","   0","   0","   6","   7","   0","   0","   0","   0","   0","   1","   0","   0","   3","   1","   0","   4","  39","   6","  16","  32","  87","   3","   0","   0","   3","   1","   6"
"1747",NA,NA,"  40","   1","   0","   0","   4","   0","   0","  31","   0","   0","   0","   3","   8","   1","  10","  15","   0","   0","   1","   0","   0","   1","   0","   0","   0","   7","   0","   0","   0","   0","   0","  15","   6","   0","   0","  56","   0","   2","  45","  80","   0","   0","   0","   0","   0","   1"
"1984",NA,NA,"  45","   0","   0","   0","   5","   4","   0","  76","   0","   0","   0","   1","  15","   0","  25","   6","   0","   0","   3","   1","   0","   3","   0","   0","   0","   4","   0","   0","   0","   0","   0","  14","  22","   0","   0","  45","   0","   0","  63"," 140","   0","   0","   0","   4","   0","   7"
"2222",NA,NA,"  50","   0","   0","   0","   9","   3","   0","  69","   0","   0","   0","   0","   6","   0","  13","  18","   0","   0","   0","   0","   0","   3","   0","   1","   0","   0","   0","   0","   0","   0","   0","  11","   1","   0","   0","  91","   0","   5","  66","  98","   0","   1","   0","   1","   0","   4"
"2459",NA,NA,"  55","   4","   0","   0","   8","   4","   3","  42","   0","   0","   0","   1","  14","   0","  17","  10","   0","   0","   0","   0","   0","  10","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   3","   0","   0","  80","   0","   2","  70"," 125","   0","   0","   0","   3","   0","   8"
"2696",NA,NA,"  60","   0","   0","   0","   6","   0","   0","  17","   0","   0","   1","   0","   1","   0","   4","  14","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   1","   0","   0","   0","   0","   8","   1","   0","   3","  46","   3","  47","  49","  76","   0","   0","   0","   0","   1","   4"
"2934",NA,NA,"  65","   1","   0","   0","   8","   0","   0","  11","   0","   0","   1","   0","   1","   1","   3","   3","   1","   0","   0","   0","   1","   4","   3","   0","   0","   0","   0","   1","   0","   0","   0","  10","   0","   0","   1","  31","   4","   3","  42","  66","   0","   0","   0","   1","   0","  10"
"3171",NA,NA,"  70","   3","   0","   0","   6","   0","   0","  14","   0","   0","   1","   1","   1","   1","   4","  21","   3","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   7","   1","   0","   1","  38","   6","  40","  34","  59","   0","   0","   1","   0","   0","   2"
"3409",NA,NA,"  75","   3","   0","   1","   5","   3","   0","  27","   0","   0","   0","   4","   3","   0","   6","  36","   3","   0","   1","   0","   0","  14","   1","   0","   0","   1","   0","   0","   0","   0","   1","   4","   1","   0","   4","  52","   1","  47","  53","  80","   0","   0","   0","   1","   0","   6"
"3599",NA,NA,"  79","   0","   0","   0","   6","   0","   0","  18","   0","   3","   6","   6","  22","   0","   1","  38","   0","   0","   6","   0","   0","   0","   3","   0","   0","   3","   0","   0","   0","   0","   0","   7","   5","   1","   8"," 101","   0","   6","  27","  41","   0","   0","   0","   0","   0","   5"
"3735",NA,NA,"  85","   0","   0","   0","  10","   0","   0","  11","   0","   0","   1","   1","   3","   0","   4","  45","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   7","   0","   3"," 123","   4","   0","  22","  34","   0","   0","   0","   0","   1","   4"
"3824",NA,NA,"  90","   0","   0","   0","   9","   0","   0","  11","   0","   0","   0","   0","   1","   0","   1","  27","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1"," 130","   7","   0","  20","  41","   0","   0","   0","   0","   0","   0"
"3912",NA,NA,"  95","   4","   0","   0","   7","   0","   0","  14","   0","   0","   0","   0","   1","   0","   6","  14","   0","   0","   4","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","  74","   0","  26","  29","  36","   0","   0","   0","   0","   0","   1"
"3992",NA,NA," 100","   0","   0","   0","   9","   0","   0","  15","   0","   0","   0","   0","   0","   0","   0","   8","   1","   0","   3","   0","   0","   1","   3","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  67","   0","  19","  11","  18","   0","   0","   0","   0","   0","   7"
"4090",NA,NA," 105","   6","   0","   0","   7","   0","   0","  13","   0","   0","   0","   0","   0","   1","   0","  10","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0","  52","   0","   0","  10","  17","   0","   0","   0","   0","   0","   0"
"4179",NA,NA," 110","   0","   0","   0","   6","   1","   0","  21","   0","   0","   0","   1","   0","   0","   0","  24","   6","   0","   3","   0","   0","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  22","   0","   0","   6","  15","   0","   0","   0","   0","   0","   0"
"4268",NA,NA," 115","   0","   0","   0","   7","   0","   0","  10","   0","   1","   0","   3","   0","   0","   0","  17","   0","   0","   6","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","  38","   0","  10","   4","   8","   0","   0","   0","   0","   5","   3"
"4356",NA,NA," 120","   0","   0","   0","  10","   7","   0","  18","   0","   0","   0","   0","   0","   0","   0","  25","   7","   0","   0","   1","   0","  13","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","  17","   0","   2","   8","  14","   0","   0","   0","   0","   0","   0"
"4445",NA,NA," 125","   3","   0","   0","   8","   1","   0","  11","   0","   0","   0","   0","   4","   0","   0","   4","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   1","   0","   0","  50","   0","   0","  22","  31","   0","   0","   0","   0","   0","   0"
"4534",NA,NA," 130","   0","   0","   0","  10","   0","   0","  17","   0","   0","   0","   0","   0","   0","   0","  15","   8","   0","   4","   0","   0","  13","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","  29","   0","   7","   7","  13","   0","   1","   0","   0","   0","   5"
"4623",NA,NA," 135","   0","   0","   0","   8","   1","   0","  24","   0","   0","   0","   6","   0","   0","   0","  22","   1","   0","   0","   0","   0","  10","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  32","   0","   5","   7","  10","   0","   0","   0","   0","   0","   0"
"4712",NA,NA," 140","   0","   0","   0","   7","   0","   0","  17","   0","   3","   0","   0","   0","   0","   0","  17","   6","   0","   1","   0","   0","  13","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   1","   7","  39","   0","   0","   8","  14","   0","   0","   0","   0","   0","   0"
"4800",NA,NA," 145","   0","   0","   1","   8","   4","   0","  13","   0","   1","   0","   0","   1","   0","   0","   4","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","  45","   0","   1","   8","  14","   0","   0","   0","   0","   0","   1"
"5011",NA,NA," 150","   6","   0","   0","   8","   1","   0","  21","   0","   1","   0","   4","   0","   3","   0","   6","   0","   0","   0","   0","   0","   1","   0","   0","   3","   0","   0","   0","   0","   0","   0","   1","  11","   0","   0","  42","   0","   0","  18","  32","   0","   0","   0","   0","   0","   1"
"5302",NA,NA," 155","   1","   0","   0","   7","   1","   0"," 115","   0","   1","   0","   6","   0","   0","   0","  15","   3","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   3","   7","   0","   4","   4","   6","   0","   0","   0","   0","   0","   0"
