"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alchemilla t.","Alnus","Amaranthaceae undif.","Anagallis t.","Angiospermae undiff. (herbs)","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Bryophyta undiff.","Buxus","Calligonum","Callitriche","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Celastraceae undif.","Celtis","Centaurea","Ceratophyllum","Cichorieae","Cistaceae","Cornus","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Elatine","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Galium t.","Gentiana t.","Geranium","Hedera","HippophaÃ«","Hypericum undif.","Ilex","Indeterminable","Indeterminable (concealed)","Indeterminable (crumpled)","Juglans","Lamiaceae undif.","Larix","Lemnaceae","Linum t.","Lonicera","Lotus t.","Malva undif.","Menyanthes","Mercurialis","Morella","Musci","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Myriophyllum undif.","Nuphar","Nymphaea","Olea t.","Onagraceae","Ononis t.","Ostrya","Oxyria","Papaver t.","Pedicularis","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus subg. Strobus","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Polypodiophyta undiff.","Populus","Potamogeton","Potentilla t.","Primulaceae undif.","Prunus t.","Pterocarya","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Resedaceae undiff.","Rhamnaceae undif.","Rosa t.","Rosaceae undif.","Rumex t.","Rutaceae undif.","Salix","Sambucus","Samolus","Sanguisorba t.","Saxifraga t.","Saxifragaceae","Scrophulariaceae undif.","Spermatophyta undiff. (trees/shrubs)","Tamarix","Taxus","Thalictrum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Unknown undiff.","Urtica t.","Valeriana t.","Viburnum","Viola","Viscum","Vitis","cf. Frangula/Bruckenthalia","cf. Larix","cf. Trichomanes"
"    59.0",NA,NA,"    0.50","3","3","0","54","3","0","0","0","3","10","0","1","4","0","1","0","0","0","0","0","0","0","4","1","11","0","0","0","0","0","1","0","0","9","0","3","12","0","0","0","0","0","1","0","17","0","0","0","5","2","0","0","0","0","0","0","2","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","5","0","0","23","0","0","0","0","0","4","0","0","4","0","10","0","0","56","0","0","0","0","2","0","0","0","0","0","105","0","0","1","0","0","4","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","8","3","0","0","0","0","0","1","0","0","0"
"    63.0",NA,NA,"    2.00","1","0","0","55","0","0","0","0","2","6","0","1","6","0","0","0","0","0","0","0","8","0","9","0","8","1","0","0","0","0","0","0","0","15","0","4","6","0","0","0","0","2","0","0","29","1","0","0","1","0","0","0","2","0","0","0","2","0","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","12","0","0","0","0","0","5","0","0","4","0","5","0","0","48","3","0","0","0","6","1","0","0","0","0","130","0","0","0","0","1","4","0","8","0","0","0","0","0","1","0","0","0","0","0","0","0","2","3","4","0","0","0","0","0","0","0","0","0","0"
"    67.0",NA,NA,"    4.00","1","0","0","85","2","0","0","1","4","2","2","0","3","0","2","0","0","0","0","0","5","0","11","0","5","0","0","0","0","0","1","0","0","10","0","0","6","0","0","0","0","1","1","2","16","0","0","0","0","0","0","0","1","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","3","3","0","0","15","0","0","0","0","1","3","0","0","5","0","7","0","0","55","1","0","0","0","0","1","0","0","0","0","79","1","0","0","0","0","1","0","5","0","0","0","0","0","1","0","0","0","0","0","1","0","1","1","6","0","0","0","0","0","0","3","0","0","0"
"    87.0",NA,NA,"    5.00","0","2","0","74","2","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","1","0","0","0","0","12","0","0","2","0","0","0","0","2","0","0","19","0","0","0","3","0","0","0","2","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","20","0","0","0","0","0","0","0","0","3","2","6","0","0","38","2","0","0","0","1","2","0","0","0","5","148","0","0","0","0","1","2","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","6","0","2","0","0","0","0","1","0","0","0"
"   403.0",NA,NA,"   25.00","0","0","0","70","1","0","0","0","3","2","0","1","0","0","0","0","0","0","0","0","3","1","13","1","3","0","0","0","0","0","0","0","0","6","0","0","1","0","0","0","0","1","0","0","30","0","0","0","3","0","0","0","4","0","0","0","0","0","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","3","3","0","0","21","0","0","0","0","0","2","0","0","0","2","4","1","0","57","2","0","0","0","0","0","0","0","0","3","67","0","0","0","0","2","0","0","4","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","12","3","0","0","0","0","0","1","0","0","0"
"   735.0",NA,NA,"   45.00","0","0","0","96","3","0","0","3","2","4","0","0","1","0","1","0","0","0","0","0","5","1","13","1","4","0","0","0","0","0","2","0","0","6","0","0","4","0","0","0","0","0","0","2","24","3","0","0","3","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","5","2","0","0","29","0","0","0","0","0","0","0","0","0","0","1","0","0","54","10","0","0","0","1","0","0","0","0","1","77","0","0","0","0","1","0","0","5","0","0","1","0","0","0","0","0","0","0","0","0","0","3","1","11","4","0","0","0","0","0","0","0","0","0"
"   753.0",NA,NA,"   46.50","12","0","0","36","2","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","76","0","13","0","1","0","0","0","0","0","0","0","0","18","0","2","3","0","0","0","0","0","0","0","24","3","0","0","6","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","4","0","0","26","0","0","0","0","0","1","0","0","1","0","3","0","0","29","3","0","3","0","1","0","0","0","0","11","117","0","0","0","0","0","0","0","3","0","0","0","0","0","0","3","0","0","0","0","1","0","2","5","0","0","0","0","0","0","0","0","0","0","0"
"   829.0",NA,NA,"   52.90","1","2","0","39","2","0","6","0","0","3","0","1","0","0","0","0","0","0","0","0","15","0","50","0","0","0","0","0","0","0","0","0","0","14","0","1","6","0","0","0","0","0","0","0","24","3","0","0","1","0","0","0","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","10","3","0","0","27","0","0","0","0","0","0","0","0","2","3","3","0","0","49","5","0","0","1","5","0","0","0","0","21","180","0","0","0","0","0","1","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0"
"   887.0",NA,NA,"   57.70","0","0","0","105","0","0","6","0","0","3","0","3","0","0","0","0","0","0","0","0","0","0","34","0","1","0","0","0","0","0","0","0","0","2","0","2","1","0","0","0","0","0","0","0","32","5","0","0","2","0","0","0","2","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","3","5","0","0","27","0","0","0","0","0","0","0","0","1","7","11","0","0","42","4","0","1","0","7","0","0","0","0","4","181","0","0","0","0","0","1","0","7","0","0","0","0","0","0","1","0","0","0","0","0","0","4","3","0","0","0","0","0","0","0","2","0","0","0"
"   913.0",NA,NA,"   59.90","1","2","0","82","2","0","3","0","0","3","0","2","0","0","0","0","0","0","0","0","0","0","24","0","0","0","0","0","0","0","0","0","0","10","0","0","3","0","0","0","0","0","0","0","37","2","0","0","4","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","0","0","9","0","0","0","0","0","0","0","0","2","1","2","0","0","35","3","0","4","0","2","0","0","0","0","4","154","0","0","0","0","0","1","0","7","0","0","0","0","0","0","3","0","0","0","0","3","0","4","3","0","0","0","0","0","0","0","1","0","0","0"
