"Depth","Age (ky BP)","Abies","Acacia t.","Acanthaceae undif.","Acer","Acritarcha","Aellenia type","Algae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Aristolochiaceae","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Campanulaceae","Caprifoliaceae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Ceratonia","Cercis","Cichorieae","Cistaceae","Combretaceae","Conncentricystes rubinus","Corylus","Crassulaceae","Cryptomeria","Cupressaceae","Cycas","Cyperaceae","Dacrydium","Dipsacaceae","Echinops","Elatinaceae","Encephalartos","Ephedra","Equisetaceae","Erica t.","Euphorbiaceae undif.","Fabaceae Undif.","Faidherbia albida","Fern","Fern-Lycopodiaceae","Fraxinus","Fungi","Gentianaceae undif.","Geraniaceae undif.","Hypolepidaceae","Hystrichosphaeridium","Hystrichosphaeridium israelianum","Icacinaceae","Lamiaceae undif.","Lemnaceae","Loranthus","Malva undif.","Musci","Myriophyllum undif.","Myrtus","Nymphaea","Olea t.","Onagraceae","Operculodinium","Ostrya","Papaver t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Podocarpus","Polygonum t.","Polysphaeridium zohary","Populus","Potamogeton","Primulaceae undif.","Protist","Pterospermopsis van campo","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Rutaceae undif.","Salix","Salvadora","Saxifragaceae","Scrophulariaceae t.","Scrophulariaceae undif.","Searsia","Selaginellaceae","Sium (apium) type","Solanaceae undif.","Sparganium","Tamarix","Thymelaeaceae undif.","Tilia","Tsuga","Typha","Ulmus t.","Valerianaceae undif.","Vitis","Ziziphus/Paliurus","Zygophyllaceae undif.","sequoiadendron"
" 2.00"," 0.14"," 3.00"," 1.00"," 0.00"," 0.00"," 2.00"," 1.00"," 3.00"," 1.00","82.00"," 3.00"," 0.00","27.00"," 0.00"," 2.00"," 1.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 1.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00"," 2.00"," 0.00"," 0.00","11.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00","55.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00"," 1.00"," 1.00"," 0.00"," 0.00"," 2.00"," 0.00","63.00"," 1.00"," 1.00"," 1.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00"," 0.00"," 4.00"," 5.00"," 0.00"," 1.00","14.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 1.00"," 1.00"," 0.00","39.00"," 1.00"," 0.00"," 3.00"," 0.00"," 3.00"," 0.00"," 2.00"," 0.00"," 5.00"," 0.00"," 0.00"," 0.00"," 0.00"," 8.00"," 1.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 4.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"
"11.00"," 0.63"," 3.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 2.00","55.00"," 1.00"," 0.00","15.00"," 0.00"," 2.00"," 1.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 2.00"," 1.00"," 2.00"," 1.00"," 0.00"," 0.00"," 0.00"," 3.00"," 0.00"," 6.00"," 0.00"," 0.00"," 3.00"," 2.00"," 0.00","51.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 3.00"," 0.00"," 1.00"," 0.00"," 2.00"," 0.00","19.00"," 1.00"," 0.00"," 5.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 2.00"," 0.00"," 0.00","10.00"," 0.00"," 1.00"," 0.00"," 3.00"," 0.00"," 0.00"," 0.00"," 0.00"," 2.00"," 2.00"," 0.00","95.00"," 0.00"," 0.00"," 4.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00","15.00"," 0.00"," 0.00"," 0.00"," 1.00","10.00"," 3.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 2.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"
" 26.00","  1.38","  6.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00"," 33.00","  1.00","  0.00","  2.00","  0.00","  2.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  5.00","  1.00","  0.00","  0.00","  0.00","  0.00","  1.00","  9.00","  0.00","  3.00","  2.00","  0.00","  0.00","111.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  3.00","  0.00","  2.00","  0.00"," 37.00","  0.00","  0.00"," 19.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  2.00","  6.00","  0.00","  0.00","  8.00","  1.00","  0.00","  0.00","  1.00","  0.00","  0.00","  1.00","  0.00","  1.00","  2.00","  3.00"," 68.00","  0.00","  1.00","  4.00","  1.00","  1.00","  1.00","  0.00","  1.00","  9.00","  2.00","  0.00","  1.00","  3.00"," 48.00","  0.00","  0.00","  1.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  6.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"36.00"," 2.06"," 5.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 1.00","36.00"," 1.00"," 0.00","11.00"," 0.00"," 3.00"," 4.00"," 0.00"," 2.00"," 0.00"," 0.00"," 0.00"," 1.00"," 0.00"," 8.00"," 0.00"," 0.00"," 0.00"," 3.00"," 0.00"," 1.00","20.00"," 0.00"," 1.00"," 0.00"," 1.00"," 0.00","41.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 4.00"," 0.00"," 0.00"," 0.00"," 2.00"," 0.00","29.00"," 1.00"," 3.00","30.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 2.00"," 2.00"," 0.00"," 0.00","31.00"," 0.00"," 1.00"," 0.00"," 2.00"," 2.00"," 2.00"," 0.00"," 0.00"," 0.00"," 3.00"," 1.00","86.00"," 0.00"," 1.00"," 0.00"," 0.00"," 1.00"," 1.00"," 0.00"," 0.00"," 2.00"," 0.00"," 0.00"," 0.00"," 2.00","12.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 1.00"," 1.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"
"46.00"," 2.63","13.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00","43.00"," 2.00"," 0.00","29.00"," 0.00"," 3.00"," 0.00"," 1.00"," 2.00"," 0.00"," 0.00"," 0.00"," 1.00"," 0.00"," 0.00"," 1.00"," 1.00"," 0.00"," 0.00"," 0.00"," 0.00"," 8.00"," 0.00"," 0.00"," 1.00"," 0.00"," 1.00","57.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 3.00"," 0.00","25.00"," 1.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 6.00"," 5.00"," 0.00"," 0.00"," 6.00"," 0.00"," 0.00"," 0.00"," 2.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 4.00"," 0.00","51.00"," 0.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 4.00"," 0.00"," 0.00"," 0.00"," 6.00","34.00"," 1.00"," 1.00"," 1.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"
"56.00"," 3.26"," 4.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 2.00","50.00"," 2.00"," 0.00","12.00"," 0.00"," 2.00"," 2.00"," 0.00"," 3.00"," 0.00"," 0.00"," 0.00"," 1.00"," 0.00"," 8.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 2.00"," 8.00"," 0.00"," 3.00"," 2.00"," 0.00"," 0.00","24.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 3.00"," 0.00"," 0.00"," 0.00"," 2.00"," 0.00","18.00"," 2.00"," 1.00","30.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 2.00"," 6.00"," 0.00"," 0.00","11.00"," 0.00"," 0.00"," 0.00"," 4.00"," 0.00"," 2.00"," 0.00"," 0.00"," 2.00"," 2.00"," 0.00","51.00"," 0.00"," 0.00"," 2.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 2.00"," 1.00"," 0.00"," 0.00"," 7.00","26.00"," 2.00"," 0.00"," 1.00"," 0.00"," 2.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 2.00"," 0.00"," 2.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00"," 1.00"," 0.00"," 0.00"
"66.00"," 3.79"," 9.00"," 0.00"," 0.00"," 0.00"," 0.00"," 1.00"," 0.00"," 1.00","57.00"," 3.00"," 0.00"," 8.00"," 0.00"," 0.00"," 2.00"," 1.00"," 2.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 9.00"," 0.00"," 0.00"," 1.00"," 1.00"," 0.00","62.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 3.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 7.00"," 0.00"," 1.00"," 2.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 1.00"," 4.00"," 0.00"," 0.00"," 6.00"," 0.00"," 0.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00"," 0.00"," 2.00"," 8.00"," 0.00","78.00"," 0.00"," 0.00"," 1.00"," 1.00"," 1.00"," 0.00"," 0.00"," 0.00"," 4.00"," 0.00"," 0.00"," 0.00"," 3.00","13.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 1.00"," 1.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"
"76.00"," 4.43"," 2.00"," 0.00"," 0.00"," 0.00"," 2.00"," 0.00"," 0.00"," 0.00","49.00"," 4.00"," 0.00","11.00"," 0.00"," 4.00"," 0.00"," 0.00"," 3.00"," 0.00"," 0.00"," 0.00"," 2.00"," 0.00"," 1.00"," 1.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00","14.00"," 0.00"," 2.00"," 0.00"," 0.00"," 0.00","33.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 1.00"," 0.00"," 1.00"," 0.00"," 5.00"," 0.00","18.00"," 1.00"," 2.00","46.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 3.00"," 2.00"," 0.00"," 0.00"," 6.00"," 0.00"," 0.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00"," 0.00"," 1.00"," 6.00"," 0.00","61.00"," 0.00"," 0.00"," 2.00"," 1.00"," 0.00"," 1.00"," 0.00"," 0.00"," 4.00"," 0.00"," 0.00"," 0.00"," 9.00","28.00"," 1.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 2.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"
" 86.00","  5.09","  4.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 53.00","  4.00","  0.00","  8.00","  0.00","  3.00","  2.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  5.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00"," 12.00","  0.00","  4.00","  0.00","  0.00","  0.00","157.00","  0.00","  0.00","  0.00","  0.00","  0.00","  5.00","  0.00","  3.00","  0.00","  4.00","  0.00"," 57.00","  2.00","  0.00"," 22.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  1.00","  9.00","  0.00","  0.00","  9.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  1.00","  3.00","  0.00"," 81.00","  0.00","  1.00","  4.00","  1.00","  0.00","  1.00","  0.00","  0.00","  5.00","  0.00","  0.00","  0.00","  4.00"," 22.00","  0.00","  0.00","  2.00","  0.00","  1.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00"
"96.00"," 5.74"," 5.00"," 1.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 2.00","44.00"," 2.00"," 0.00","13.00"," 0.00"," 4.00"," 2.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 1.00"," 2.00"," 1.00"," 4.00"," 0.00"," 1.00"," 1.00"," 0.00"," 0.00","77.00"," 0.00"," 1.00"," 1.00"," 0.00"," 0.00"," 5.00"," 0.00"," 0.00"," 0.00"," 2.00"," 0.00","39.00"," 1.00"," 1.00","22.00"," 0.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00"," 1.00"," 1.00"," 0.00"," 0.00"," 8.00"," 0.00"," 1.00"," 0.00"," 8.00"," 0.00"," 0.00"," 0.00"," 0.00"," 1.00"," 8.00"," 0.00","58.00"," 0.00"," 3.00"," 3.00"," 1.00"," 0.00"," 1.00"," 0.00"," 1.00"," 8.00"," 2.00"," 0.00"," 0.00"," 4.00","22.00"," 2.00"," 0.00"," 2.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 5.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"
