"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Acer","Adiantum capillus-veneris","Alchemilla t.","Algae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Berberis t.","Betula","Brassicaceae","Bryophyta (trilete)","Caryophyllaceae undif.","Centaurea","Cichorieae","Cistaceae","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Erodium","Fabaceae Undif.","Faboideae Undif.","Fallopia","Fern","Fraxinus","Fungi","Genisteae","Hypecoum","Indeterminable","Juglans","Juncaceae","Lamiaceae undif.","Lycopodium spike","Olea t.","Ononis t.","Papaver t.","Paronychieae","Pedicularis","Petaloid monocot","Phillyrea","Pinus nigra/sylvestris t.","Pinus pinaster","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygala","Primula","Prunus t.","Pseudoschizaea","Pteridophyta (monolete)","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Riccia cf. R. sorocarpa (type 165, HdV)","Rubiaceae undif.","Salix","Spirogyra (psilate)","Spirogyra (type 132, HdV)","Taxus","Thalictrum","Thymelaeaceae undif.","Typha","Ulmus t.","Unknown (type 128, HdV)","Vitis","charcoal"
" 97.8",NA,NA,"  1.0"," 37.0","  1.0","  0.0","  2.0","125.0","  0.0"," 20.0","  2.0","  0.0"," 10.0","  0.0"," 34.0","  2.0","  0.0"," 13.0","  4.0","  1.0"," 10.0"," 16.0"," 10.0","  0.0","  1.0","  1.0"," 10.0","  2.0","  3.0","  0.0","  0.0","  0.0","  1.0","116.0","  0.0"," 63.0"," 38.0"," 18.0","  0.0","  3.0","  1.0","  6.0"," 32.0"," 14.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0","272.0"," 13.0","  0.0"," 16.0","  2.0"," 17.0","  0.0","  1.0","  0.0"," 10.0","  0.0","  0.0"," 17.0"," 11.0","  3.0"," 13.0"," 15.0","  0.0","  2.0"," 10.0"," 16.0","  0.0","  3.0","  0.0","  3.0","  6.0","  0.0","  1.0","135.0"
"475.6",NA,NA,"  4.0"," 52.0","  1.0","  0.0","  0.0","177.0","  1.0","  4.0","  0.0","  0.0","  2.0","  0.0","  6.0"," 11.0","  0.0"," 12.0"," 12.0","  4.0","  8.0","  2.0","  2.0","  0.0","  1.0","  6.0"," 15.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","105.0","  2.0"," 58.0"," 86.0"," 24.0","  3.0","  9.0","  2.0","  6.0"," 76.0"," 16.0","  1.0","  9.0","  0.0","  3.0","  0.0","  0.0","  0.0","303.0","  7.0","  2.0"," 14.0","  0.0"," 21.0","  0.0","  0.0","  1.0","  3.0","  0.0","  1.0"," 10.0","  8.0","  1.0","  8.0","  2.0","  0.0","  2.0","  4.0"," 65.0","  0.0","  3.0","  2.0","  3.0","  3.0","  0.0","  4.0"," 88.0"
"743.7",NA,NA,"  8.0"," 50.0","  0.0","  0.0","  0.0"," 92.0","  0.0","  6.0","  0.0","  0.0"," 11.0","  0.0"," 43.0","  6.0","  1.0","  0.0"," 23.0"," 13.0","  8.0"," 21.0","  0.0","  0.0","  0.0","  1.0"," 12.0","  1.0","  4.0"," 11.0","  0.0","  0.0","  0.0","138.0","  0.0"," 56.0"," 56.0"," 18.0","  6.0"," 21.0","  0.0","  0.0"," 20.0"," 32.0","  0.0","  2.0","  1.0","  0.0","  1.0","  0.0","  0.0","120.0"," 10.0","  2.0","  7.0","  0.0"," 36.0","  3.0","  0.0","  0.0","  8.0","  0.0","  1.0","  4.0"," 16.0","  0.0","  1.0","  2.0","  1.0","  2.0","  1.0","  8.0","  0.0","  1.0","  0.0","  0.0","  2.0"," 10.0","  3.0","169.0"
"840.3",NA,NA," 10.0"," 34.0","  0.0","  0.0","  0.0"," 38.0","  0.0","  3.0","  0.0","  0.0"," 32.0","  0.0"," 31.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0"," 17.0","  0.0","  0.0","  0.0"," 18.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0"," 78.0","  0.0","  0.0","  7.0","  0.0","  1.0","  4.0","  0.0","  0.0","  0.0"," 38.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","103.0","  4.0","  0.0","  0.0","  1.0"," 93.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  2.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0"," 80.0","  0.0"," 54.0"
"1040.3",NA,NA,"  14.0","  47.0","   0.0","   0.0","   0.0","   5.0","   0.0","  13.0","   0.0","   0.0","  14.0","   0.0","  92.0","   0.0","   0.0","   5.0","  21.0","   2.0","   0.0","  38.0","   2.0","   0.0","   0.0","  30.0","   0.0","   1.0","   0.0","   1.0","   0.0","   0.0","   0.0","  55.0","   0.0","   2.0","   2.0","   0.0","   0.0","  11.0","   0.0","   0.0","   4.0","  41.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","  89.0","   0.0","   0.0","   0.0","   0.0"," 130.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","  89.0","   0.0"," 109.0"
"1253.6",NA,NA,"  18.0","  20.0","   0.0","   0.0","   0.0","   6.0","   0.0","  12.0","   0.0","   0.0","  18.0","   0.0","  83.0","   0.0","   0.0","   0.0","  15.0","   0.0","   0.0","  31.0","   0.0","   0.0","   0.0","  31.0","   0.0","   2.0","   3.0","   0.0","   0.0","   0.0","   0.0","  34.0","   0.0","   0.0","   6.0","   0.0","   0.0","   9.0","   0.0","   0.0","   0.0","  36.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 104.0","   0.0","   0.0","   0.0","   0.0","  86.0","   0.0","   0.0","   0.0","   0.0","   0.0","  18.0","   3.0","   2.0","   0.0","   0.0","  14.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  73.0","   0.0","  62.0"
"1364.3",NA,NA,"  20.0","  43.0","   2.0","   0.0","   0.0","  27.0","   0.0","   5.0","   0.0","   0.0","  21.0","   0.0","  55.0","   0.0","   0.0","   6.0","   4.0","  16.0","   0.0","  23.0","   0.0","   0.0","   0.0","  26.0","   6.0","   0.0","   1.0","   8.0","   0.0","   0.0","   0.0","  30.0","   0.0","   8.0","   4.0","   0.0","   0.0","  17.0","   0.0","   0.0","   6.0","  24.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 142.0","   0.0","   0.0","   0.0","   0.0"," 122.0","   0.0","   0.0","   0.0","   0.0","   0.0","  11.0","  17.0","  11.0","   0.0","   2.0","  22.0","   0.0","   0.0","   1.0","   2.0","   0.0","   0.0","   0.0","   1.0","   0.0","  79.0","   0.0"," 113.0"
"1475",NA,NA,"  22","  36","   1","   0","   0"," 130","   0","   4","   0","   0","   2","   0","  33","   0","   0","   1","   2","   0","   0","  17","   0","   0","   0","   3","  17","   0","   0","  17","   0","   0","   0","  59","   0","  16","  33","   0","   0","   6","   0","   0","   0","  40","   0","   0","   0","   0","   0","   0","   0"," 170","   2","   0","   0","   0","  18","   0","   0","   0","   0","   0","   3","   7","  18","   0","   0","  26","   0","   0","  12","  10","   0","   0","   0","   1","   0","  12","   0","  66"
"1583.2",NA,NA,"  24.0","  32.0","   0.0","   0.0","   0.0"," 526.0","   1.0","   8.0","   0.0","   0.0","  11.0","   0.0","  34.0","   0.0","   0.0","   0.0","  12.0","   0.0","   0.0","  18.0","   0.0","   0.0","   1.0","   8.0","  34.0","   2.0","   0.0","  34.0","   0.0","   0.0","   0.0","  77.0","   0.0","  14.0","  29.0","   0.0","   0.0","   9.0","   0.0","   0.0","   0.0","  22.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 213.0","   2.0","   0.0","   0.0","   0.0","  31.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   9.0","  33.0","   0.0","   0.0","  14.0","   0.0","   0.0","  37.0","  47.0","   0.0","   1.0","   0.0","   2.0","   0.0","  26.0","   0.0","  77.0"
"2061",NA,NA,"  28","  31","   0","   0","   0"," 272","   1","  13","   1","   1","  13","   1","  27","   0","   1","   1","  11","   5","   0","  11","   0","   2","   0","   7","  14","   1","   2","  20","   1","   0","   0","  50","   0","  12","  36","   0","   0","  11","   0","   0","  26","  32","   0","   1","   0","   0","   0","   1","   0"," 223","   6","   2","   0","   0","  51","   0","   0","   0","   3","   0","  12","  13","  49","   0","   0","   7","   0","   0","  41","  29","   1","   1","   0","   0","   0","  12","   0","  80"
"2339.8",NA,NA,"  30.0","  31.0","   0.0","   0.0","   0.0"," 211.0","   1.0","   9.0","   0.0","   0.0","  17.0","   0.0","  28.0","   0.0","   1.0","  13.0","  14.0","  14.0","   0.0","  12.0","   0.0","   1.0","   0.0","   4.0","   8.0","   1.0","   4.0","  18.0","   0.0","   0.0","   0.0","  31.0","   0.0","  10.0","  18.0","   0.0","   0.0","  15.0","   0.0","   0.0","   0.0","  18.0","   0.0","   7.0","   0.0","   1.0","   0.0","   1.0","   1.0"," 248.0","  17.0","   0.0","   0.0","   0.0","  36.0","   0.0","   0.0","   0.0","   2.0","   0.0","   2.0","  27.0","  26.0","   0.0","   4.0","   4.0","   0.0","   0.0","  33.0","  18.0","   1.0","   0.0","   9.0","   2.0","   0.0","  19.0","   0.0"," 100.0"
