"age_NA","ageolder_BP","ageyounger_BP","depth","Abies","Abutilon t.","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Andrachne","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Apium t.","Aristolochia","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Chrozophora","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Cupressaceae","Cyperaceae","Datisca cannabina","Dipsacaceae","Echinops","Echium t.","Elaeagnus","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagopyrum","Fagus","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Galium t.","Genisteae","Gentiana t.","Geranium","Hedera","Heliotropium","Hibiscus","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Lemnaceae","Leontice","Loranthus","Lotus t.","Lysimachia","Lythrum","Malva","Matthiola","Menyanthes","Mercurialis","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Myrtus","Nuphar","Nymphaea","Olea t.","Ononis t.","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Potentilla t.","Primula","Prosopis t.","Prunus t.","Psoralea","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Searsia","Solanaceae undif.","Solanum","Sparganium","Spergularia t.","Styrax","Syringa","Tamarix","Thalictrum","Theligonum","Thelypteris palustris-type","Thesium","Thymelaeaceae undif.","Tilia","Tribulus","Trifolium t.","Typha","Ulmus t.","Urtica t.","Valerianella","Verbena t.","Viburnum","Vitis"
NA,NA,NA,"155","  0","  0","  0","  0","  2"," 22","  0","  0"," 74","  1"," 14","  0","  0"," 18","  5"," 10","  0","  0","  0"," 14","  0","  0","  1"," 34","  0","  7","  0","  4"," 76","  1","206","  0","  0","  0","  0","  0"," 20","  0","  2","  0","  0","  0","  0","  0","  8","  0","  0","  0","  6","  0","  1","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0"," 26","  0","  0","  0","  0","  0","  0","  0","  1","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 16","  0","  0","  0"," 40","  3","  3","  0","  0","  0","  0","  0","  0","  9","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  1","  0","  0","  0","  0","  1"
NA,NA,NA,"145","  0","  0","  0","  0","  8"," 15","  0","  0"," 51","  0"," 25","  0","  0"," 25","  1","  7","  1","  0","  0"," 10","  0","  0","  0"," 25","  0","  4","  0","  3"," 82","  1","189","  0","  0","  0","  0","  0"," 11","  0","  4","  0","  0","  0","  0","  0","  5","  0","  0","  0"," 10","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 15","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0"," 16","  0","  0","  0"," 32","  6","  9","  0","  0","  0","  0","  1","  0"," 19","  3","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0"," 13","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  2","  0","  0","  0","  0","  0","  0","  1"
NA,NA,NA,"235","  0","  0","  0","  0"," 31"," 78","  0","  0"," 55","  0"," 41","  0","  0"," 66","  3","  6","  0","  6","  0"," 12","  0","  0","  0"," 24","  0"," 10","  0","  0"," 79","  1","154","  0","  0","  0","  1","  2","109","  0","  6","  0","  0","  0","  2","  0","  9","  0","  0","  0"," 16","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0"," 28","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  1","  0","  0","  0","  0","  1","  6","  0","  0","  1","  2","  0","  0"," 17","  0","  6","  2","108","  6"," 12","  0","  0","  0","  0","  0","  0","333"," 62","  9","  0","  0","  1","  1","  0","  0","  6","  0","  0","  1","  0"," 47","  1","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  1"
NA,NA,NA,"345","  0","  0","  0","  0"," 25"," 53","  0","  0"," 30","  1"," 17","  0","  0"," 47","  8"," 14","  0","  4","  0"," 10","  0","  0","  1","  3","  0","  3","  2","  2"," 11","  0","221","  0","  0","  0","  0","  0"," 54","  0","  1","  0","  0","  0","  2","  0","  2","  0","  0","  0","  2","  0","  0","  0","  0","  4","  0","  0","  0","  1","  1","  0","  0","  6","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  2","  0","  0","  0","  0","  0","  8","  0","  1","  0","  1","  0","  1"," 38","  1","  5","  5","103","  1","  2","  0","  0","  0","  0","  0","  0","123"," 36","  1","  0","  0","  0","  0","  7","  0","  4","  0","  0","  0","  0"," 16","  0","  0","  0","  0","  3","  0","  0","  0","  1","  0","  0","  1","  1","  1","  0","  1","  0","  0","  1"
NA,NA,NA,"185","  0","  0","  0","  2"," 14"," 43","  0","  0"," 92","  1"," 52","  0","  0"," 62","  4","  7","  0","  3","  0"," 38","  0","  0","  0"," 40","  0"," 13","  0","  3"," 96","  0","353","  0","  0","  0","  0","  0"," 86","  0","  2","  0","  0","  0","  2","  0"," 13","  0","  0","  2"," 26","  0","  0","  0","  1","  5","  0","  0","  0","  0","  0","  0","  0"," 30","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  1","  0","  1","  0","  0","  0"," 15","  0","  0","  0","  1","  0","  0"," 52","  0","  6","  0"," 88","  6"," 12","  0","  0","  1","  0","  0","  0"," 67"," 32","  2","  0","  0","  0","  0","  3","  0","  3","  0","  0","  0","  0"," 47","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  7","  0","  0","  0","  1","  0","  0","  4"
NA,NA,NA,"215","  0","  0","  2","  4"," 29"," 70","  0","  0"," 43","  0"," 45","  2","  0"," 49","  6"," 15","  1","  6","  0"," 24","  0","  0","  0"," 18","  0"," 13","  0","  3"," 39","  0","198","  2","  0","  0","  0","  0","100","  0","  1","  0","  0","  0","  2","  0"," 16","  1","  0","  1"," 26","  0","  0","  0","  1","  6","  0","  0","  2","  0","  0","  0","  0"," 25","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 27","  0","  3","  0","  1","  0","  0"," 67","  0","  3","  1","172"," 18","  4","  0","  0","  0","  0","  0","  0","209","  7","  3","  0","  0","  0","  0","  5","  0","  4","  0","  0","  0","  0"," 43","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  1","  3","  1","  2","  0","  0","  0"
NA,NA,NA,"295","  0","  0","  0","  5","204","166","  0","  0"," 97","  0"," 94","  1","  0","154","  6"," 14","  3","  4","  0"," 29","  0","  0","  0"," 13","  0"," 14","  0","  4"," 52","  0","150","  1","  0","  0","  0","  6"," 53","  0","  0","  0","  0","  0","  2","  0","  8","  3","  0","  0"," 16","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0"," 10","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0"," 20","  0","  0","  0","  2","  0","  0","  7"," 10","  2","  6"," 54","  5"," 21","  0","  0","  0","  3","  1","  1"," 99"," 45","  6","  0","  0","  0","  1","  4","  0","  4","  0","  0","  0","  0"," 15","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  8","  0","  3","  0","  3","  0","  0","  3"
NA,NA,NA,"195","  0","  0","  0","  1"," 28"," 35","  0","  0","110","  1"," 38","  0","  0"," 73"," 14"," 11","  0","  3","  0"," 30","  0","  0","  0"," 47","  1"," 20","  1"," 11","134","  2","389","  0","  0","  0","  1","  0"," 90","  0","  7","  0","  0","  0","  1","  1"," 10","  0","  0","  0"," 18","  0","  0","  0","  1","  2","  0","  0","  2","  0","  0","  0","  0"," 23","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  3","  0","  0","  0","  9","  0","  0","  0","  0","  0","  0"," 54","  4","  3","  0","102"," 17","  9","  0","  0","  0","  0","  0","  0","106"," 21","  6","  0","  0","  0","  1","  1","  0","  1","  0","  0","  0","  0"," 49","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  3","  0","  1","  0","  2","  0","  0","  4"
NA,NA,NA,"285","  1","  0","  0","  8"," 26"," 72","  0","  1"," 73","  0"," 51","  0","  0","103","  4","  9","  2"," 10","  0"," 20","  0","  0","  0"," 10","  1","  7","  1","  1"," 39","  0","155","  1","  0","  0","  1","  0"," 45","  0","  1","  0","  0","  0","  1","  0","  3","  2","  0","  1","  6","  0","  0","  0","  0","  1","  0","  0","  2","  0","  2","  0","  0"," 15","  1","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  9","  1","  0","  0","  1","  2","  0","  4","  5","  2","  1"," 60","  6","  5","  0","  0","  0","  0","  0","  0","127"," 71","  4","  0","  0","  0","  1","  1","  1","  0","  1","  0","  0","  0"," 27","  0","  1","  0","  1","  2","  0","  0","  0","  0","  0","  0","  6","  0","  0","  0","  1","  0","  0","  1"
NA,NA,NA,"165","  3","  0","  0","  1"," 30"," 34","  0","  0","104","  2"," 50","  0","  0"," 49"," 12"," 10","  0","  0","  0"," 23","  0","  0","  0"," 44","  0"," 13","  0"," 12","125","  2","302","  0","  1","  0","  1","  1"," 71","  0","  5","  1","  0","  0","  2","  0"," 18","  0","  0","  0"," 53","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0"," 46","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  1","  0","  0"," 67","  0","  0","  0","142"," 20"," 15","  1","  0","  0","  0","  0","  2"," 54"," 16","  9","  0","  1","  0","  0","  1","  0","  3","  1","  0","  0","  0"," 53","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  1","  6"
