"Depth (cm)","Sample code","Acacia t.","Acalypha","Acanthaceae undif.","Alchornea","Alnus","Amaranthaceae undif.","Antidesma t.","Artemisia","Asphodelus t.","Asteroideae undif.","Balanites","Betula","Blighia","Bombax","Borreria t.","Boswellia","Brassicaceae","Bridelia","Calligonum","Canthium","Capparaceae undif.","Caryophyllaceae undif.","Cassia","Cedrus","Celastraceae/Hippocrateaceae","Celtis","Chrozophora","Cichorieae","Cistaceae","Combretaceae","Commiphora","Convolvulaceae","Corylus","Cyperaceae","Diodia","Ephedra","Erica t.","Euphorbia t.","Euphorbiaceae undif.","Faboideae Undif.","Fagus","Fern","Geraniaceae undif.","Grewioideae","Heliotropium","Hygrophila","Hymenocardia","Hyphaene t.","Indeterminable","Indigofera","Isoberlinia","Justicia/Monechma","Lamiaceae undif.","Lannea","Leea","Macaranga","Marker, added","Marker, found","Mitracarpus","Morella","Myriophyllum undif.","Nauclea/Mitragyna","Nitraria","Nyctaginaceae","Olea t.","Paronychieae","Petaloid monocot","Phillyrea","Phyllanthus undif.","Picea","Pinus undif.","Plantago","Plumbaginaceae","Poaceae","Podocarpus","Polygonum t.","Quercus undif.","Ranunculaceae undif.","Rhamnaceae undif.","Rhizophora","Rubiaceae undif.","Rumex t.","Salvadora","Sapium","Sapotaceae/Meliaceae","Searsia","Sesbania","Solanum","Spergularia t.","Tamarix","Tetrorchidium","Thymelaeaceae undif.","Tilia","Tribulus","Typha","Uapaca","Vitaceae undif.","Volume","Zanthoxylum"
"14540","108-658B-17-1, 9-13","0","1","0","0","1","66","0","6","1","10","0","0","0","0","1","0","0","0","2","0","0","42","0","0","0","0","0","18","0","0","0","0","0","23","0","22","0","0","0","0","0","1","0","0","0","0","0","2","20","0","0","0","0","0","0","0","27000","184","0","0","0","0","0","2","0","0","0","0","0","0","8","0","0","77","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","15","0"
"14584","108-658B-17-2, 10-12","0","0","0","0","0","87","0","12","0","12","0","0","0","0","0","0","0","0","0","0","0","27","0","0","0","0","0","6","0","0","0","0","0","85","0","11","0","0","0","0","0","1","0","0","0","0","0","1","9","0","0","0","0","0","0","0","27000","100","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","61","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","14","0"
"14626","108-658B-17-2, 52-54","0","0","0","0","0","123","0","2","0","18","0","0","0","0","0","0","0","0","0","0","0","56","0","0","0","0","0","5","0","0","0","0","0","59","0","17","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","27000","71","0","0","0","0","0","0","1","0","0","0","0","0","5","2","0","43","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","0"
"14664","108-658B-17-2, 94-97","0","0","0","0","0","145","0","10","0","21","0","0","0","0","0","0","0","0","1","0","0","59","0","0","0","0","0","7","0","0","0","1","0","66","0","18","0","0","0","0","0","2","0","0","0","0","0","0","6","0","0","0","0","0","0","0","27000","78","0","0","0","0","0","0","1","0","0","0","0","0","8","0","1","32","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","165","0"
"14700","108-658B-17-2, 137-140","0","0","0","1","0","118","0","4","0","9","0","0","0","0","0","0","0","0","0","0","0","57","1","0","0","0","0","11","0","0","0","0","0","27","0","16","0","1","0","0","0","1","0","0","0","0","0","0","6","0","0","0","0","0","0","0","27000","124","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","41","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0"
"14752","108-658B-17-3, 40-42","0","0","0","0","0","166","0","0","1","12","0","0","0","0","0","0","0","0","6","0","0","49","0","0","0","0","0","6","0","0","0","0","0","26","0","9","0","0","1","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","27000","74","0","0","0","0","0","0","0","0","0","0","0","0","10","2","0","43","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","16","0"
"14801","108-658B-17-3, 89-91","0","0","0","3","0","54","0","2","0","2","1","0","0","0","1","0","1","0","1","1","1","11","0","0","0","0","0","3","0","0","1","0","0","83","0","5","0","0","0","0","0","2","0","0","0","0","0","1","26","0","0","0","0","0","0","0","27000","71","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","93","0","0","0","0","0","8","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","145","0"
"14837","108-658B-17-3, 125-127","0","1","0","1","0","34","0","2","0","4","0","0","0","0","1","0","1","0","0","0","1","7","1","0","0","0","0","4","0","0","0","0","0","41","0","7","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","1","0","0","27000","72","0","0","0","0","0","0","1","0","0","0","0","0","6","0","0","168","0","0","0","0","0","11","1","0","0","0","0","1","0","0","0","0","1","0","0","0","2","0","0","15","0"
"14873","108-658B-17-4, 25-27","0","0","0","0","0","79","0","5","0","8","0","0","0","0","1","0","1","0","0","0","1","10","1","0","0","0","0","7","0","0","0","0","0","51","0","17","0","0","0","0","0","2","0","0","0","1","0","0","26","0","0","0","0","0","0","0","27000","172","0","0","0","0","0","1","0","0","0","0","1","0","7","0","0","134","0","0","0","0","0","14","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","1","0","14","0"
"14916","108-658B-17-4, 68-71","0","1","0","1","0","63","0","4","0","13","1","0","0","0","0","0","1","0","1","0","0","8","2","0","0","0","0","6","0","0","0","0","0","31","0","15","0","2","0","1","0","1","0","0","0","0","0","0","18","0","0","0","0","0","0","0","27000","129","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","113","0","0","1","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","125","0"
