"Sample age (cal yr BP)","Depth (cm) [cm]","Acacia t.","Adansonia digitata","Aerva type","Afraegle","Alchornea","Allophylus t.","Alternanthera t.","Amaranthaceae undif.","Ambrosia t.","Anacardiaceae undiff.","Anthostema","Antidesma t.","Artemisia","Asteroideae undif.","Asystasia","Balanites","Boscia","Bridelia","Canthium","Caryophyllaceae undif.","Cassia","Celastraceae undif.","Celtis","Chrysobalanus t.","Cleome","Clutia","Cocculus","Combretaceae","Commelina","Commiphora","Crossopteryx","Cyperaceae","Detarium","Dialium","Dichrostachys","Dioscorea","Diospyros/Euclea t.","Dodonaea","Elaeis","Ephedra","Erythrococca/Micrococca","Euphorbia t.","Euphorbiaceae undif.","Faboideae Undif.","Fern","Ficus","Heteromorpha","Hewittia","Hibiscus","Hydrocharitaceae","Hydrocotyle","Indeterminable","Ipomoea","Ixora","Kohautia","Lamiaceae undif.","Lannea","Lophira","Lotus t.","Macaranga","Maerua","Maytenus","Mitracarpus","Mitragyna/Hallea","Moraceae undif.","Musanga","Musanga/Myrianthus","Myriophyllum alterniflorum t.","Nymphaea","Onagraceae","Ormocarpum t.","Petaloid monocot","Phoenix t.","Phyllanthus undif.","Poaceae","Polygala","Polygonum t.","Potamogeton","Resedaceae undiff.","Rhizophora","Ricinus","Rubiaceae undif.","Salix","Salvadora","Sapium","Sapotaceae undif.","Scrophulariaceae undif.","Securinega  t.","Spergularia t.","Spermacoce","Syzygium t.","Tabernaemontana","Tamarix","Tapinanthus","Tetracera alnifolia","Tilia","Tinospora","Treculia","Trifolium t.","Typha","Uapaca","Urtica t.","Vernonieae","Ximenia","Zanthoxylum","Zygophyllum t."
"7298.317"," 394.000","   0.000","   0.000","   0.000","   0.000","  12.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   2.000","   0.000","   0.000","  31.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 762.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  58.000","   0.000","   4.000","   0.000","   0.000","   7.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","  33.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"7590.888"," 419.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  76.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  28.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","  17.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"7824.944"," 439.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000"," 139.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 570.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 227.000","   1.000","   4.000","   0.000","   0.000","  10.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  11.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000"
"8059"," 459","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   1","   0","   0","   3","   0","   0","   0","   0","   0","   1","   0","   0"," 170","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","1431","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   1","   0"," 295","   0","   4","   0","   1","   9","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","  28","   0","   0","   0","   1","   0","   0","   0","   0","  31","   0","   0","   0","   0","   0","   0"
"8216.082"," 479.000","   0.000","   0.000","   0.000","   0.000","   7.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","  49.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 302.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   9.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   1.000","   0.000","   0.000","   0.000","   0.000","  38.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   1.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000"," 175.000","   0.000","   0.000","   0.000","   7.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"8373.164"," 499.000","   0.000","   0.000","   0.000","   0.000","   9.000","   0.000","   0.000","   1.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","  11.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  58.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 197.000","  30.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","  18.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","  10.000","   0.000","   0.000","   0.000","   0.000","   0.000","  40.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 206.000","   0.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   5.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000"
"8530.246"," 519.000","   0.000","   0.000","   3.000","   0.000","  10.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   1.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   3.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   1.000"," 262.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000"," 224.000","  49.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   3.000","   1.000","   0.000","   2.000","   0.000","   0.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   1.000","   0.000","   2.000","  93.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000"," 203.000","   0.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"8687.328"," 539.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  15.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 229.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  41.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"8844.41"," 559.00","   0.00","   0.00","   0.00","   0.00","  12.00","   0.00","   0.00","   2.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   4.00","   0.00","   0.00","   0.00","   0.00","   5.00","   0.00","   0.00","   0.00","  41.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","1839.00","  16.00","   0.00","   0.00","   0.00","   0.00","   0.00","   6.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   9.00","   0.00","   0.00","   2.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  86.00","   0.00","   2.00","   0.00","   0.00","   8.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 188.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"9001.492"," 579.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   2.000","   0.000","   0.000"," 130.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000"," 316.000","   9.000","   0.000","   0.000","   0.000","   0.000","   0.000","   7.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","  37.000","   0.000","   1.000","   0.000","   0.000","   3.000","   0.000","   2.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","  75.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"9158.574"," 599.000","   0.000","   0.000","   0.000","   0.000","   7.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   6.000","   3.000","   0.000","   0.000","  82.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","1015.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   2.000","   0.000","   0.000","   0.000","   1.000","   6.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 105.000","   0.000","   2.000","   0.000","   0.000","   4.000","   2.000","   8.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","  47.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"9315.655"," 619.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  40.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 521.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  51.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  47.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"9472.737"," 639.000","   0.000","   0.000","   0.000","   0.000","  35.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","  34.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 221.000","  24.000","   0.000","   0.000","   0.000","   0.000","   0.000","  16.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  86.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","  54.000","   0.000","   1.000","   0.000","   0.000","   4.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 136.000","   0.000","   0.000","   0.000","  23.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000"
"9629.819"," 659.000","   0.000","   0.000","   0.000","   0.000","  39.000","   0.000","   0.000","   1.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   3.000","   1.000","   0.000","   0.000","  44.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 205.000","  12.000","   0.000","   0.000","   0.000","   0.000","   0.000","  19.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","  53.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   1.000","   4.000","   1.000","  72.000","   0.000","   0.000","   0.000","   0.000","   7.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","  46.000","   0.000","   0.000","   0.000","  18.000","   0.000","   0.000","   0.000","   0.000","   2.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"9786.901"," 679.000","   1.000","   0.000","   0.000","   0.000","  76.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","  49.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   2.000","   0.000","   0.000","   0.000"," 155.000","  25.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","  66.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   2.000","   0.000","  96.000","   0.000","   3.000","   0.000","   0.000","  13.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   3.000","   0.000","   0.000","   0.000","  17.000","   0.000","   0.000","   0.000","   0.000","   9.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"9943.983"," 699.000","   0.000","   0.000","   0.000","   0.000"," 162.000","   0.000","   1.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","  71.000","   0.000","   0.000","  42.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  75.000","  56.000","   0.000","   0.000","   0.000","   0.000","   0.000","  14.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 108.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  19.000","   0.000","  87.000","   0.000","   1.000","   1.000","   0.000","   7.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   2.000","   0.000","  20.000","   0.000","   0.000","   0.000","   0.000","   8.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"10101.07","  719.00","    0.00","    0.00","    0.00","    0.00","   79.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    3.00","    0.00","    0.00","    0.00","    0.00","    3.00","    0.00","    0.00","    0.00","  152.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   46.00","   18.00","    0.00","    0.00","    0.00","    0.00","    0.00","   14.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   24.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    7.00","    0.00","   75.00","    0.00","    0.00","    0.00","    0.00","    5.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    1.00","    1.00","    0.00","    0.00","    0.00","   10.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00"
"10258.15","  739.00","    0.00","    0.00","    0.00","    0.00","   39.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   61.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   33.00","   20.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    3.00","    0.00","   37.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00"
"10415.23","  759.00","    0.00","    0.00","    0.00","    0.00","   21.00","    0.00","    0.00","    1.00","    1.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    1.00","    2.00","    0.00","    0.00","  334.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","  408.00","   52.00","    0.00","    0.00","    1.00","    0.00","    0.00","    6.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    1.00","    1.00","    2.00","    0.00","    0.00","    2.00","    0.00","  205.00","    0.00","    0.00","    0.00","    0.00","    7.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   33.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00"
"10580.17","  780.00","    0.00","    0.00","    1.00","    0.00","    1.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    9.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    1.00","   80.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   92.00","   17.00","    0.00","    0.00","    0.00","    0.00","    0.00","    4.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    1.00","    0.00","    1.00","    0.00","  140.00","    0.00","    0.00","    1.00","    0.00","    4.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   35.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00"
"10729.39","  799.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    1.00","    2.00","    1.00","    0.00","    1.00","    0.00","    0.00","    4.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    7.00","    0.00","    0.00","    0.00","    0.00","    1.00","    5.00","    0.00","    1.00","   96.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","  167.00","   25.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    3.00","    0.00","    1.00","    0.00","    0.00","    1.00","    3.00","    2.00","    0.00","    1.00","    0.00","    0.00","  122.00","    0.00","    1.00","    0.00","    0.00","    6.00","    0.00","    4.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    4.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","   38.00","    0.00","    0.00","    0.00","    1.00","    1.00","    0.00"
"10886.48","  819.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    2.00","    0.00","    0.00","    1.00","    0.00","    0.00","    6.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","   89.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","  155.00","    8.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    1.00","    1.00","    6.00","    0.00","    0.00","    0.00","    0.00","  134.00","    0.00","    0.00","    0.00","    0.00","    4.00","    0.00","    3.00","    0.00","    0.00","    1.00","    0.00","    1.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   45.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00"
"11043.56","  839.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    4.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    5.00","    1.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","   83.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","  206.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.00","    3.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    3.00","    0.00","    0.00","    0.00","    0.00","    2.00","    9.00","    1.00","    2.00","    0.00","    0.00","    1.00","  151.00","    0.00","    2.00","    0.00","    0.00","    4.00","    0.00","    2.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   51.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00"
"11200.64","  859.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.00","    3.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    2.00","    1.00","    0.00","    0.00","   74.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","   86.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    5.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    2.00","    2.00","    0.00","    0.00","    0.00","    4.00","    3.00","    0.00","    0.00","    0.00","    0.00","    0.00","  208.00","    0.00","    1.00","    0.00","    0.00","    3.00","    0.00","    1.00","    0.00","    1.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   53.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00"
