"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Brassicaceae","Buxus","Cannabaceae undif.","Carpinus","Caryophyllaceae undif.","Centaurea","Cichorieae","Cistaceae","Coriaria","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Geraniaceae undif.","Lamiaceae undif.","Malva undif.","Myriophyllum undif.","Olea t.","Onagraceae","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rubiaceae undif.","Sparganium","Tamarix","Thymelaeaceae undif.","Tilia","Ulmus t.","Unknown","Urtica t.","Vitis"
" 9327","10733"," 8021","  540","    1","    4","   17","   10","   25","    0","    0","    5","    0","    0","    0","    0","    7","    0","    0","    0","    0","   56","    0","    1","    3","    0","    0","    0","    4","    0","    0","   19","    0","    0","    0","    6","    1","    6","   33","    1","    1","    0","    8","    0","    3","    0","    0","    6","    0","    1","    0","    0","    0","    4","    0","    0"
"10088","11813"," 8461","  570","    4","    2","   69","    9","    9","    0","    0","   47","    0","    0","    0","    0","    0","    1","    0","    0","    1","   33","    0","    0","    3","    0","    0","    0","   13","    0","    0","    0","    0","    0","    0","   19","    0","   21","   48","    3","    1","    0","    0","    1","    3","    0","    0","    0","   12","    0","    0","    0","    0","    1","    3","    0"
"10848","12924"," 8875","  600","    3","    0","   38","    0","   16","    1","    0","    3","    0","    0","    0","    0","    1","    0","    3","    0","    1","   71","    1","    2","    9","    0","    0","    0","    6","    0","    0","   28","    0","    0","    0","    8","    1","   23","   26","    1","    0","    0","    0","    3","    4","    1","    0","    0","    1","    3","    0","    0","    1","    1","    1","    0"
"11609","14046"," 9267","  630","    0","    0","   78","    0","    6","    0","    0","   81","    1","    0","    0","    0","    0","    0","    0","    3","    2","   16","    0","    0","    3","    0","    0","    0","   11","    0","    0","    2","    0","    0","    0","   18","    0","    6","   43","    0","    0","    1","    0","    8","    7","    0","    0","    0","   20","    0","    0","    0","    0","    7","    0","    1"
"12623","15552"," 9779","  670","    2","    2","   33","    3","   14","    1","    0","   37","    0","    0","    0","    0","    2","    0","    0","    4","   12","   34","    0","    2","    6","    0","    2","    0","    7","    0","    0","    2","    0","    0","    0","   41","    1","    3","   76","    0","    0","    0","    2","    4","    3","    0","    0","    1","   25","    0","    0","    0","    0","    5","    0","    1"
"13638","17073","10286","  710","    3","    0","  119","    1","   19","    0","    0","   83","    1","    0","    0","    0","    0","    0","    0","   12","   17","   20","    0","    3","    6","    0","    1","    0","   11","    0","    1","    0","    0","    0","    0","   18","    0","    0","  131","    0","    0","    1","    0","    8","   10","    0","    0","    0","   48","    0","    0","    0","    0","   11","    0","    0"
"14652","18611","10793","  750","    1","    3","   78","    2","   26","    0","    1","  113","    1","    0","    0","    0","    0","    0","    0","    3","   12","   32","    0","    0","    0","    0","    5","    0","   14","    0","    0","    0","    0","    0","    0","   30","    0","    4","   33","    0","    0","    0","    0","    1","    1","    0","    0","    0","   10","    1","    0","    1","    0","    7","    0","    0"
"15666","20153","11302","  790","    0","    0","   16","    1","   65","    0","    0","    5","    0","    0","    0","    0","    4","    0","    0","    0","    3","    3","    0","    1","    3","    0","   39","    1","    2","    1","    0","   15","    0","    0","    0","    9","    0","   63","   33","    3","    0","    0","    0","    0","    0","    0","    0","    0","    2","    3","    0","    0","    0","   31","    0","    0"
"16680","21700","11813","  830","    0","    6","   14","    2","   12","    0","    0","    2","    0","    0","    0","    3","    0","    0","    0","   10","    0","  108","    0","    0","   11","    0","    0","    0","    1","    0","    1","   52","    0","    0","    3","    8","    0","   29","   49","    3","    0","    0","    2","    2","   11","    0","    0","    0","    0","    8","    1","    0","    0","    1","    0","    0"
"17695","23253","12325","  870","    1","    5","   46","    3","   30","    0","    0","   57","    0","    1","    0","    0","    0","    0","    0","    6","   19","   38","    0","    0","    2","    0","    5","    0","    2","    0","    0","    4","    0","    0","    0","   24","    0","    3","   37","    0","    0","    0","    1","    5","   15","    1","    0","    0","    7","    1","    0","    0","    0","   12","    0","    0"
"18455","24418","12709","  900","    0","    0","   56","    1","   17","    1","    0","   81","    0","    0","    0","    0","    2","    0","    0","    4","    5","   33","    0","    0","    0","    0","    0","    0","    8","    0","    0","    1","    0","    1","    0","   10","    0","    4","   29","    0","    0","    0","    0","    3","    9","    0","    0","    0","   13","    0","    0","    1","    0","   20","    0","    0"
