"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acer","Algae","Algae? (type 229, HdV)","Alnus","Alternaria","Amaranthaceae undif.","Amphisphaerella dispersella (type 310, HdV)","Anthemideae undif.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brachysporium obovatum/B. bloxami/Bactrodesmium betulicola (type 359, HdV)","Brassicaceae","Byssothecium circinans (type 16C, HdV)","Callitriche","Calluna","Campanulaceae","Cardueae undif.","Caryophyllaceae undif.","Castanea","Centaurea","Cercophora-type/Cercophora sp. (type 112, HdV)","Chaetomium sp. (type 7A, HdV)","Cichorieae","Cistaceae","Copepoda (type 28, HdV)","Corylus","Cupressaceae","Cyperaceae","Drosera","Erica t.","Erodium","Fabaceae Undif.","Fagus","Fern","Fern-Lycopodiaceae","Frangula","Fraxinus","Fungi (type 123, HdV)","Fungi (type 18, HdV)","Fungi (type 19, HdV)","Fungi (type 20, HdV)","Fungi (type 305, HdV)","Fungi (type 351, HdV)","Fungi (type 461, HdV)","Fungi (type 495, HdV)","Fungi (type 65, HdV)","Fungi (type 90, HdV)","Fungi (type 92, HdV)","Galium t.","Gelasinospora (type 1, HdV)","Gelasinospora cf. G. retispora (type 2, HdV)","Genisteae","Geranium","Glomus cf. G. fasciculatum (type 207, HdV)","Ilex","Juglans","Lamiaceae undif.","Lasiosphaeria sp. (type 63C, HdV)","Malva","Microthyrium sp.? (Type 8B)","Musci","Neurospora crassa (type 55C, HdV)","Olea t.","Onagraceae","Petaloid monocot","Pinus mediterranea","Pinus nigra/sylvestris t.","Pinus pinaster","Plantago","Pleospora sp. (type 3B, HdV)","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Podospora-type (type 368, HdV)","Polygonum t.","Potamogeton","Prunus t.","Pseudoschizaea circula","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Riccia cf. R. sorocarpa (type 165, HdV)","Rosaceae undif.","Rumex t.","Salix","Sambucus","Scrophulariaceae undif.","Secale","Sordaria-type (type 55A, HdV)","Sporormiella (type 113, HdV)","Tardigrada (type 902, HdV)","Taxus","Trichocladium opacum (type 10A, HdV)","Ulmus t.","Unknown","Unknown (type 708, HdV)","Urtica t.","Viburnum","Vitis","Zygnema-type (type 314, HdV)","cf. Persiciospora (type 124, HdV)","cf. Richonia variospora (type 140, HdV)"
"107",NA,NA,"  0","  0","  0","  0","  8","  2","  5","  0","  5","  2","  0","  0","  0","  1","  7","  0","  8","  0","  0","  0","  0","  0","  0"," 19","  0","  4","  2","  1","  6","  0","  3","  0"," 24","  0"," 28","  0"," 27","  0"," 12"," 84","  0","  7","  0"," 20","  0","  0"," 15","  0","  0","  0","  1","  0","  0","  1","  0","  0"," 47","  0","  3","  0","  0","  0","  1","  0","  1","  0","  0"," 40","  0","  3","  4"," 90","  4","  6","  4","  0"," 65","  0","  0","  0","  0","  5","  0"," 72","  9","  6","  2","  0"," 12"," 13","  5","  3","  3","  0"," 18","  0","  0","  0"," 12","  0","  1","  0","  1","  0","  0","  0","  0","  0"
"112",NA,NA,"  4","  0","  0","  0","  6","  1","  7","  0","  4","  2","  0","  0","  0","  4","  4","  0","  7","  0","  0","  0","  0","  1","  0"," 14","  0","  5","  0","  3","  4","  0","  2","  0"," 31","  0"," 32","  0"," 23","  0"," 20","190","  0","  5","  0"," 37","  0","  0","  6","  0","  0","  0","  0","  0","  1","  0","  0","  0"," 42","  0","  7","  0","  0","  0","  0","  0","  1","  0","  0"," 47","  0","  2","  6"," 93"," 12","  8","  5","  0","111","  1","  0","  0","  0","  5","  0"," 48","  8","  4","  1","  0"," 14"," 20","  3","  1","  6","  0"," 23","  0","  0","  0","  9","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"118",NA,NA,"  8","  0","  0","  0","  9","  0","  6","  1","  3","  1","  0","  0","  0","  8","  3","  0","  6","  0","  0","  0","  0","  0","  0"," 18","  0","  3","  0","  4","  5","  1","  3","  0"," 50","  0"," 30","  0"," 21","  0"," 18","155","  0","  6","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  1","  0"," 47","  0"," 20","  0","  2","  0","  3","  0","  0","  0","  0"," 38","  0","  3","  3"," 56","  8"," 11","  8","  1","136","  4","  0","  0","  0","  6","  0"," 50"," 10","  5","  1","  0","  8"," 28","  1","  1","  8","  0"," 41","  0","  0","  0"," 10","  0","  0","  0","  2","  0","  0","  0","  0","  0"
"123",NA,NA," 12","  0","  0","  0"," 10","  0","  2","  0","  4","  0","  0","  0","  0","  6","  1","  0"," 14","  0","  0","  0","  0","  0","  1"," 15","  0","  1","  0","  8","  4","  0","  4","  0"," 33","  0"," 32","  0"," 23","  1"," 29","153","  0","  5","  2","  5","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0"," 42","  0","  8","  0","  2","  0"," 21","  0","  0","  0","  0"," 55","  0","  2","  8"," 32"," 14","  8"," 21","  0","128","  5","  1","  0","  0","  3","  0"," 57","  8","  3","  1","  0","  4"," 22","  2","  2","  8","  0"," 14","  1","  1","  0","  3","  0","  0","  0","  1","  0","  1","  0","  0","  0"
"128",NA,NA," 16","  0","  0","  1"," 13","  0","  2","  0","  0","  0","  0","  0","  0","  6"," 10","  0","  7","  0","  0","  1","  0","  3","  0"," 16","  0","  0","  5","  7","  3","  0","  3","  0"," 93","  0"," 27","  0"," 38","  2"," 27","227","  0","  0","  0","  8","  0","  0","  0","  3","  0","  0","  0","  0","  2","  0","  0","  0"," 32","  0"," 15","  0","  3","  0"," 18","  0","  0","  0","  0"," 40","  0","  6","  2"," 21","  2"," 15","  1","  0","157"," 11","  0","  0","  0","  3","  1"," 58","  9","  3","  2","  0","  2"," 27","  1","  1","  8","  0"," 24","  1","  1","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"133",NA,NA," 20","  0","  1","  3","  8","  1","  0","  0","  3","  2","  0","  1","  0","  5","  2","  0","  3","  0","  0","  0","  0","  0","  2"," 23","  0","  3","  0","  3","  4","  0","  3","  0"," 47","  0"," 63","  0"," 23","  1"," 30","333","  0","  4","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0"," 42","  0"," 21","  0","  1","  0"," 75","  0","  0","  0","  0"," 34","  0","  4","  0"," 29","  0"," 12"," 31","  0","130"," 10","  0","  0","  0","  2","  0"," 55","  9","  7","  1","  0","  9"," 27","  4","  1","  7","  0"," 29","  2"," 15","  0"," 33","  0","  0","  0","  0","  1","  0","  1","  0","  0"
"138",NA,NA," 24","  0","  0","  1","  9","  0","  1","  0","  2","  2","  0","  0","  0","  3","  1","  0","  2","  0","  0","  0","  0","  0","  3"," 14","  0","  1","  0","  7","  2","  0","  7","  0"," 32","  0"," 51","  0"," 26","  0"," 26","274","  0","  3","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0"," 33","  0"," 14","  0","  2","  0"," 39","  0","  0","  0","  0"," 36","  0","  3","  0"," 11","  1"," 15"," 22","  0","149","  5","  0","  0","  0","  4","  0"," 63","  7","  8","  1","  0","  8"," 23","  1","  2","  9","  0"," 23","  3","  2","  0"," 34","  0","  0","  0","  1","  0","  0","  0","  0","  0"
"143",NA,NA," 28","  0","  0","  0","  7","  0","  2","  0","  2","  1","  0","  0","  0","  4","  0","  0","  4","  0","  0","  0","  0","  0","  4"," 21","  0","  0","  0","  6","  3","  0","  9","  0"," 40","  0"," 53","  0"," 23","  0"," 43","210","  0","  4","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 12","  0","  0","  0"," 63","  0","  8","  0","  2","  0"," 39","  0","  0","  0","  0"," 17","  0","  3","  0","  7","  0"," 13"," 16","  0","158","  4","  0","  0","  0","  8","  0"," 85","  7","  9","  0","  0"," 11"," 25","  3","  0","  6","  0"," 18","  3","  0","  0","  3","  0","  0","  0","  1","  0","  0","  0","  0","  0"
"207",NA,NA," 32","  0","  0","  0","  4","  0","  1","  0","  1","  2","  0","  0","  0","  5","  0","  0","  6","  0","  0","  1","  0","  0","  1"," 17","  0","  0","  0","  9","  2","  0","  5","  0"," 53","  0"," 42","  0"," 18","  0"," 35","127","  0","  3","  5","  1","  0","  0","  2","  0","  0","  0","  0","  0"," 22","  0","  0","  0"," 54","  0"," 15","  1","  1","  0"," 51","  0","  2","  0","  0"," 10","  0","  5","  0"," 11","  0"," 15"," 23","  0","168","  3","  3","  0","  0","  6","  0"," 78"," 10"," 10","  0","  0"," 10"," 16","  0","  0","  4","  0"," 21","  6","  0","  1","  6","  0","  0","  0","  1","  0","  0","  0","  0","  0"
"269",NA,NA," 34","  0","  0","  0","  4","  0","  1","  0","  2","  1","  0","  0","  0","  9","  1","  0","  8","  2","  0","  0","  0","  0","  5"," 24","  0","  8","  0"," 16","  0","  0","  5","  0"," 44","  0"," 23","  0"," 19","  0"," 37","144","  0","  3","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0"," 37","  0"," 18","  0","  1","  0"," 31","  0","  5","  0","  0"," 16","  0","  5","  0"," 13","  0"," 18"," 40","  0","196","  5","  5","  0","  0","  4","  0"," 65"," 11","  5","  0","  0"," 13"," 14","  2","  1","  2","  0"," 31","  5","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0"
