"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Buxus","Calluna","Campanulaceae","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbiaceae undif.","Fabaceae Undif.","Fagopyrum","Fagus","Filipendula t.","Fraxinus","Gentianaceae undif.","Hedera","HippophaÃ«","Hydrocotyle","Juglans","Lamiaceae undif.","Lotus t.","Lysimachia","Lythrum","Mercurialis","Myriophyllum alterniflorum t.","Nuphar","Nymphaea","Olea t.","Persicaria t.","Petaloid monocot","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potentilla t.","Primulaceae undif.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Secale","Solanaceae undif.","Sparganium","Thalictrum","Tilia","Typha","Ulmus t.","Unknown","Urtica t.","Utricularia","Valerianaceae undif.","Vitis"
"11070",NA,NA,"  680","   11","    0","   24","    0","    3","    6","    5","   10","    0","    1","    3","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","    2","  307","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","   98","    0","    0","    0","  165","    0","    0","    0","    0","   33","    0","    0","    0","    0","    2","    1","    2","    2","    0","    0","    0","    0","    0","   16","    0","    5","    2","    1","  138","    0","    0","    0","    0"
"11257",NA,NA,"  685","    5","    0","   80","    1","    1","    4","    5","    8","    0","    3","    1","    0","    0","    8","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    2","   84","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    1","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","   91","    0","    0","    0","  157","    0","    0","    0","    0","   22","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","   10","    3","    2","    1","    1","  147","    0","    0","    0","    0"
"11444",NA,NA,"  690","    0","    0","   60","    1","    0","    3","    3","    8","    0","    0","    4","    0","    1","   12","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    2","   72","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","    0","    2","    0","    0","    0","    0","   47","    1","    0","    0","  181","    1","    0","    0","    0","   20","    0","    0","    0","    0","    3","    0","    1","    0","    0","    0","    0","    0","    0","   20","    1","    0","    2","    1","  108","    0","    0","    0","    0"
"11533",NA,NA,"  695","    0","    0","  426","    4","    0","   54","    3","   66","    0","    4","    8","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","    1","  749","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   51","    0","    0","    0","   13","    1","    0","    0","    0","   36","    0","    0","    0","    2","   23","    1","    1","    0","    0","    0","    0","    0","    0","   36","    0","    0","    0","    0","    1","    0","    0","    0","    0"
"11621",NA,NA,"  700","    0","    0","  466","    0","    0","   15","    2","   44","    0","    3","    1","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","  485","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    2","    4","    0","    1","    0","    0","    0","    0","    0","    0","   91","    0","    0","    0","    8","    0","    0","    0","    0","   28","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","   53","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"11710",NA,NA,"  705","    3","    0","  276","    0","    1","    8","    0","   33","    0","    2","    1","    2","    0","    3","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    3","  229","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","   57","    0","    0","    0","   10","    2","    1","    0","    0","   12","    0","    1","    0","    0","   14","    0","    0","    0","    0","    0","    1","    0","    0","   28","    0","    0","    0","    0","    4","    0","    0","    0","    0"
"11770",NA,NA,"  710","    6","    0","  346","    0","    3","    5","    1","   15","    0","    0","    1","    0","    0","    3","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    4","    1","  333","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    2","    0","    2","    0","    0","    0","    0","   81","    0","    0","    0","   15","    0","    0","    0","    0","   29","    0","    0","    0","    0","    5","    0","    2","    0","    0","    0","    0","    0","    0","   61","    0","    1","    0","    0","   25","    0","    0","    0","    0"
"11830",NA,NA,"  715","    7","    0","  374","    0","    1","    4","    4","   12","    0","    1","    2","    0","    2","    2","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    2","    1","  425","    0","    1","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","   17","    0","    0","    0","    2","    0","    0","    0","    0","   60","    0","    1","    0","   40","    0","    0","    0","    0","   39","    0","    1","    0","    0","    2","    2","    0","    0","    0","    0","    0","    0","    0","   36","    1","    0","    0","    1","   36","    0","    0","    0","    0"
"11890",NA,NA,"  720","    9","    0","  220","    1","    2","    5","    2","   14","    0","    2","    5","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","  190","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","   25","    0","   18","    0","   19","    0","    1","    0","    0","   71","    0","    1","    0","  232","    0","    0","    0","    0","   52","    0","    0","    0","    0","    2","    9","    1","    0","    0","    0","    0","    0","    0","   47","    0","    0","    0","    1","   40","    0","    0","    0","    1"
"11950",NA,NA,"  725","   20","    0","  242","    2","    2","    4","    2","    7","    0","    1","    5","    1","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","  113","    0","    2","    0","    0","    1","    0","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    2","    4","    0","   17","    0","    9","    0","    0","    0","    0","  111","    0","    0","    0","  428","    0","    0","    0","    0","   67","    0","    1","    0","    0","    0","    7","    1","    0","    0","    0","    0","    0","    0","   39","    0","    2","    0","    1","  322","    0","    0","    0","    0"
