"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Buxus","Calluna","Campanulaceae","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbiaceae undif.","Fabaceae Undif.","Fagopyrum","Fagus","Filipendula t.","Fraxinus","Gentianaceae undif.","Hedera","HippophaÃ«","Hydrocotyle","Juglans","Lamiaceae undif.","Lotus t.","Lysimachia","Lythrum","Mercurialis","Myriophyllum alterniflorum t.","Nuphar","Nymphaea","Olea t.","Persicaria t.","Petaloid monocot","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potentilla t.","Primulaceae undif.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Secale","Solanaceae undif.","Sparganium","Thalictrum","Tilia","Typha","Ulmus t.","Unknown","Urtica t.","Utricularia","Valerianaceae undif.","Vitis"
"13132",NA,NA,"  830","   21","    0","  382","    0","    0","    3","    2","   26","    0","    8","    3","    0","    0","    5","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    3","   63","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","   18","    0","    0","    0","    0","  150","    0","    0","    0","   22","    0","    0","    0","    0","   24","    0","   10","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   49","    0","    0","    0","    2","   17","    0","    0","    0","    0"
"13183",NA,NA,"  835","    1","    0","   20","    0","    1","    7","    9","   11","    0","    1","    3","    1","    0","   51","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    3","   53","    0","    3","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    1","    0","    3","    0","   10","    0","    0","    0","    0","   95","    0","    2","    0","  180","    0","    0","    0","    0","   30","    0","    3","    1","    0","    5","    3","    0","    0","    0","    0","    0","    0","    0","   91","    0","    0","    2","    0","   67","    0","    0","    1","    0"
"13234",NA,NA,"  840","    9","    0","  292","    1","    0","   10","    9","   24","    0","    2","    5","    1","    0","   37","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    1","   72","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","   10","    0","    8","    0","   14","    0","    0","    0","    0","  147","    0","    0","    0","  123","    0","    0","    0","    0","   28","    0","    1","    0","    0","    6","    0","    1","    0","    0","    0","    0","    0","    0","  119","    0","    0","    0","    1","   87","    0","    0","    0","    0"
"13286",NA,NA,"  845","    4","    1","  266","    1","    1","    8","    0","   18","    0","    2","    4","    0","    0","   10","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    1","    1","   25","    1","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    4","    0","   12","    0","    0","    0","    0","   85","    0","    0","    0","  233","    0","    0","    0","    0","   18","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","    0","    0","    0","   81","    0","    0","    2","    1","   45","    0","    1","    0","    0"
"13409",NA,NA,"  850","    4","    1","  582","    0","    0","    5","    0","   21","    0","    2","    8","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    3","    2","   50","    0","    2","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    0","    1","    6","    0","    8","    0","   24","    0","    0","    0","    0","  140","    0","    2","    0","  118","    0","    1","    0","    0","   35","    0","    2","    0","    0","    3","    0","    4","    0","    0","    0","    0","    0","    0","  129","    1","    0","    3","    2","  183","    0","    0","    0","    0"
"13605",NA,NA,"  855","    2","    1","  412","    1","    0","    3","    2","   10","    0","    0","    9","    0","    0","    5","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    1","    0","  136","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","   10","    0","   15","    0","    0","    0","    0","  116","    0","    1","    0","  273","    0","    0","    0","    0","   24","    0","    3","    0","    0","    1","    2","    1","    0","    0","    0","    0","    0","    0","  136","    0","    0","    5","    1","  141","    0","    1","    0","    0"
"13800",NA,NA,"  860","    1","    0","  402","    1","    0","    4","    3","   14","    0","    2","    7","    0","    1","    2","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    3","    4","   59","    0","    2","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    2","    0","    0","    4","    0","   11","    0","   26","    0","    0","    1","    0","   75","    0","    0","    0","  156","    0","    0","    0","    0","   38","    0","    1","    0","    0","    0","    3","    3","    0","    0","    1","    0","    0","    0","  165","    0","    0","    5","    0","  182","    0","    0","    0","    0"
"13996",NA,NA,"  865","    2","    0","  110","    2","    0","    5","    4","   55","    0","    4","   15","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","   43","    0","    2","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","   29","    0","   65","    0","    0","    0","    0","   67","    0","    0","    0","  179","    0","    0","    2","    0","   27","    0","    1","    0","    0","    1","    7","    3","    0","    1","    0","    0","    0","    0","  247","    0","    0","    2","    0","   11","    0","    0","    0","    0"
"14191",NA,NA,"  870","    0","    1","  484","    2","    0","   10","    2","   25","    0","    3","   10","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","   52","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    2","    0","    0","   12","    1","   37","    0","    0","    0","    0","   94","    0","    0","    0","   97","    0","    0","    0","    0","   54","    0","    1","    0","    1","    4","    2","    0","    0","    0","    0","    0","    0","    0","  250","    2","    0","    4","    0","   33","    0","    0","    0","    0"
"14387",NA,NA,"  875","    4","    0","  246","    0","    2","   13","    6","   25","    0","    2","    4","    0","    1","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   49","    0","    1","    0","    0","    1","    0","    1","    0","    2","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","   13","    0","   35","    0","    0","    0","    0","   54","    0","    1","    0","   92","    0","    0","    0","    0","   30","    0","    1","    0","    0","    1","    4","    2","    0","    0","    0","    0","    0","    0","  109","    1","    0","    3","    1","   54","    0","    0","    0","    0"
"14582",NA,NA,"  880","    6","    0","  356","    2","    2","    9","    7","   27","    0","    1","    6","    1","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","    2","  186","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","    0","   19","    0","    0","    0","    0","   97","    0","    0","    0","   72","    0","    0","    0","    0","   31","    0","    1","    0","    0","    5","    2","    4","    0","    0","    0","    1","    0","    0","   87","    0","    0","    0","    0","   12","    0","    0","    0","    0"
"14778",NA,NA,"  885","    6","    0","   36","    1","    2","   19","    6","   22","    0","    1","    6","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    1","  140","    0","    1","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    8","    1","   22","    0","    0","    0","    0","   97","    0","    2","    0","  135","    0","    0","    0","    0","   36","    0","    2","    0","    0","    3","    6","    2","    0","    0","    0","    0","    0","    0","  139","    0","    2","    1","    1","   36","    0","    0","    0","    0"
"14973",NA,NA,"  890","    3","    0","   10","    1","    1","    5","    3","   31","    0","    6","    9","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    3","   60","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    2","    0","    2","    0","    0","   18","    1","   37","    0","    0","    0","    0","   61","    0","    1","    0","  161","    0","    0","    0","    0","   39","    0","    2","    0","    0","    5","    2","    3","    0","    1","    0","    0","    0","    0","  261","    0","    0","    1","    4","   18","    0","    0","    0","    0"
"15169",NA,NA,"  895","    1","    0","  162","    2","    4","    9","    5","   40","    0","    3","   24","    0","    0","    2","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","    0","    4","   90","    0","    1","    0","    0","    2","    0","    0","    1","    0","    0","    0","    0","    0","    0","    2","    0","    5","    1","    0","   22","    0","   62","    0","    0","    0","    0","   92","    0","    1","    0","  309","    0","    0","    0","    0","   48","    0","    0","    0","    0","    5","    3","    1","    0","    2","    0","    1","    0","    0","  387","    3","    0","    1","    0","   23","    0","    0","    0","    0"
"15364",NA,NA,"  900","    2","    0","   42","    3","    2","   11","    4","   46","    0","    4","   13","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    5","   65","    0","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    3","    1","    0","   67","    0","   49","    0","    0","    0","    0","   57","    0","    2","    0","  172","    0","    0","    0","    0","   39","    0","    1","    1","    1","    4","    4","    3","    0","    1","    0","    0","    0","    0","  372","    0","    0","    3","    3","   29","    0","    0","    0","    0"
"15560",NA,NA,"  905","    0","    0","  456","    0","    1","   27","    4","  100","    0","    2","    9","    0","    0","    1","    0","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","   23","   53","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","   30","    0","    2","    0","    0","    0","    0","   12","    0","    3","    0","   76","    0","    0","    0","    0","   26","    0","    4","    0","    4","    3","    1","    1","    0","    2","    0","    0","    0","    0","  715","    3","    0","    0","    0","   10","    0","    0","    0","    0"
"15755",NA,NA,"  910","    0","    0","   78","    2","    0","   20","    4","   80","    0","    4","    4","    0","    0","    1","    0","    0","    0","    0","    0","    1","    1","    0","    0","    1","    0","   13","  105","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","   31","    3","    6","    0","    0","    0","    0","   36","    0","    0","    0","   63","    0","    0","    1","    0","   25","    0","    4","    0","    0","    4","    1","    1","    0","    0","    0","    0","    0","    0","  664","    1","    0","    1","    1","   10","    0","    0","    0","    0"
"15951",NA,NA,"  915","    0","    0","   50","    2","    0","   13","    2","   91","    0","    4","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    9","   71","    0","    0","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   17","    0","    1","    0","    0","    0","    0","   23","    0","    1","    0","   43","    0","    0","    0","    0","   13","    0","    4","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    0","  442","    1","    0","    0","    0","    0","    0","    0","    0","    0"
"16146",NA,NA,"  920","    0","    0","   42","    4","    0","   17","    4","   90","    0","    5","    9","    0","    0","    3","    0","    0","    0","    0","    2","    0","    0","    0","    1","    1","    0","   16","   51","    0","    0","    0","    0","    1","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   47","    0","    0","    0","    0","    0","    0","   44","    0","    0","    0","  125","    0","    0","    0","    0","   12","    0","    9","    0","    0","    3","    1","    1","    0","    0","    0","    0","    0","    0","  369","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"16342",NA,NA,"  925","    0","    0","  144","    1","    0","   21","    5","  101","    0","    2","   12","    0","    0","    2","    0","    0","    0","    0","    1","    0","    1","    1","    0","    1","    0","    5","   61","    0","    2","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","   22","    0","    0","    0","    0","    0","    0","   30","    0","    0","    0","   29","    0","    0","    0","    0","   15","    0","    2","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","  293","    2","    0","    0","    0","    2","    0","    0","    0","    0"
"16537",NA,NA,"  930","    3","    0","   88","    1","    0","   23","    4","  108","    0","    5","    7","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    6","   79","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   19","    0","    0","    0","    0","    0","    2","   46","    0","    1","    0","   22","    0","    0","    0","    0","   17","    0","    4","    1","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","  219","    1","    0","    0","    0","    2","    0","    0","    0","    0"
