"age_NA","ageolder_BP","ageyounger_BP","depth","Alnus","Amaranthaceae undif.","Apiaceae undif.","Asphodelus t.","Asteroideae undif.","Caryophyllaceae undif.","Cichorieae","Cistaceae","Corylus","Cyperaceae","Ephedra","Erica t.","Fabaceae Undif.","Hypericum undif.","Lamiaceae undif.","Lythrum","Myriophyllum undif.","Myrtus","Petaloid monocot","Phillyrea","Pinus pinaster","Plantago","Poaceae","Quercus deciduous","Quercus subgen. Cerris","Salix","Thymelaeaceae undif.","Typha","Unknown"
NA,NA,NA," 90","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0"," 14","  0","  0","  0","  0","  4","  0","  0","  0","  2","  8"," 10"," 82"," 70"," 12","  0","  0","420"
NA,NA,NA,"210","  0","  0"," 22","  7"," 13","  0"," 11"," 50","  0","  0","  0"," 61","  0","  0","  0","  0","  0","  0","  0","  0","  7","  0","  7","  1","  1","  0","  0","  0","429"
NA,NA,NA,"270","  2","  0","  5","  0"," 40","  0","  3"," 32","  0","  0","  0"," 32","  0","  0","  0","  0","  0","  3","  0","  0","  4","  0","  0","  5","  4","  0","  0","  0","320"
NA,NA,NA,"180","  0","  0","  6","  0"," 18","  0"," 12"," 40","  0","  0","  0"," 63","  0","  0","  0","  0"," 11","  0","  0","  0","  8","  2"," 14","  6","  4","  0","  0","  0","431"
NA,NA,NA," 95","  0","  0","  6","  0","  0","  0","  0","  0","  0","  3","  3"," 12","  0","  0","  3","  0","  9","  0","  0","  0","  0","  6"," 48"," 94"," 51"," 33","  0","  0","584"
NA,NA,NA,"170","  0","  0","  4","  0","  9","  0","  9"," 33","  0","  0","  0"," 30","  0","  0","  0","  0","  2","  0","  0","  0","  8","  0"," 25"," 10","  8","  0","  0","  4","344"
NA,NA,NA,"260","  2","  0"," 22","  0"," 15","  4","  0"," 43","  0","  0","  0"," 28","  0","  0","  0","  0","  0","  2","  0","  3","  4","  0","  7"," 10","  6","  0","  0","  0","358"
NA,NA,NA,"200","  0","  0","  8","  3"," 10","  0","  4"," 48","  0","  0","  0"," 37","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0","  7","  3","  2","  3","  0","  4","318"
NA,NA,NA,"120","  0","  0"," 12","  0","  4","  0","  0","  0","  0","  4","  0"," 36","  0","  4","  0","  0","  0","  4","  0","  0","  0"," 12"," 32"," 64"," 40","  4","  0","  4","488"
NA,NA,NA,"230","  0","  2"," 13","  0","  4","  1","  3"," 44","  0","  0","  1"," 56","  0","  0","  0","  0","  0","  0","  0","  2","  2","  0","  2","  0","  1","  0","  0","  3","322"
NA,NA,NA,"190","  0","  1","  9","  0","  8","  0","  6"," 47","  0","  0","  0"," 46","  0","  0","  0","  0","  2","  0","  0","  0","  5","  3"," 13"," 14"," 11","  4","  0","  0","410"
NA,NA,NA," 30","  0","  4","  3","  2","  0","  0","  0","  0","  0"," 14","  0"," 15","  0","  0","  0","  0","  2","  0","  2","  1","  0","  0"," 23"," 75"," 30"," 16","  0","  2","450"
NA,NA,NA,"105","  8","  8","  6","  0","  0","  0","  0","  2","  0","  0","  0"," 20","  0","  2","  0","  0","  0","  0","  0","  2","  6","  0"," 24"," 88"," 46","  8","  0","  2","480"
NA,NA,NA,"160","  0","  5","  3","  0","  6","  0","  8"," 56","  0","  4","  0"," 35","  0","  0","  0","  0","  0","  0","  0","  0"," 17","  0"," 18"," 12"," 14","  0","  0"," 17","477"
NA,NA,NA,"240","  0","  0","  4","  4","  5","  1","  6"," 33","  0","  0","  0"," 44","  0","  0","  0","  0","  0","  1","  0","  3","  1","  0","  5","  6","  2","  0","  0","  7","277"
NA,NA,NA," 25","  0","  2","  0","  0","  4","  0","  0","  0","  0","  2","  0"," 16","  0"," 10","  2","  0","  0","  4","  2","  0","  4","  4"," 26"," 52"," 46","  4","  0","  0","368"
NA,NA,NA,"250","  4","  0"," 12"," 14"," 24","  2","  4"," 54","  0","  0","  0"," 46","  0","  0","  0","  0","  0","  2","  0","  2","  2","  0","  8","  9","  2","  0","  0","  0","439"
NA,NA,NA," 50","  0","  2","  0","  0","  4","  0","  4","  2","  2","  6","  0"," 16","  0","  0","  0","  4","  0","  0","  0","  0","  2","  4"," 22"," 93"," 44"," 28","  0","  0","490"
NA,NA,NA,"150","  0","  4","  6","  2","  8","  0","  0"," 18","  0","  0","  0"," 48","  0","  0","  0","  0","  4","  0","  0","  4"," 10","  4"," 12"," 15"," 12","  0","  0","  2","343"
NA,NA,NA,"130","  0","  2"," 10","  2","  2","  0","  0","  0","  0","  2","  0"," 50","  0","  0","  0","  0"," 12","  2","  0","  2","  4","  2"," 34"," 62"," 50"," 18","  0","  0","550"
NA,NA,NA,"115","  0","  8","  2","  0","  0","  0","  2","  0","  0","  4","  2"," 24","  2","  0","  0","  2","  0","  0","  0"," 10","  8","  4"," 32"," 62"," 58"," 20","  0","  0","516"
NA,NA,NA,"125","  4","  2"," 12","  2","  2","  0","  0","  0","  0","  4","  0"," 54","  0","  0","  0","  0"," 16","  0","  0","  4","  2","  2"," 36"," 60"," 54"," 12","  0","  0","550"
NA,NA,NA,"110","  0","  2","  7","  0","  0","  0","  2","  0","  0","  3","  0"," 13","  2","  2","  0","  0","  2","  2","  0","  3","  2","  9"," 20"," 73"," 56"," 16","  0","  0","452"
NA,NA,NA,"140","  0","  2"," 10","  0","  4","  0","  2"," 10","  0","  8","  0"," 56","  2","  0","  0","  2","  0","  0","  0","  0"," 14"," 12"," 48"," 16"," 20","  2","  0"," 12","467"
NA,NA,NA," 20","  0","  0","  4","  0"," 12","  0","  0","  2","  4"," 18","  0"," 20","  0","  6","  0","  0","  0","  2","  0","  6","  4","  4"," 58"," 78"," 70"," 28","  0","  6","746"
NA,NA,NA,"100","  8","  4","  8","  0","  4","  0","  0","  0","  0","  4","  0"," 16","  4","  4","  0","  0"," 12","  4","  0","  8","  4","  0"," 24"," 76"," 44"," 12","  0","  0","532"
NA,NA,NA," 60","  0","  1","  2","  0","  2","  0","  0","  2","  1","  6","  0"," 29","  2","  1","  0","  0","  0","  5","  0","  0","  2","  6"," 25"," 85"," 65"," 15","  2","  0","532"
NA,NA,NA," 65","  0","  4","  3","  0","  3","  0","  0","  0","  0","  1","  1"," 10","  1","  0","  0","  1","  0","  1","  0","  2","  1","  6"," 20"," 89"," 47"," 15","  0","  2","423"
NA,NA,NA,"220","  0","  1"," 10","  7","  9","  4"," 12"," 49","  0","  0","  0"," 78","  1","  0","  0","  0","  2","  2","  0","  0","  2","  0","  6","  3","  4","  3","  0","  3","473"
NA,NA,NA," 55","  0","  2","  8","  0","  2","  0","  2","  4","  2"," 12","  0"," 12","  2","  0","  0","  2","  0","  2","  0"," 10","  0","  2"," 30"," 92"," 50"," 38","  0","  0","586"
NA,NA,NA," 15","  2","  4","  6","  0","  2","  0","  2","  0","  0"," 14","  0"," 12","  0","  2","  0","  0","  2","  0","  0"," 14","  6","  8"," 28"," 76"," 68"," 14","  0"," 36","802"
NA,NA,NA," 85","  0","  0"," 47","  0","  2","  0","  1","  1","  1","  2","  1"," 15","  1","  0","  0","  0","  1","  2","  0","  3","  2","  6"," 25"," 77"," 66"," 14","  0","  0","558"
NA,NA,NA," 35","  0","  2","  4","  0","  1","  0","  0","  2","  1"," 15","  0"," 16","  1","  1","  0","  0","  4","  2","  0","  6","  6","  3"," 38","109"," 79"," 24","  0","  1","663"
NA,NA,NA," 75","  0","  3","  5","  0","  1","  0","  1","  3","  1"," 11","  0"," 15","  1","  0","  0","  0","  3","  1","  0","  7","  2","  5"," 20","100"," 60"," 17","  0","  3","548"
NA,NA,NA," 80","  0","  3","  7","  0","  2","  0","  1","  4","  0","  9","  0"," 16","  0","  1","  0","  0","  2","  1","  0","  8","  1","  3"," 28","115"," 83"," 20","  0","  4","676"
NA,NA,NA,"  5","  2","  2","  8","  0","  6","  0","  2","  0","  0","  8","  2"," 56","  0","  4","  0","  0","  0","  2","  4"," 10","  4","  4"," 36"," 66"," 24"," 18","  0"," 26","706"
NA,NA,NA," 70","  0","  0","  4","  1","  1","  1","  1","  2","  1","  6","  1"," 16","  0","  0","  0","  0","  3","  1","  0","  8","  4","  7"," 23","117"," 67"," 16","  0","  4","580"
NA,NA,NA," 40","  0","  5","  8","  0","  8","  0","  3","  5","  1","  5","  0"," 32","  2","  2","  0","  1","  4","  1","  0","  6","  1","  4"," 38","150"," 85"," 43","  0","  4","834"
NA,NA,NA," 10","  2","  1","  6","  0","  5","  0","  1","  1","  0","  7","  0"," 13","  1","  1","  2","  1","  0","  2","  0","  8","  2"," 10"," 40"," 62"," 33"," 25","  0"," 30","557"
NA,NA,NA," 45","  0","  3","  5","  1","  6","  0","  2","  4","  0","  4","  0"," 29","  1","  1","  0","  1","  3","  1","  0","  6","  1","  3"," 35","110"," 70"," 42","  0","  3","683"
NA,NA,NA,"  0","  0","  2"," 20","  2"," 26","  8","  8","  4","  0"," 23","  0"," 48","  6","  4","  2","  4","  0","  0","  0","  4"," 12","  8"," 40"," 46"," 40","  0","  0","  4","742"
