"Sample Age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Abutilon t.","Acacia t.","Acanthaceae undif.","Adansonia digitata","Amaranthaceae undif.","Asteraceae","Borreria t.","Caryophyllaceae undif.","Combretaceae","Hygrophila","Lamiaceae undif.","Lannea","Malva undif.","Meliaceae undif.","Poaceae","Tribulus"
NA,"20"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 2"," 0"," 0"," 0"," 2"," 0","65","29"
NA,"40"," 0"," 0"," 0"," 0"," 0"," 0"," 5"," 0"," 0"," 0","12"," 0"," 5"," 0","93","65"
"736"," 60","  0","  0"," 76","  0"," 18"," 20","  6","  0","  3"," 64","  4","  3","  4","  0"," 53","  3"
NA,"80"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 4"," 0"," 0"," 4"," 5"," 0"," 0","15"," 0"
NA,"100","  0","  2","  0","  0","  0","  2","  0","  0","  0","  0","  2","  2","  0","  0"," 40","  2"
NA,"120","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5","  5"," 10","  0"," 64","  5"
NA,"140","  5","  3","  0","  0","  0","  0","  0","  5","  0","  0","  0","  1","  0","  0","144","  5"
NA,"160","  1","  1","  0","  0","  1","  0","  7","  0","  1","  0","  5","  0","  1","  0","121"," 10"
NA,"180","  0","  1","  1","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0"," 67","  1"
NA,"200","  0","  5","  5","  0","  5","  0","  0","  0","  0","  0","  5","  5","  0","  0","168"," 10"
NA,"220","  1","  0","  0","  0","  0","  0","  5","  0","  0","  0","  6","  0","  0","  0"," 68"," 18"
NA,"240","  8","  7","  0","  8","  7","  0","  0","  0","  0","  0","  4","  5","  0","  0","182"," 20"
NA,"260","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  6","  6","  0","  0","153","  5"
NA,"280","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0"," 23","  0","  0"," 26","  1"
NA,"300","  0","  2","  0","  0","  2","  8","  0","  2","  0","  0","  0","  2","  0","  0"," 42","  2"
NA,"320","  0","  0","  0","  0","  0","  9","  0","  0","  0","  0","  1","  8","  0","  1"," 28","  0"
