"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteraceae (echinate)","Boraginaceae undif.","Brassicaceae","Caryophyllaceae undif.","Cedrus","Centaurea","Cichorieae","Cistaceae","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Fraxinus","Mercurialis","Olea t.","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Quercus deciduous","Quercus evergreen","Thymelaeaceae undif."
"102",NA,NA,"  7","  2","  0","  1","  1","  0","  0","  1","  0","  0","  0","  0","  0","  2"," 74"," 48","  3","  0","  2","  0","  0"," 25","  1","  0","  0","  0","  0","131"," 59","  0"
"333",NA,NA," 17","  3","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  3"," 37"," 85","  2","  0","  0","  0","  0","  3","  2","  0","  0","  0","  0"," 94"," 40","  0"
"559",NA,NA," 27","  3","  2","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  2"," 30"," 22","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","129"," 51","  0"
"777",NA,NA," 37","  2","  3","  0","  7","  0","  0","  7","  0","  0","  0","  3","  0","  0"," 17"," 57","  0","  0","  6","  0","  0"," 34","  0","  0","  0","  0","  0"," 98"," 54","  0"
"990",NA,NA," 47","  0","  1","  0","  0","  0","  0","  3","  0","  0","  0","  5","  0","  0","  8"," 54","  3","  0","  4","  0","  0","  0","  0","  0","  0","  0"," 12"," 86"," 49","  0"
"1115",NA,NA,"  53","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","  12","  48","   0","   0","   4","   0","   0","   6","   0","   0","   0","   0","   0","  72","  38","   0"
"1318",NA,NA,"  63","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","  56","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","  62","  45","   0"
"1515",NA,NA,"  73","   0","   0","   0","   1","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","  19","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   1","  66","  28","   0"
"1706",NA,NA,"  83","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  17","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   4","  76","  42","   0"
"1892",NA,NA,"  93","   0","   2","   0","   6","   6","   0","   2","   0","   0","   0","  11","   0","   0","   0","  91","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 182"," 180","   0"
"2072",NA,NA," 103","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   1","   0","   0","  22","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   1","  63","  40","   0"
"2247",NA,NA," 113","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  13","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  19","  62","  47","   0"
"2366",NA,NA," 120","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","  37","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  49","  67","  41","   0"
"2532",NA,NA," 130","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  21","   0","   0","   0","  24","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  51","  40","   0"
"2645",NA,NA," 137","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   4","   0","   0","   0","  17","   0","   0","   1","   0","   5","   0","   0","   0","   0","   0","   0","  38","  44","   0"
"2803",NA,NA," 147","   0","   0","   0","  10","   0","   0","   5","   0","   0","   0","  25","   0","   0","   0","  69","   0","   0","   0","   0","   0","  70","   0","   0","   0","   0","  46"," 131"," 101","   0"
"2895",NA,NA," 153","   0","   0","   0","   0","   0","   0","  12","   0","   0","   0","  23","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  89","  71","   0"
