"age_Radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Artemisia","Asteroideae undif.","Atraphaxis","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Calligonum","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Casuarina","Cedrus","Centaurea","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyperaceae","Dipsacaceae","Echium t.","Elaeagnus","Ephedra","Erica t.","Erodium","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Fern-Lycopodiaceae","Frankenia","Fraxinus","Galium t.","Gentianaceae undif.","Geranium","Haplophyllum","Heliotropium","HippophaÃ«","Hypericum undif.","Juglans","Lamiaceae undif.","Leontice","Lotus t.","Malva","Matthiola","Mercurialis","Moltkia","Morus","Olea t.","Ononis t.","Papaver t.","Persicaria t.","Petaloid monocot","Phaseolus","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Prosopis t.","Pteropyrum","Punica granatum","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnaceae undif.","Roemeria","Rosaceae undif.","Rumex t.","Ruta","Salix","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Sparganium","Spergularia t.","Tamarix","Thymelaeaceae undif.","Tribulus","Trifolium t.","Ulmus t.","Unknown","Urtica t.","Valerianella","Vitis","Zea","Zygophyllum t."
"4318",NA,NA," 260","   0","   0","   5"," 188","   0"," 107","   0","   4"," 307","  28","   0","  11","   1","   1","  11","   0","   1","   0","   1","   0","   0","   0","   3","  30","  27","   3","   0","   0","   1","   0","   0","   3","   7","   0","   0","   0","   1","   0","  11","   0","   0","   0","   0","   0","   0","   0","   2","   2","   2","   1","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","  39","   0","  75","   0","  11"," 110","   0","   0","   0","   0","   0","   1","  19","   3","   1","   0","   0","   1","   0","   1","   0","   0","   2","   2","   0","   0","   0","   0","   0","   1","  10","   1","   0","   0","   0","   0"
"4484",NA,NA," 270","   0","   0","   8"," 132","   0","  84","   0","   3"," 241","  18","   0","   0","   2","   0","  20","   0","   0","   0","   9","   0","   1","   0","   2","  17","  11","   0","   0","   0","   0","   0","   0","   0","   9","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","  18","   0","  40","   0","   5","  95","   0","   0","   0","   0","   0","   0","  14","   0","   0","   0","   0","   2","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","  18","   0","   0","   0","   0","   0"
"4650",NA,NA," 280","   0","   0","   0"," 193","   0","  15","   0","   7"," 123","   8","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   7","   0","   1","   1","   1","   0","   0","   0","   0","   0","   0","   0","   7","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  26","   0","  13","   0","   4","  35","   0","   0","   0","   0","   0","   0","  10","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","   0","   0"
"4817",NA,NA," 290","   0","   0","   5","  68","   0"," 181","   0","   9"," 127","  21","   0","   3","   0","   0","   9","   0","   0","   0","   3","   0","   0","   0","   2","   3","  24","   0","   0","   0","   1","   0","   0","   0","   6","   0","   0","   0","   4","   1","   1","   0","   0","   0","   0","   1","   2","   2","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   2","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","  98","   0","  43","   1","   1","  85","   0","   0","   0","   0","   0","   0","  14","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","  14","   0","   0","   0","   0","   0"
"4983",NA,NA," 300","   0","   0","   2"," 278","   0","  19","   0","   2","  39","   3","   0","   3","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  15","   0","   2","   0","   0","  23","   0","   0","   0","   0","   0","   0","   4","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","   0","   0"
"5149",NA,NA," 310","   0","   1","   1","1897","   0","  42","   0","   6"," 345","  17","   0","   1","   0","   0","  14","   0","   0","   0","   2","   0","   2","   0","   0","   6","  18","   0","   0","   0","   1","   2","   0","   4","  19","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","  68","   0","  23","   0","   2","  86","  12","   0","   0","   0","   0","   0","  11","   9","   0","   0","   1","   2","   0","   2","   1","   0","   1","   3","   0","   3","   0","   0","   0","   0","  28","   0","   0","   0","   0","   0"
"5481",NA,NA," 330","   0","   0","   0","1074","   0","   1","   0","   1","   7","   3","   0","   0","   0","   0","   3","   0","   0","   0","   2","   0","   0","   0","   0","   4","   9","   0","   0","   0","   0","   0","   0","   0","  11","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   8","   0","   2","   0","   0"," 150","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0"
"5647",NA,NA," 340","   0","   0","   2","1773","   0"," 110","   0","   2","  66","  16","   0","   0","   0","   0","  28","   0","   0","   0","  18","   0","   7","   0","   1","  43","   6","   0","   0","   0","   0","   0","   0","   3","  16","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   2","   0","   0","  40","   0","   1","   0","  16"," 336","   0","   0","   0","   0","   0","   0","   8","   5","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   4","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0"
"5813",NA,NA," 350","   0","   0","   1"," 264","   0","  27","   0","  20"," 141","   5","   0","   0","   1","   1","  22","   0","   0","   0","   6","   0","   2","   0","   0","   3","   5","   0","   0","   0","   0","   0","   0","   5","  20","   0","   0","   0","   2","   0","   0","   1","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","  88","   0","  10","   0","   2"," 199","   0","   0","   0","   0","   0","   0","  18","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0"
"5979",NA,NA," 360","   0","   0","   3"," 167","   0","  33","   0","  21"," 118","   8","   0","   0","   1","   0","   8","   0","   0","   0","   2","   0","   0","   2","   0","   8","   4","   0","   0","   0","   0","   1","   0","   0","   7","   0","   0","   0","   1","   0","   0","   0","   0","   1","   1","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   2","   0","   1","   0","   0","   0","   0","  13","   0","   9","   0","   8","  67","   1","   0","   0","   0","   0","   0","  16","   3","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0","   0","   0","   0","   0"
"6145",NA,NA," 370","   0","   0","   2"," 885","   1"," 233","   0"," 109"," 719","  40","   0","   1","   4","   1","  73","   0","   0","   2","  11","   0","   6","   0","   6","  22","   9","   4","   0","   0","   2","   0","   0","   3","  26","   0","   0","   0","   6","   0","   1","   2","   0","   1","   1","   0","   0","   4","   1","   1","   1","   0","   0","   0","   0","   0","   0","   0","   5","   1","  19","   0","   1","   0","   2","   0","   7","   0","   6","   0","   0","  78","   6","  34","   1","  45"," 273","   5","   0","   0","   0","   0","   2","  81","   1","   0","   1","   0","   6","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","  13","   0","   1","   0","   0","   0"
"6311",NA,NA," 380","   0","   0","   0","2544","   0"," 146","   0","  31"," 279","  31","   0","   0","   3","   0","  12","   0","   0","   0","   4","   0","  13","   0","   0","  13","   8","   0","   0","   1","   0","   0","   0","   4","  13","   0","   0","   0","   1","   4","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   4","   0","   0","   4","   0","   5","   0","   2","   0","   0","  22","   0","  18","   0","   0","  91","   0","   3","   0","   0","   0","   0","  19","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  18","   0","   0","   0","   0","   0"
"6643",NA,NA," 400","   0","   0","   0","  57","   0","  20","   0","   7","  51","   6","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   4","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  14","   0","   0","   0","   0","  14","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  14","   0","   0","   0","   0","   0"
