"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Artemisia","Asteroideae undif.","Betula","Brassicaceae","Caprifoliaceae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cichorieae","Cistaceae","Corylus","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbiaceae undif.","Fabaceae Undif.","Fern","Fraxinus","Hedera","Hypericum undif.","Juglans","Lamiaceae undif.","Musci","Olea t.","Ostrya","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (>40 Âµm)","Polygonum t.","Potamogeton","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rhamnaceae undif.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sarcopoterium","Typha","Ulmus t.","Unknown","Unknown (monolete) undiff."
"-21",NA,NA,"  1","  0","  0","  1","  4","  0","  0"," 11","  0","  0","  0","  0","  2","  0"," 13","  0","  0","305","  0","  1"," 63","  0","  0","  6","  1","  0","  0","  0","  0","  4","  9","  0","  0","  0","  5","  0","  1"," 15"," 17","  0","  0","  1"," 35"," 42","  0","  0","  0","  0","  1","  0"," 12","  0","  0","  0","  6"
" 46",NA,NA,"  6","  0","  0","  0","  1","  0","  0","  9","  0","  4","  0","  0","  1","  0"," 14","  0","  1","218","  0","  0"," 73","  0","  4","  2","  0","  0","  0","  0","  0","  5"," 14","  0","  0","  0","  1","  0","  2","  3"," 24","  0","  0","  0"," 98"," 71","  0","  0","  1","  0","  0","  0","  6","  1","  0","  0","  8"
"113",NA,NA," 11","  0","  0","  0","  3","  2","  0","  7","  0","  4","  0","  0","  0","  0"," 11","  0","  1","281","  0","  1"," 62","  0","  2"," 13","  0","  0","  0","  0","  0","  8"," 13","  0","  0","  0","  3","  0","  1","  1"," 44","  0","  0","  0"," 35"," 56","  0","  0","  0","  0","  1","  0","  2","  0","  0","  0","  6"
"152",NA,NA," 16","  0","  0","  2","  3","  0","  0","  4","  0","  2","  0","  0","  1","  0"," 11","  0","  0","146","  1","  3","182","  0","  1","  5","  0","  0","  0","  0","  0"," 19"," 15","  0","  0","  1","  0","  0","  2","  2"," 15","  0","  0","  0"," 91"," 33","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  9"
"173",NA,NA," 21","  1","  1","  0","  2","  1","  0","  1","  0","  3","  0","  0","  2","  0","  4","  0","  3","208","  0","  1","171","  0","  0","  3","  0","  1","  0","  1","  0"," 82"," 12","  0","  0","  0","  1","  0","  1","  3"," 27","  1","  0","  0"," 49"," 39","  0","  0","  0","  0","  9","  0","  3","  1","  0","  1","  8"
"193",NA,NA," 26","  0","  0","  0","  2","  0","  1","  3","  0","  3","  0","  0","  0","  0","  5","  4","  0","201","  0","  0","219","  2","  2","  4","  0","  0","  0","  0","  0"," 10","  6","  0","  0","  0","  8","  0","  0","  0","  3","  0","  0","  0"," 31"," 11","  0","  0","  3","  1","  0","  0"," 10","  0","  0","  0"," 17"
"214",NA,NA," 31","  0","  0","  1","  4","  0","  8"," 12","  0","  0","  0","  0","  0","  0","  5","  0","  0","146","  0","  0","208","  0","  4"," 27","  0","  0","  3","  0","  0","  7","  8","  0","  0","  0","  6","  0","  3","  0"," 29","  0","  0","  0"," 41"," 18","  2","  1","  1","  1"," 13","  0","  8","  0","  0","  5"," 47"
"234",NA,NA," 36","  0","  0","  0","  1","  0","  3","  4","  0","  0","  0","  0","  2","  0","  9","  2","  0","160","  0","  0","219","  0","  2"," 54","  3","  0","  1","  0","  1"," 14","  8","  0","  1","  1","  8","  0","  6","  2"," 66","  0","  0","  0"," 11"," 15","  0","  0","  1","  0","  3","  0","  0","  0","  0","  8"," 71"
"255",NA,NA," 41","  0","  0","  0","  2","  0","  8","  1","  1","  0","  0","  1","  1","  0"," 10","  1","  1","158","  3","  0","248","  0","  0"," 22","  0","  0","  0","  0","  2","  5","  6","  0","  0","  0","  9","  0","  6","  3"," 60","  0","  1","  0"," 12"," 12","  0","  0","  0","  0","  0","  0","  1","  0","  0","  6"," 59"
"275",NA,NA," 46","  0","  1","  0","  1","  0","  5","  3","  0","  0","  0","  0","  2","  0","  8","  1","  0","226","  1","  0","223","  1","  9"," 13","  0","  0","  2","  0","  0","  5","  5","  0","  5","  0","  4","  0","  5","  7"," 69","  0","  0","  0","  9","  4","  0","  0","  1","  1","  1","  0","  2","  0","  0","  7"," 54"
