"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betulaceae undif.","Brassicaceae","Caryophyllaceae undif.","Centaurea","Cichorieae","Corylus","Cupressaceae","Cyperaceae","Ephedra","Fraxinus","Fungi","Olea t.","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Polygonum t.","Quercus undif.","Ranunculaceae undif.","Rumex t.","Salix","Sarcopoterium","Spermatophyta undiff. (cf. upland herbs)","Spike","Thalictrum","Tilia","Tracheophyta undiff. (aquatic plants)","Ulmus t.","Unknown","Unknown undiff."
"1458",NA,NA," 174","   0","   0","   2","  31","   1","   3","   6","   1","   0","   0","   1","   0","   0","   7","   0","   1","  22","   4","   4","  11","   0","   0","  17","   0","  82","   0","   0","   0","   2","   3","  31","   0","   0","  15","   0","   4","   2"
"1734",NA,NA," 206","   0","   7","   4","  11","   0","   3","   4","   0","   1","   4","   5","   4","   0","  12","   1","   0","  43","   2","   0","   3","   0","   3","  99","  44","  52","  28","   1","   0","   0","   4"," 170","   0","   0","  31","   0","  38","  19"
"2008",NA,NA," 238","   2","   3","   3","  15","   0","   5","   2","   2","   2","   2","   2","   3","   0","  22","   0","   0","  51","   3","   5","   7","   0","   0","  37","   0","  87","   1","   1","   3","   1","   3","  51","   0","   0","  29","   0","  24","  12"
"2280",NA,NA," 270","   2","   7","   3","  21","   1","   8","  21","   0","   0","   2","   1","   3","   0","   3","   0","   2","   7","   1","   5","  24","   0","   3","  42","   4"," 129","   8","   5","   0","   1","   7"," 200","   2","   1","   4","   0","  54","  27"
"2399",NA,NA," 284","   2","   2","   0","  48","   2","  13","  10","   1","   2","   8","   4","   1","   0","  16","   0","   0","  32","   2","   4","  28","   0","   1","  69","   6"," 179","   5","   2","   3","   0","  28"," 235","   1","   7","  16","   1","  16","   8"
"2552",NA,NA," 302","   5","   0","   0","  83","   1","   3","   7","   6","   0","   5","   2","   0","   0","   6","   0","   0","  17","   0","   1","  16","   0","   1","  56","   1","  36","   0","   0","   0","   0","   1","  50","   0","   0","  11","   0"," 100","  50"
"2671",NA,NA," 316","  10","   3","   2"," 102","   1","   5","  12","   2","   3","   0","   2","   0","   0","  56","   0","   0","  89","   1","   3","  23","   0","   2","  66","   7","  83","  25","   0","   0","   0","   2"," 121","   3","   1","  33","   0","  52","  26"
"2858",NA,NA," 338","   0","   4","   0","   8","   0","   4","  30","   0","   2","   2","   3","  12","   0","  24","   0","   0","  37","   1","   4","  30","   1","   3","  63","  13"," 134","   6","   0","   1","   1","  19"," 270","   4","   0","  13","   4","  66","  33"
"3095",NA,NA," 366","   3","   6","   3","   5","   3","   7","  10","   2","   1","   0","   4","  15","   0","  40","   0","   0","  58","   0","   4","  15","   0","   0","  50","  10"," 143","   0","   0","   2","   2","  10"," 162","   0","   0","  18","   0","  42","  21"
"3367",NA,NA," 398","   1","   4","   2","  37","   0","   4","  33","   0","   0","   0","   0","   3","   0","  23","   0","   0","  29","   0","   2","  18","   0","   0","  46","   2"," 111","   5","   0","   1","   1","   6"," 276","   8","   0","   6","   3","  34","  17"
"3486",NA,NA," 412","   0","   7","  10","  18","   0","   1","  32","   0","   0","   3","   5","   6","   5","  26","   1","   1","  67","   2","   3","   7","   0","   2","  95","   4"," 101","   0","   2","   0","   0","   1"," 513","   4","   0","  41","   6","  98","  49"
"3639",NA,NA," 430","   0","   0","   8","   2","   0","   2","   7","   3","   0","   0","   2","   0","   0","  26","   0","   0","  48","   0","   2","  17","   0","   0","  33","   0","  49","   0","   0","   0","   0","  10"," 106","   0","   0","  22","   1"," 106","  53"
"3826",NA,NA," 452","   4","   5","   3","  19","   2","   3","  17","   0","   2","   3","  24","   2","   2","  16","   1","   3","  23","   0","   0","  18","   2","   2"," 117","   6","  66","   0","   1","   2","   0","   7"," 662","   0","   0","   7","   0","  68","  34"
"4030",NA,NA," 476","   8","   8","   1","  10","   0","   0","  35","   0","   0","   0","   2","   4","   0","  49","   0","   0"," 136","   0","   1","  36","   1","   3","  36","   5"," 164","   0","   1","   4","   3","  13"," 285","   6","   0","  87","   1","  24","  12"
"4183",NA,NA," 494","   2","   1","   6","  30","   0","   2","   9","   0","   0","   0","  20","   6","   1","  15","   0","   0","  64","   0","   0","  17","   0","   0","  31","   5","  52","   2","   0","   0","   1","   2"," 216","   0","   0","  49","   0","  84","  42"
"4454",NA,NA," 526","   1","   1","   2"," 105","   1","   2","   6","   0","   0","   1","   2","   9","   0","  27","   0","   0","  90","   0","   6","  22","   0","   0","  43","   0","  65","   0","   0","   2","   0","   0"," 182","   1","   0","  63","   1"," 158","  79"
"4726",NA,NA," 558","   4","   9","   4","  29","   1","  10","  15","   0","   2","   0","  11","  11","   0","  20","   1","   0","  93","   0","   2","  41","   0","   2","  53","   0"," 225","   0","   2","   0","   0","  22"," 176","   0","   1","  73","   1","  22","  11"
