"age_NA","ageolder_BP","ageyounger_BP","depth","Alnus","Amaranthaceae undif.","Anthoceros t.","Artemisia","Aspiromitus punctatus","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Buxus","Campanulaceae","Caryophyllaceae undif.","Castanea","Ceratonia","Cichorieae","Convolvulaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Erodium","Fabaceae Undif.","Fagus","Fallopia","Fern","Fern-Equisetophyta","Fraxinus","Geranium","Hedera","Ilex","Indeterminable","Juglans","Ligustrum","Malva undif.","Mercurialis","Olea t.","Persicaria t.","Phillyrea","Picea","Pinus undif.","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rosaceae undif.","Rubiaceae undif.","Sparganium","Tilia","Typha","Ulmus t.","Vitis"
NA,NA,NA," 6"," 0","22"," 0"," 0"," 0"," 9"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0","66"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 5"," 0"," 0"," 3"," 0"," 0"," 3"," 0"," 0"," 5"," 0"," 0"," 0"," 0"," 0","52"," 0","17"," 0"," 0"," 1"," 1"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
NA,NA,NA,"  9","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  8","  0","  0","  2","  0","  0","221","  5","  0","  5","  0","  1","  0","  0","  0","  4","  7","  7","  1","  0","  1","  0","  2","  0","  0","  0","  0","  0","  0","  1"
NA,NA,NA,"11"," 1"," 1"," 0"," 0"," 0"," 1"," 1"," 0"," 0"," 8"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 1"," 0"," 0"," 0"," 0"," 1"," 0"," 5"," 0"," 0","15"," 0"," 0","58"," 1"," 0","19"," 0"," 2"," 0"," 2"," 0","25"," 1","57"," 0"," 0"," 5"," 0","11"," 0"," 0"," 0"," 0"," 0"," 1"," 0"
NA,NA,NA,"  4","  2","  0","  0","  8","  0","  4","  0","  2","  0"," 10","  0","  0"," 18","  0","  0","  6","  0"," 20","  0","  1"," 14","  0","  6","  0","  0","  0","  0","356","  0","  0","  4","  0","  0","108","  6","  0","  1","  0","  4","  0","  0","  0"," 14"," 17"," 49","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  3","  3"
NA,NA,NA," 8"," 2","39"," 0"," 5"," 0","11"," 6"," 0"," 0"," 4"," 0"," 0"," 1"," 0"," 2","83"," 0"," 5"," 0","14"," 0"," 0"," 0"," 0"," 0"," 0"," 0","26"," 1"," 0"," 2"," 1"," 0"," 9"," 1"," 0","16"," 0"," 3"," 0"," 0"," 1","44"," 0","13"," 0"," 2"," 7"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
NA,NA,NA," 1","14","26"," 0"," 1"," 0"," 2"," 7"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 2"," 0","13"," 0"," 5"," 0"," 1"," 0"," 0"," 0"," 2"," 0","38"," 0"," 0"," 2"," 0"," 0","23"," 4"," 0"," 7"," 0"," 5"," 0"," 0"," 0"," 7","11","36"," 1"," 0"," 4"," 0"," 1"," 1"," 0"," 0"," 3"," 0"," 2"," 0"
NA,NA,NA,"13"," 4"," 1"," 0"," 1"," 0"," 1"," 1"," 0"," 0"," 6"," 0"," 0"," 7"," 0"," 0"," 6"," 2"," 2"," 0"," 3","13"," 0"," 0"," 1"," 0"," 0"," 0","17"," 0"," 1"," 4"," 0"," 0","16"," 1"," 0","55"," 0"," 3"," 0"," 1"," 0","67"," 1","22"," 1"," 0"," 3"," 0","17"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
NA,NA,NA," 5"," 1","26"," 0","13"," 0"," 5"," 0"," 0"," 0","23"," 0"," 0"," 5"," 0"," 0","18"," 4"," 2"," 1"," 9"," 0"," 0"," 0"," 0"," 0"," 1"," 0","32"," 0"," 8"," 7"," 0"," 0","55","10"," 0","20"," 0"," 5"," 0"," 0"," 0","10"," 4","10"," 0"," 2"," 7"," 0","12"," 0"," 0"," 0"," 0"," 0"," 0"," 1"
NA,NA,NA," 15","  0","  2","  0","  0","  0","  1","  0","  1","  0","  3","  1","  0","  9","  0","  0","  1","  2","  0","  0","  1"," 15","  0","  0","  1","  0","  0","  0","  6","  0","  6","  6","  0","  0"," 13"," 15","  0","  6","  0","  2","  0","  1","  0","226","  2"," 66","  6","  0","  5","  0"," 13","  0","  0","  0","  0","  0","  4","  1"
NA,NA,NA,"12"," 0","25"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 9"," 0"," 4"," 0","12"," 2"," 0"," 1"," 0"," 0"," 0"," 2"," 8"," 0"," 1"," 3"," 0"," 0","26","19"," 0","27"," 0","12"," 1"," 9"," 0","64"," 0","88"," 0"," 4"," 1"," 0"," 9"," 0"," 4"," 0"," 1"," 0"," 1"," 2"
NA,NA,NA,"  2","  1","  0","  0","  0","  1","  1","  1","  1","  0","  1","  0","  0","  5","  0","  0","  6","  8","  6","  0"," 22","  0","  0","  0","  0","  0","  0","  0"," 29","  0","119","  0","  0","  0"," 88"," 90","  6","  9","  0","301","  0"," 55","  0"," 24","  2","139"," 11","  0"," 11","  0"," 10","  0","  1","  0","  1","  1"," 31","  1"
NA,NA,NA," 14","  5","120","  0"," 20","  2"," 19","  0","  2","  1","  7","  0","  0","  6","  0","  0"," 12","  3","  4","  3"," 68","  2","  0","  1","  0","  2","  0"," 14"," 21","  0","  0","  2","  1","  0"," 51","  7","  0","  6","  0","  6","  0","  0","  0"," 53","  1"," 88","  0"," 13"," 10","  1","  1","  0","  0","  0","  0","  0","  0"," 20"
NA,NA,NA," 10","  6"," 34","  2"," 10","  2"," 10","  0","  2","  0"," 20","  0","  0","  9","  4","  0"," 31","  0"," 11","  0"," 12"," 11","  1","  1","  0","  0","  0","  5"," 31","  0","  0"," 11","  0","  1"," 29"," 17","  0"," 29","  1"," 25","  0","  0","  0","178","  5","104","  1","  2","  7","  5","  9","  0","  1","  3","  0","  0","  0","  6"
