"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Acacia t.","Acalypha","Acanthaceae undif.","Adansonia digitata","Aerva type","Aizoaceae t.","Algae","Alismataceae","Aloe","Amaranthaceae undif.","Ambrosiinae","Anacardiaceae undiff.","Asteraceae (echinate)","Asteroideae undif.","Bignoniaceae undif.","Brassicaceae","Canthium","Capparis","Carya","Cassia","Casuarina","Combretaceae","Commiphora","Cordia","Cupressaceae","Cyperaceae","Diospyros/Euclea t.","Entada","Ephedra","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Ficus","Hippocratea","Holoptelea","Hypoestes t.","Indigofera","Jasminum","Jatropha/Croton","Josephinia","Justicia t.","Kleinia","Lannea","Malva undif.","Maytenus","Meliaceae undif.","Monoletes","Ocimum","Olea t.","Phoenix t.","Phyllanthus undif.","Pinus undif.","Plantago","Plectranthus","Poaceae","Podocarpus","Polygonum t.","Ricinus","Salvadora","Searsia","Solanaceae undif.","Solanum","Triletes","Typha","Uapaca","Unknown","Urtica t.","Vernonieae"
" 0",NA,NA," 5"," 0"," 0"," 0"," 0"," 1"," 0"," 1"," 0"," 2"," 4"," 1"," 0"," 0"," 5"," 0"," 0"," 0"," 0"," 1"," 1"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 8"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","22","37"," 0"," 0"," 0"," 3"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0","17"," 0"," 0"," 1"," 0"," 0"," 0"," 1"," 0"," 0"," 0","26"," 0"," 3"
"10000",NA,NA,"   10","    0","    8","   11","    0","    2","   14","   18","    0","   33","   16","    0","    1","    7","    7","    2","    2","    0","    6","    0","    2","    0","    6","    0","    1","    4","    7","    6","    1","    0","    2","    3","    0","    1","    0","   11","    7","    3","    0","    3","   37","    0","    1","    1","    6","    8","    1","    0","    6","    5","    2","    0","    7","    0","    2","    0","    1","    5","   42","    3","    1","    0","    0","   32","    3","    0","    3","    1","    3","   74","    2","   18"
"11800",NA,NA,"   15","    1","    1","    1","    0","    0","    1","    0","    0","    0","    7","    0","    0","    0","    3","    2","    0","    0","    1","    0","    7","    0","    7","    1","    0","    0","   21","    0","    1","    0","    1","    2","    4","    0","    2","    2","    1","    0","    0","    0","   61","    1","    0","    0","    5","    0","    0","    0","   22","    0","    1","    0","   10","    0","    1","    0","    0","    0","  173","    2","    0","    0","    0","    3","    0","    2","    1","   45","    1","   68","    4","    1"
"176500",NA,NA,"    20","     2","     0","     1","     1","     4","     1","     1","     1","     0","     7","     4","     0","     0","     7","     0","     0","     2","     1","     0","     1","     2","     1","     2","     0","     4","     9","     0","     1","     0","     1","     0","     1","     3","     1","     1","     4","     0","     1","     3","   128","     1","     2","     0","     0","     7","     0","     0","     0","     0","     0","     1","     2","     1","     0","     0","     0","     0","   149","     6","     0","     0","     4","     0","     0","     3","     0","     0","     0","    56","     6","     3"
