"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Agrimonia","Alismataceae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Apium t.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Calligonum","Callitriche","Campanulaceae","Cannabis","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Celtis","Centaurea","Centranthus t.","Ceratophyllum","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyclamen","Cyperaceae","Dipsacaceae","Dryopteris dilatata-type","Echinops","Echium t.","Ephedra","Erica t.","Erodium","Eucalyptus","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Ficus","Fraxinus","Fungi","Genisteae","Geranium","Hedera","Heliotropium","Humulus","Hypericum undif.","Ilex","IsoÃ«tes","Juglans","Juncaceae","Lamiaceae undif.","Lemnaceae","Linum t.","Loranthus","Lotus t.","Lycopodium spike","Lycopodium tablets","Lysimachia","Lythrum","Matthiola","Mercurialis","Myrtus","Olea t.","Onagraceae","Ophioglossum vulgatum","Papaver t.","Paronychieae","Persicaria t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Prunus t.","Pseudopediastrum boryanum var. boryanum sensu lato","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Resedaceae undiff.","Rhamnus","Riccia","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Solanaceae undif.","Solanum","Sparganium","Spergularia t.","Thalictrum","Theligonum","Thymelaeaceae undif.","Trifolium t.","Typha","Ulmus t.","Urtica t.","Utricularia","Verbena t.","Viburnum","Vitis"
" -53.10",NA,NA,"  1","1","0","2","0","0","0","4","1","0","55","0","3","1","4","0","1","0","4","0","17","0","1","0","0","0","12","0","0","0","10","8","1","0","2","0","9","0","0","143","0","0","0","0","0","0","0","8","0","0","1","0","10","0","10","5","0","0","4","0","0","1","0","2","0","0","1","237","0","0","1","665","0","0","0","0","2","0","11","0","0","0","1","0","0","2","120","1","13","0","104","2","0","1","9","5","0","0","30","8","7","1","0","0","0","2","0","1","13","4","0","0","0","3","2","19","0","0","1","1","4","2","2","1","0","0","0","1"
" -41.49",NA,NA,"  5","1","1","5","0","0","2","2","2","0","43","0","6","0","2","0","0","1","0","0","3","0","1","1","1","0","22","1","0","0","2","2","0","0","0","0","5","1","0","242","0","0","0","0","0","0","0","16","0","0","1","1","3","0","5","12","0","0","5","0","0","0","0","0","1","0","1","205","0","0","0","389","0","1","0","0","1","0","12","0","0","0","1","0","1","2","250","1","8","1","92","0","0","0","7","3","0","0","27","8","9","0","0","0","0","3","0","18","2","7","0","0","0","3","25","0","11","0","0","1","2","0","4","1","0","0","0","0"
" -26.99",NA,NA," 10","1","0","1","0","0","0","1","1","0","32","0","1","0","1","0","0","0","3","0","0","0","0","1","0","0","15","0","0","0","0","2","0","0","0","0","3","0","1","178","0","0","0","0","0","1","0","8","1","0","1","0","3","0","11","7","0","0","1","0","0","1","0","0","0","0","0","130","0","0","0","270","0","0","0","0","0","0","8","0","0","0","0","0","0","1","178","1","5","0","77","1","0","0","11","0","0","0","16","3","8","0","0","0","0","3","0","16","4","6","0","0","0","1","27","3","0","0","0","0","6","0","0","1","0","0","0","0"
"   2.03",NA,NA," 20","1","0","0","0","0","1","1","1","0","12","0","3","0","0","0","1","0","1","0","0","0","0","0","0","0","6","0","0","0","20","2","0","0","0","0","1","0","1","132","0","0","0","0","0","1","0","2","1","0","2","0","0","0","1","2","0","0","1","0","0","0","0","0","0","0","1","77","0","0","0","279","0","0","0","0","1","0","6","1","0","0","2","0","0","1","63","2","3","0","59","2","0","2","2","0","0","0","8","2","2","1","0","0","0","1","0","2","4","3","0","0","0","0","3","2","0","0","0","0","1","0","0","1","0","0","0","0"
"  31.04",NA,NA," 30","1","0","0","1","0","0","4","2","0","13","0","4","0","0","0","0","0","1","0","0","0","0","2","0","0","5","0","0","0","68","5","0","0","0","0","2","0","0","74","0","0","0","1","0","0","0","0","0","0","0","0","5","0","0","3","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","381","0","0","0","0","0","0","14","0","0","0","1","0","0","0","2","0","4","0","75","3","0","0","15","0","0","0","8","0","5","1","0","0","0","1","0","0","9","1","0","0","0","0","0","0","0","0","0","0","2","0","1","10","0","0","0","0"
"  60.06",NA,NA," 40","1","0","0","0","0","0","10","5","0","39","3","9","0","1","0","0","2","1","0","7","0","2","0","0","0","9","0","1","0","100","5","0","0","0","0","5","0","0","102","1","0","0","0","1","2","0","0","0","0","1","0","1","0","2","2","0","0","0","0","0","1","0","0","2","0","0","12","0","0","0","545","0","0","0","0","0","0","7","0","0","0","4","0","1","1","0","0","3","0","198","7","0","0","14","1","0","0","67","4","7","14","0","0","0","4","0","0","12","0","0","0","1","0","0","0","0","0","0","0","1","0","0","4","0","1","1","2"
"  89.07",NA,NA," 50","1","0","0","0","1","0","4","6","0","44","1","1","0","0","0","0","0","1","0","0","0","1","1","0","0","1","0","0","0","101","3","1","0","1","0","1","0","0","75","0","0","0","0","2","2","0","0","0","0","0","0","8","0","1","6","0","0","1","0","0","0","0","0","0","2","1","4","0","0","0","576","0","0","0","0","1","0","2","0","0","0","1","0","0","0","2","1","0","0","140","3","1","0","9","0","0","0","14","3","9","51","0","0","0","0","0","0","3","0","0","0","1","0","0","0","0","1","0","0","2","0","0","1","0","0","0","0"
" 118.08",NA,NA," 60","1","0","0","0","0","0","1","1","0","84","0","6","0","3","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","91","6","0","0","0","0","1","0","1","43","0","0","0","5","0","0","0","0","0","1","0","0","4","0","0","4","0","0","0","0","0","0","0","0","0","1","0","3","0","0","0","334","0","0","0","0","0","0","1","0","0","0","4","0","0","1","1","0","2","0","89","0","0","0","7","3","0","0","20","3","5","13","0","0","0","0","0","2","8","0","0","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0"
" 147.10",NA,NA," 70","1","0","0","0","0","1","4","1","0","157","6","6","1","3","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","126","2","0","0","1","0","2","0","0","82","0","0","0","0","2","0","0","0","0","0","0","0","7","0","0","5","0","0","0","0","0","0","0","0","0","0","0","23","0","0","0","616","0","0","0","0","1","0","6","0","0","0","6","0","2","0","2","0","3","0","222","4","0","0","14","2","0","0","61","6","10","5","0","0","0","9","0","1","5","0","0","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0"
" 176.11",NA,NA," 80","1","0","0","0","1","0","5","0","0","71","1","4","0","1","0","0","0","2","0","0","0","0","0","0","1","0","0","2","0","76","5","0","0","0","0","1","0","0","61","0","0","0","0","2","0","0","0","0","1","0","0","3","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","448","0","0","0","1","1","0","1","0","0","0","7","0","0","0","2","1","4","0","150","2","0","0","11","0","0","0","24","5","15","3","0","0","0","0","0","2","2","0","0","0","0","0","1","1","0","0","0","0","0","1","0","3","0","0","0","0"
