"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Aesculus","Agrimonia","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Artemisia","Aruncus","Asphodelus t.","Asteroideae undif.","Atraphaxis","Berberidaceae","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Calligonum","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Celtis","Centaurea","Centranthus t.","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Datisca cannabina","Dipsacaceae","Echinops","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagopyrum","Fagus","Fern","Fern-Lycopodiaceae","Filipendula t.","Fontanesia","Frangula","Fraxinus","Galium t.","Genisteae","Gentiana t.","Geranium","Gossypium","Haplophyllum","Heliotropium","HippophaÃ«","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Leontice","Linum t.","Lonicera","Loranthus","Lotus t.","Lycium","Lythrum","Malva","Matthiola","Menyanthes","Mercurialis","Musci","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Nymphaea","Olea t.","Onagraceae","Ononis t.","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Primulaceae undif.","Prosopis t.","Prunus t.","Pterocarya","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Reaumuria","Rhamnus","Rheum","Rhododendron","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Searsia","Secale","Solanaceae undif.","Solanum","Sparganium","Spergularia t.","Syringa","Tamarix","Taxus","Thalictrum","Theligonum","Thesium","Thymelaeaceae undif.","Tilia","Tribulus","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Valeriana t.","Valerianella","Viola","Vitis"
"9556","9814","9283"," 680","   0","   0","   0","   0","   0","   0","   0"," 417","   0","  34","  66"," 343","   0","   0","   9","   0","   1","  15","   0","   0","   7","   0","   0","   0","   0","   6","   0","   5","   0","   1","   0","   6","   0","   9","   1","   0","   0","   0","   0","   0","   2","   0","   1","   0","   0","  63","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   3","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   8","   0","   1","   0","   0","  15","  13","  15","   0","   0","   0","   0","   0","   0","   0","   0","  17","   0","   0","   0","   4","   0","   0","   1","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","  11","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0"
"9646","9893","9377"," 690","   1","   2","   0","   0","   2","   1","   0"," 787","   0","  34","  27"," 366","   0","   0","  17","   0","   0","  33","   3","   1","   3","   0","   0","   2","   0","   6","   0","  17","   0","   4","   0","  18","   0","   6","   0","   0","   0","   0","   0","   0","   9","   0","   1","   0","   0","  54","   0","   5","   5","   0","   0","   0","   0","   0","   0","   0","   1","   6","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   6","   3","   2","   0","   1","  67","  44","  21","   0","   0","   0","   0","   0","   0","   0","   0","  66","   1","   0","   0","   2","   0","   0","   0","   2","   1","   0","   2","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","  25","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0"
"9736","9980","9478"," 700","   2","   0","   0","   0","   0","   0","   2"," 306","   0","  21","  26"," 153","   0","   0","   5","   0","   0","   8","   0","   0","   1","   0","   0","   0","   0","  37","   0","   5","   0","  10","   0","  42","   0","  15","   1","   0","   0","   0","   0","   0","   0","   0","   1","   2","   0"," 250","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  15","   0","   0","   0","   1","  10","   8","  13","   0","   0","   0","   0","   0","   1","   0","   0","  35","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   1","   0","   1","   0","   0","   0","   1"
" 9825","10078"," 9577","  710","    3","    0","    0","    0","    0","    0","    2","  273","    0","   29","   18","  144","    0","    0","   18","    0","    2","    6","    0","    0","    1","    0","    0","    0","    1","   18","    0","    5","    0","   14","    0","   40","    0","   36","    0","    0","    0","    0","    0","    0","    2","    0","    3","    3","    0","  242","    0","    0","    0","    0","    1","    2","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   35","    0","    0","    0","    0","   20","   15","    8","    0","    0","    0","    0","    0","    0","    0","    0","   19","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0"
" 9914","10176"," 9661","  720","    1","    0","    0","    0","    4","    0","    0","  479","    0","   40","   17","  181","    0","    0","   35","    0","    0","    7","    0","    0","    2","    0","    0","    0","    0","    2","    0","    3","    0","    1","    0","    7","    0","   21","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","  109","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","    8","    1","    1","    0","    0","   57","   27","    1","    0","    0","    0","    0","    0","    1","    0","    0","   15","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    1","    0","    0","    0","    6","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    1","    0","    1","    2","    0","    0","    0","    0","    0"
"10004","10279"," 9737","  730","    4","    0","    0","    0","    8","    0","    3","  274","    0","   23","   10","   72","    0","    0","   19","    0","    0","   10","    0","    0","    1","    0","    0","    0","    0","   11","    0","    2","    0","    1","    0","   16","    0","   22","    1","    0","    0","    0","    0","    0","    7","    0","    1","    1","    0","  119","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   22","    0","    0","    0","    0","   35","   22","    2","    0","    0","    0","    0","    0","    0","    0","    0","   25","    1","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","   10","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0"
"10095","10384"," 9806","  740","    2","    0","    0","    0","   13","    0","    1","  110","    0","    9","    2","   16","    0","    0","   24","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","    0","    2","    0","   11","    0","   56","    0","    0","    0","    1","    0","    0","    4","    0","    0","    0","    0","  146","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","   13","    2","    1","    0","    0","   11","   10","    2","    0","    0","    0","    0","    0","    0","    0","    0","    4","    1","    1","    0","    1","    0","    0","    0","    0","    3","    0","    0","    0","    1","    0","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"10185","10494"," 9869","  750","    0","    0","    0","    0","    0","    0","    0","    4","    0","    1","    0","    1","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    1","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"10276","10609"," 9928","  760","    0","    0","    0","    0","    2","    0","    3","  474","    0","   21","   43","  156","    0","    0","   14","    0","    0","   39","    0","    0","   15","    0","    0","    1","    0","    2","    0","    9","    0","    1","    0","   11","    0","    4","    0","    0","    0","    0","    0","    0","    4","    1","    1","    0","    0","   54","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","    0","    4","    0","    0","    4","    0","    2","    0","    0","   30","   24","   21","    0","    0","    0","    0","    1","    0","    0","    0","   44","    0","    0","    0","    2","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","   10","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0"
"10367","10729"," 9985","  770","    0","    0","    0","    0","    0","    0","    0","  368","    0","   23","   49","   90","    0","    0","   19","    0","    0","   40","    0","    0","    8","    0","    0","    0","    1","    4","    1","    7","    0","    2","    0","   11","    0","    3","    2","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","   60","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    1","   10","    3","    0","    0","    0","   46","   26","   22","    0","    0","    0","    0","    0","    0","    1","    0","   49","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","   13","    0","    0","    0","    1","    0","    0","    0","    0","    2","    0","    0","    1","    0","    0"
