"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteraceae (echinate)","Betula","Brassicaceae","Caryophyllaceae undif.","Cedrus","Centaurea","Cichorieae","Cistaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Fraxinus","Lamiaceae undif.","Olea t.","Ostrya","Pistacia","Plantago","Poaceae","Polygonum t.","Quercus deciduous","Quercus evergreen","Rhamnus","Rumex t.","Salix","Thymelaeaceae undif."
"969",NA,NA,"155","  9"," 26","  0","  0","  2","  0","  6","  4","  1","  0","  1","  1","  5","  0","  1","  0","  0","  0","  1","  1","  0","  0"," 17"," 62","  0"," 49"," 22","  0"," 28","  0","  1"
"1010",NA,NA," 165","   6","  12","   3","   0","   4","   0","   2","   6","   2","   0","   1","   1","  17","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","  39","   3","  36","  34","   0","  30","   0","   0"
"1050",NA,NA," 175","   6","  27","   0","   0","   3","   0","   4","   0","   3","   0","   1","   1","   0","   0","   0","   0","   2","   1","   0","   0","   0","   0","  11","  70","   0","  91","  38","   0","  47","   0","   0"
"1088",NA,NA," 185","   5","   5","   5","   0","   1","   0","   0","   3","   3","   0","   5","   5","  11","   0","   0","   0","   0","   5","   0","   0","   0","   0","   8","  23","   0","  42","  49","   0","  24","   5","   0"
"1124",NA,NA," 195","   4","  75","   4","   0","   5","   0","   7","   1","   4","   0","   1","   3","  13","   0","   0","   0","   0","   0","   0","   7","   0","   0","  14","  76","   0","  93","  43","   0","  22","   0","   0"
"1159",NA,NA," 205","   0","  10","   4","   2","   0","   0","   0","   0","   3","   0","   7","   9","   8","   0","   0","   0","   0","   9","   0","  17","   0","   0","   0","  88","   0","  89"," 115","   3","   9","   0","   0"
"1193",NA,NA," 215","   1","  18","   0","   0","   4","   0","   1","   0","   0","   0","   4","   1","   4","   0","   0","   0","   0","   7","   0","   2","   0","   0","  29","  49","   0","  44","  28","   0","  25","   0","   0"
"1225",NA,NA," 225","   0","   9","   3","   0","   4","   0","   0","   0","   2","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   4","   0","   0","  22","  18","   0","  52","  67","   0","   4","   4","   0"
"1257",NA,NA," 235","   1","  25","   3","   0","   0","   0","   2","   0","   2","   1","   0","   0","   7","   0","   0","   0","   0","   8","   0","   0","   3","   0","  12","  16","  11","  88","  27","   0","  16","   0","   0"
"1287",NA,NA," 245","   0","  21","   0","   2","   0","   0","   3","   0","   3","   0","   8","   0","  10","   0","   0","   0","   0","   0","   0","  22","   0","   0","  81","  61","   0"," 182","  74","   0","  49","   8","   0"
