"sample_name","depth","Amaranthaceae undif.","Arecaceae undif.","Asteroideae undif.","Capparaceae undif.","Fern","Indeterminable","Phytolith","Pinus undif.","Poaceae","Tamarix","Typha"
"71",NA," 1"," 0"," 0"," 0"," 0"," 4"," 0"," 0"," 9"," 2"," 0"
"64",NA," 6"," 1"," 2"," 1"," 1"," 7","15"," 0","14","19"," 2"
"54",NA," 1"," 0"," 0","25"," 0"," 0"," 1"," 0"," 3"," 0"," 0"
"43.5",NA," 1.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 4.0"," 2.0"," 0.0"
"32.5",NA," 6.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 1.0"," 0.0"," 0.0"
"23",NA," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"
"11.5",NA," 4.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0","10.0"," 0.0"," 0.0"
" 2",NA," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0","48"," 0"," 0"
