"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acacia t.","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Anthemideae","Anthoceros t.","Apiaceae undif.","Apium t.","Arbutus","Arceuthobium","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Buxus","Callitriche","Campanulaceae","Cannabis","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Celtis","Centaurea","Centranthus t.","Ceratonia","Ceratophyllum","Chamaerops","Cichorieae","Cistaceae","Citrus","Coelastrum reticulatum","Convolvulaceae","Cornus","Corydalis","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyclamen","Cyperaceae","Dioscorea","Dipsacaceae","Echium t.","Ephedra","Erica t.","Eucalyptus","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Ficus","Filipendula t.","Fraxinus","Fumaria","Fungi","Galium t.","Genisteae","Gentiana t.","Gentianaceae undif.","Geranium","Hedera","HippophaÃ«","Humulus","Hypericum undif.","IsoÃ«tes","Juglans","Juncaceae","Lamiaceae undif.","Lavatera","Linum t.","Lotus t.","Lycopodium spike","Lycopodium tablets","Lysimachia","Lythrum","Malva","Matthiola","Mercurialis","Morus","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Myrtus","Nymphaea","Olea t.","Orchidaceae","Papaver t.","Paronychieae","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polystichum","Populus","Potamogeton","Potentilla t.","Primula","Protist","Prunus t.","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Resedaceae undiff.","Riccia","Rosa t.","Rosaceae undif.","Rumex t.","Ruppia","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Smilax","Solanum","Spergularia t.","Styrax","Tamarix","Taxus","TetraÃ«dron","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Urtica t.","Utricularia","Valeriana t.","Valerianella","Vitex","Vitis"
" -62",NA,NA,"  0","1","0","0","0","14","0","3","28","3","0","2","0","0","0","6","0","1","2","3","0","2","0","0","0","0","0","0","0","0","0","0","0","0","158","0","2","0","0","0","0","0","0","4","1","56","0","0","15","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","5","2","6","0","0","0","0","0","0","0","0","0","2","0","0","3","0","0","2","493","62545","0","0","0","0","0","0","0","30","3","0","26","0","0","0","0","0","7","3","124","38","5","0","0","63","13","0","0","4","0","0","11","0","0","8","37","11","1","0","0","0","0","6","0","1","0","0","2","1","0","0","0","0","22","0","0","0","0","0","0","0","12","0","7","0","0","0","0","0"
" -45",NA,NA," 10","1","0","0","0","16","0","5","9","2","1","0","0","0","0","2","0","2","2","5","0","15","0","0","0","0","1","0","1","0","0","0","0","1","249","0","10","10","0","0","0","0","0","1","0","43","0","0","19","0","0","0","1","20","0","1","0","0","0","3","0","1","0","0","5","3","3","0","5","0","0","0","0","0","0","0","3","0","0","7","0","0","4","530","62545","0","0","0","0","0","0","0","111","0","0","30","0","0","0","0","0","1","0","98","61","13","0","0","57","11","0","0","1","0","0","9","1","0","11","30","11","1","0","0","0","0","8","2","2","0","0","4","0","0","0","0","1","5","0","0","2","0","0","0","0","0","2","0","0","0","0","0","1"
" -29",NA,NA," 20","1","0","0","1","27","0","4","21","6","7","3","0","1","0","13","4","12","5","1","0","6","0","0","0","0","5","0","1","0","0","0","0","0","370","0","13","9","1","0","0","0","0","0","1","36","0","0","26","0","0","1","0","20","0","1","0","0","0","1","0","0","0","0","4","0","47","0","6","0","0","0","0","0","0","4","5","0","0","17","0","0","0","1415","62545","0","0","0","0","1","0","0","151","6","0","20","0","1","0","0","3","4","0","49","45","13","0","0","48","10","0","0","1","0","0","9","0","0","21","53","11","0","0","0","1","0","6","2","3","0","0","2","1","0","0","0","0","3","0","0","2","0","0","0","0","11","2","4","0","0","0","0","4"
" -12",NA,NA," 30","1","0","1","0","41","0","6","5","4","1","2","0","2","0","2","0","15","5","12","0","6","0","0","0","1","1","0","0","0","0","0","0","0","230","0","11","10","0","0","1","0","0","1","0","47","0","0","37","0","0","0","0","23","0","0","3","0","0","1","0","0","0","0","2","3","7","0","4","0","0","0","0","0","0","1","3","0","0","20","0","0","0","614","62545","0","0","0","1","0","0","0","179","3","0","21","0","0","0","0","3","2","0","45","53","23","0","0","40","20","0","0","1","0","0","15","0","0","15","47","6","4","0","0","0","0","15","0","2","0","0","2","8","0","0","0","3","13","0","0","3","0","0","0","0","10","2","8","0","0","0","1","0"
"   4",NA,NA," 40","1","2","0","0","27","0","11","11","0","0","0","0","0","0","4","1","3","1","10","0","13","1","1","0","0","2","0","1","1","0","0","0","0","253","0","17","13","0","0","0","0","0","2","3","40","0","0","34","0","0","0","0","17","1","2","0","0","0","4","0","1","0","0","1","3","6","0","1","0","0","2","0","0","0","1","4","0","0","9","0","0","4","723","62545","0","0","0","1","0","0","0","226","0","0","21","0","0","0","0","0","0","0","52","49","17","0","0","59","12","0","0","0","0","0","8","0","0","9","57","9","5","0","0","3","0","16","0","0","0","0","0","9","0","0","0","1","4","0","0","0","0","0","0","0","7","1","9","1","0","0","0","2"
"  21",NA,NA," 50","1","0","0","0","39","0","10","8","2","0","1","0","0","0","4","1","1","2","5","0","8","1","0","0","0","0","0","1","0","0","1","0","0","264","0","11","6","1","0","0","0","0","3","0","29","0","0","31","0","0","0","2","25","0","2","0","0","0","1","0","0","0","0","2","0","4","0","1","0","0","2","0","0","0","0","3","0","0","15","0","0","0","482","62545","0","0","0","0","1","0","0","209","2","0","28","0","0","0","0","0","2","0","73","52","13","0","0","68","5","0","1","1","0","0","3","0","0","10","58","5","0","0","0","0","0","10","0","4","0","0","0","4","0","0","0","2","13","0","0","5","0","0","0","0","11","3","8","1","0","0","1","7"
"  37",NA,NA," 60","1","0","1","0","13","0","5","8","2","1","1","0","0","0","11","1","6","4","5","0","11","0","0","0","0","3","0","1","0","0","1","0","0","182","0","12","3","0","0","0","0","0","3","0","28","0","0","31","0","0","0","0","13","0","0","0","0","0","3","0","1","0","0","3","0","6","1","0","0","0","0","0","0","0","0","1","0","0","10","0","0","0","693","62545","0","0","0","0","0","0","0","205","2","0","19","0","1","0","0","1","2","0","107","53","22","1","0","79","8","0","0","2","0","0","9","0","0","2","65","5","3","0","0","0","0","9","1","1","0","0","0","1","0","0","0","0","5","0","0","0","0","0","0","0","16","1","9","0","0","0","1","0"
"  54",NA,NA," 70","1","0","0","0","32","0","6","9","0","3","3","0","2","0","9","1","9","6","14","0","2","0","0","0","1","1","0","1","0","4","1","0","0","275","0","11","18","0","0","0","0","0","0","8","15","0","0","30","0","0","0","0","21","0","0","0","0","0","1","0","2","1","0","2","0","32","1","5","0","0","2","0","0","0","5","13","0","0","12","0","0","0","630","62545","0","0","0","0","0","0","0","304","5","0","30","0","4","0","0","7","8","0","60","49","32","0","0","53","15","0","1","3","0","0","14","0","0","4","21","12","0","0","0","0","0","8","0","4","0","0","0","0","0","0","0","0","6","0","1","5","1","0","0","0","11","0","7","0","0","0","0","6"
"  71",NA,NA," 80","1","0","1","0","13","0","0","5","3","1","2","0","0","0","4","0","6","1","5","0","12","2","0","0","0","2","0","3","1","0","0","0","0","99","2","4","7","0","0","0","0","0","2","0","23","0","0","31","0","0","0","0","6","0","0","0","0","0","8","0","1","0","0","1","1","4","0","0","0","0","0","0","0","0","0","2","0","0","12","0","0","0","601","62545","0","0","0","1","0","0","0","264","3","0","19","0","0","0","0","0","3","2","132","43","14","0","0","49","24","0","1","0","0","0","1","0","0","7","63","14","4","0","0","0","0","10","1","3","0","0","0","0","0","0","0","2","10","0","0","0","0","0","1","0","5","5","1","0","0","0","0","3"
"  87",NA,NA," 90","1","0","0","0","27","0","11","11","3","0","3","0","0","0","6","0","7","8","5","0","16","1","1","0","0","1","0","3","0","0","0","0","0","27","1","12","8","0","0","0","0","0","3","1","28","0","0","61","0","0","0","0","13","0","1","0","0","0","3","0","3","0","0","3","3","4","1","0","0","0","0","0","0","0","2","11","0","0","5","0","0","1","526","62545","0","0","0","0","0","0","0","691","4","0","36","0","0","0","0","1","1","0","25","53","24","0","0","94","33","0","2","0","0","0","0","0","0","12","45","4","5","0","0","0","0","15","1","1","0","1","0","4","0","0","0","0","0","0","0","0","0","0","0","1","6","0","7","0","0","0","0","0"
