"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acacia t.","Aesculus","Aizoaceae t.","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Berberis t.","Boraginaceae undif.","Brassicaceae","Campanulaceae","Caryophyllaceae undif.","Cedrus","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Euphorbia t.","Fraxinus","Galium t.","Geranium","Hedera","Ilex","Juglans","Juncaceae","Lamiaceae undif.","Lauraceae","Myriophyllum undif.","Myrtaceae undif.","Nerium","Nymphaea","Olea t.","Papaver t.","Paronychieae","Passifloraceae undif.","Petaloid monocot","Pinus mediterranea","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Primulaceae undif.","Quercus evergreen","Ranunculaceae undif.","Rosaceae undif.","Salix","Saxifragaceae","Scrophulariaceae undif.","Spergularia t.","Tamarix","Taxus","Thymelaeaceae undif.","Typha","Ulmus t.","Urtica t.","Vitaceae undif."
"173",NA,NA,"  5","  0","  0","  8","  1","  0","  7"," 11","  2","  6","  0","  0"," 57","  0","  5","129","  0","  5","  0","  1","  0","  0"," 53","  0","  0","  1","  0","  2","  0","  0","  1","  0"," 56","  0","  0","  6","  0","  0","  0"," 11","  2","  0","  0","  0","  6","  1","  0","251","  0","  4"," 41","  0"," 86"," 11"," 40","  1","  0","  0"," 10","  0","  0","  0"," 91","  1","  5","  0"
"412",NA,NA," 10","  0","  0","  1","  0","  0"," 11"," 20","  4"," 19","  0","  0"," 60","  0","  8","143","  0","  6","  1","  2","  0","  2"," 43","  0","  0","  0","  0","  0","  0","  2","  0","  4"," 42","  0","  0"," 15","  0","  1","  0","  6","  0","  0","  0","  0","  1","  0","  0","243","  0","  2"," 61","  0"," 88"," 10"," 57","  1","  0","  0","  6","  0","  0","  0","111","  1","  5","  0"
"864",NA,NA," 20","  2","  0","  0","  0","  0","  3"," 14","  1","  4","  0","  0"," 17","  1","  0"," 47","  0","  1","  0","  0","  0"," 10"," 61","  0","  0","  0","  0","  2","  0","  0","  0","  1","  1","  4","  0","  3","  0","  0","  0"," 14","  0","  0","  0","  0","  1","  0","  0","162","  2","  3","115","  1"," 79","  2","  0","  0","  0","  0"," 13","  0","  0","  0"," 15","  0","  2","  0"
"1479",NA,NA,"  35","   0","   1","   0","   0","   0","  12","  30","   0","  28","   0","   0","  88","   0","   1"," 111","   0","   9","   5","   0","   0","   0","  20","   0","   0","   1","   0","   1","   1","   0","   0","   0","   1","   3","   0","   1","   0","   0","   3","   2","   0","   0","   0","  14","  11","   0","   1"," 192","   0","   4","  48","   0"," 133","   3","   4","   0","   0","   0","  14","   0","   0","   0","  98","   0","   2","   0"
"1849",NA,NA,"  44","   1","   0","   0","   0","   0","   7","   0","   0","  12","   0","   0","  12","   0","   0","  19","   0","   4","   1","   0","   0","   2","   9","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   2","   0","   1","   0","   0","   0","   1","   3","   0","   0","   0","   0","   0","   0"," 118","   1","   0","  46","   0","  28","   3","   0","   0","   0","   2","  10","  30","   0","   0","  12","   0","   0","   0"
"2023",NA,NA,"  50","   0","   0","   0","   0","   0","   5","  50","   1","  62","   0","   0","  65","   0","   4","  63","   1","  18","   2","   2","   0","   3","  19","   0","   0","   1","   0","   5","   0","   0","   1","   0","   2","   0","   0","  19","   0","   0","   0","   4","   0","   0","   0","  16","   9","   0","   0"," 458","   9","   4","  69","   0"," 221","   3","   1","   0","   0","   0","  39","   0","   0","   0"," 162","   0","   5","   0"
"2351",NA,NA,"  60","   1","   0","   0","   0","   0","  11","  30","   1","  17","   0","   1","  31","   0","   1","  23","   0","  18","   4","   0","   0","   4","  19","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  10","   0","   5","   1","   0","   0","   4","   6","   0","   0","   0","  11","   1","   0"," 235","   4","   1"," 116","   0","  64","  15","   0","   0","   0","   0","  43","   5","   0","   0","  11","   0","   1","   1"
"2505",NA,NA,"  65","   0","   1","   0","   0","   0","   3","  13","   0","  40","   0","   0","  21","   0","   2","  57","   2","  10","   0","   0","   0","   0","  21","   0","   0","   1","   0","   3","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   4","   0","   0","   0","  13","   6","   0","   1"," 194","   5","   3","  26","   0"," 136","   0","   1","   0","   0","   0","  18","   0","   0","   0","  58","   0","   1","   1"
"2653",NA,NA,"  70","   0","   3","   2","   0","   0","   6","   4","   0","  35","   0","   0","  13","   0","   5"," 137","   0","  22","   0","   1","   0","   1","  19","   0","   0","   6","   0","   0","   0","   0","   1","   0","  10","   0","   0","   4","   0","   0","   0","   3","   0","   0","   0","   6","   5","   0","   0","  79","   0","   5","  26","   0","  42","  12","  14","   1","   0","   0","  12","   0","   0","   0","  59","   0","   0","   0"
"2796",NA,NA,"  75","   3","   0","   0","   0","   1","   8","  18","   1","  51","   0","   0","  22","   0","   1"," 107","   5","  15","   3","   3","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   1","   0","   0","   0","   5","  43","   0","   0"," 195","   0","   4","   0","   0","  90","   0","  10","   0","   0","   0","  36","   0","   0","   0","   0","   0","   4","   0"
"2932",NA,NA,"  80","   0","   0","   0","   0","   0","   2","  12","   0","  12","   0","   0","  32","   0","   1","  78","   0","  18","   0","   0","   0","   4","  38","   0","   0","   0","   1","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   2","   5","   0","   0","  83","   0","   0","  33","   0"," 141","   7","  14","   0","   0","   0","  19","   0","   0","   2","  43","   2","   4","   0"
"3064",NA,NA,"  85","   0","   0","   0","   0","   0","   4","   9","   1","  17","   0","   0","  50","   0","   3","  55","   1","   4","   0","   0","   0","   0","  76","   1","   0","   0","   0","   0","   0","   0","   0","   1","   2","   0","   0","   5","   0","   0","   0","  12","   0","   0","   0","   1","  25","   0","   0"," 110","   0","   0","  24","   0"," 148","  19","   2","   3","   0","   0","  11","   0","   1","   1","   6","   0","   1","   0"
"3190",NA,NA,"  90","   0","   0","   0","   0","   0","   5","  12","   4","  13","   0","   0","  39","   2","   0","  68","   0","  18","   0","   0","   2","  13","  76","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0","   0","  15","   0","   0","   0","   1","  42","   3","   0"," 122","   0","   2","  27","   0"," 167","   7","   7","   0","   0","   0","  11","   0","   0","   0","  31","  13","   3","   0"
"3312",NA,NA,"  95","   0","   0","   0","   0","   0","   4","   6","   0","  24","   0","   0","  10","   0","   0","  28","   0","   1","   0","   0","   0","   3","  40","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   5","  56","   0","   0","  66","   0","   3","  10","   0","  53","  11","   6","   0","   0","   0","  23","   0","   0","   0","  24","   0","   1","   0"
"3429",NA,NA," 100","   1","   0","   0","   0","   0","   5","  25","   0","  18","   0","   0","  80","   6","   0","  62","   0","   9","   0","   0","   0","   0","  72","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   1","   0","   6","   2","   2","   2"," 141","   0","   1","  41","   1","  57","   7","   0","   1","   0","   0","  20","   0","   0","   0","  60","   5","   0","   0"
"3651",NA,NA," 111","   0","   0","   0","   0","   0","   3","   6","   0","   4","   0","   0","  26","   0","   0","  11","   1","   6","   2","   0","   0","   0","  53","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","  15","   0","   3","   0","   2","   0","   0","   0","   0","   4","   4","   0"," 111","   0","   0","  34","   0","  36","   9","   3","   0","   0","   0","  11","   0","   0","   0","  18","   0","   0","   0"
