"Depth (cm) [cm]","Acacia t.","Acanthaceae undif.","Alchornea","Amaranthaceae undif.","Asteroideae undif.","Bombax","Boraginaceae undif.","Borreria t.","Caryophyllaceae undif.","Celtis","Cichorieae","Combretaceae","Cucurbitaceae undif.","Cyperaceae","Detarium","Dichrostachys","Diospyros/Euclea t.","Elaeis","Euphorbiaceae undif.","Fabaceae Undif.","Faboideae Undif.","Hymenocardia","Indeterminable","Indigofera","Ipomoea","Lannea","Layer [undefined]","Mitracarpus","Mitragyna/Hallea","Nauclea","Nyctaginaceae","Nymphaea","Petaloid monocot","Phyllanthus undif.","Poaceae","Polygonum t.","Pseudoschizaea","Rubiaceae undif.","Sapotaceae undif.","Securinega  t.","Spergularia t.","Syzygium t.","Triletes","Typha","Uapaca","Ziziphus/Paliurus"
"1153","0","2","7","5","2","0","0","0","1","2","2","2","0","2","2","0","1","0","1","1","0","0","3","0","0","1","0","1","1","1","0","2","0","0","69","1","0","1","0","0","0","6","0","1","3","0"
"1157","0","2","17","3","4","1","1","1","0","1","2","4","0","3","1","1","0","0","1","0","1","0","12","0","0","0","0","0","2","0","0","1","0","1","79","0","2","0","1","0","1","7","0","2","2","0"
"1159","0","1","22","1","4","1","0","0","1","9","2","5","1","5","2","0","2","1","1","0","2","0","13","0","1","3","0","1","2","0","1","4","1","0","188","1","3","0","0","1","1","5","2","1","13","1"
"1161","1","2","21","4","6","0","0","1","1","7","5","4","0","7","1","0","1","0","1","1","0","1","6","1","0","2","0","0","1","0","0","2","1","0","109","1","0","0","0","0","0","6","1","1","15","0"
"1165","0","1","11","1","2","0","0","0","0","2","1","3","0","1","1","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","1","1","0","0","77","0","1","0","0","0","0","2","0","0","3","0"
