"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Brassicaceae","Buxus","Campanulaceae","Carpinus","Caryophyllaceae undif.","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Euphorbia t.","Fagus","Fraxinus","Geraniaceae undif.","Hedera","Juglans","Lamiaceae undif.","Ligustrum","Malva","Myriophyllum undif.","Olea t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Potamogeton","Protist","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rhamnus","Rubiaceae undif.","Salix","Sparganium","Tilia","Typha","Ulmus t.","Unknown"
" 354"," 839","-131","  45","   0","   1","  76","   0","   0","  12","   0","   0","   0","   0","   0","   0","  98","   1","   0","   0","   0","  32","   1","  10","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","  15"," 139","   0","   2","  11","   0","  21","   0","  21","   7","   1","   6","   0","   0","   0","   0","  12","   0","   0","   0","  32"
" 700","1161"," 239","  90","   0","   1","  66","   0","   0","  23","   0","   3","   0","   0","   0","   0"," 112","   0","   0","   0","   0","  40","   2","  21","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   8","  61","   0","   1","  10","   0","   5","   0","  12","   0","   1","   4","   0","   0","   1","   0","   8","   0","   0","   0","  14"
"1046","1484"," 610"," 135","   0","   1","  10","  82","   1","  11","   0","   0","   0","   0","   0","   0","  24","  11","   0","   0","   0","  62","   3","  55","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","  21","   0","  23","  26","   0","   1","  21","   0","  20","   0","  15","   0","   2","   0","   0","   0","   0","   0","   3","   0","   0","   0","  36"
"1392","1807"," 981"," 180","   0","   0","  10","  74","   0","   6","   0","   0","   0","   0","   0","   0","  24","  12","   0","   0","   0","  87","   0","  66","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","  26","   0","  16","  14","   0","   0","  17","   1","  20","   0","  11","   0","   3","   2","   0","   0","   0","   0","   7","   0","   1","   0","  26"
"1739","2130","1351"," 225","   0","   2","  58","  20","   2","   2","   0","   0","   1","   0","   0","   0","  13","   2","   0","   0","   0"," 109","   1","  28","   1","   0","   3","   0","   0","   0","   1","   0","   0","   0","   9","   0","  28","  64","   2","   2","  19","   0","   7","   0","   2","   5","   2","   4","   0","   0","   0","   0","  23","   0","   1","   0","  29"
"2085","2452","1719"," 270","   0","   1","  51","   5","   0","  45","   4","   1","   2","   0","   0","   0","   5","  15","   0","   4","   0","  26","   2","  54","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","  25","   0","   9","  59","   1","   3","  12","   0","   0","   1","   4","  17","   4","  13","   0","   0","   0","   0","   2","   0","   0","   0","  31"
"2431","2775","2087"," 315","   0","   4","  33","   9","   2","  16","   3","   0","   0","   0","   0","   0","  15","  14","   0","   5","   0","  20","   0","  44","   0","   0","   2","   0","   1","   1","   0","   0","   0","   2","  14","   0","   3","  36","   0","   5","  22","   3","   1","   0","   3","  15","  10","  12","   0","   2","   2","   0","   3","   0","   0","   0","  24"
"2777","3099","2453"," 360","   0","   1","  25","  12","   2","  19","   0","   0","   0","   0","   0","   0","  27","   8","   0","   0","   0","  52","   0","  47","   0","   0","   1","   0","   1","   0","   0","   5","   0","   1","  21","   0","   8","  34","   0","   1","  12","   1","   3","   0","  20","   0","   4","   2","   0","   0","   0","   0","  28","   0","   1","   0","  16"
"3123","3424","2819"," 405","   0","  11","  37","   8","   4","  43","   2","   0","   0","   0","   0","   0","  17","  13","   0","   1","   0","  22","   0","  47","   0","   0","  11","   0","   0","   0","   2","   2","   0","   0","  35","   0","   3","  41","   0","  10","   8","   0","   1","   0","  16","   9","   6","   8","   0","   0","   0","   0","   9","   0","   0","   1","  25"
"3469","3749","3182"," 450","   0","   2","  45","  10","   6","  54","   3","   0","   0","   0","   0","   0","  21","  19","   0","   4","   0","  18","   0","  74","   1","   0","   2","   0","   0","   0","   1","   0","   1","   0","  50","   0","   6","  51","   0","   7","  21","   1","   0","   0","  19","   0","  17","  22","   0","   0","   1","   0","   4","   0","   0","  12","  38"
"3815","4077","3546"," 495","   0","   6","  16","   5","   1","  79","   1","   0","   0","   0","   0","   0","  19","   4","   0","   3","   0","  10","   0"," 101","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","  40","   0","  24","  24","   0","   3","  12","   2","   1","  14","  23","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","  30"
"4161","4405","3907"," 540","   0","   3","   5","   5","   0","  97","   0","   1","   0","   0","   0","   0","  27","   5","   0","  11","   0","   5","   6"," 131","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  28","   0","  21","  15","   0","  13","  24","   0","   3","   0","  24","   0","   4","   0","   0","   0","   3","   0","   2","   0","   1","   0","  46"
"4507","4736","4267"," 585","   0","   2","  13","   3","   3","  90","   3","   6","   0","   0","   0","   0","  15","   5","   0","   7","   0","   8","   4"," 137","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","  17","   0","  12","  24","   0","  10","  12","   1","   0","   1","  21","   6","   8","   2","   0","   0","   1","   0","   2","   0","   0","   0","  54"
"4853","5073","4628"," 630","   0","   1","  14","   5","   0"," 112","   0","  17","   0","   0","   0","   0","  20","  11","   0","  10","   0","   8","   4"," 162","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","  19","   0","   5","  21","   5","   9","  24","   0","   4","   0","  23","   3","   1","   0","   0","   0","   1","   0","   2","   0","   0","   0","  43"
"5199","5412","4987"," 675","   0","   6","  36","  14","   2","  81","   0","  11","   0","   0","   0","   0","  10","  12","   0","   6","   0","   9","   0"," 201","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","  29","   0","   2","  35","   0","  14","  31","   0","   2","   2","  16","  12","   7","   2","   0","   0","   0","   0","   0","   0","   0","   0","  37"
"5545","5751","5341"," 720","   0","   3","  14","   4","   1"," 100","   2","  11","   0","   0","   0","   0","  13","   9","   0","   8","   0","  11","   2"," 203","   0","   1","   0","   0","   0","   0","   2","   0","   0","   0","  37","   0","   6","  17","   0","  13","  35","   0","   1","   0","  33","   2","   4","   0","   0","   0","   2","   2","   1","   1","   0","   0","  48"
"5891","6092","5691"," 765","   0","   2","  16","   4","   1","  85","   0","   7","   0","   0","   0","   0","   9","   5","   0","   5","   0","  12","   3"," 172","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","  34","   0","   5","  16","   5","  16","  52","   2","   0","   0","  13","   2","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","  84"
"6237","6438","6039"," 810","   0","   1","   6","  27","   1"," 117","   0","   3","   0","   0","   0","   0","   4","   4","   0","   4","   2","  10","   3","  58","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","  31","   3","   7","  18","   0","   8","  18","   1","   6","   0","   3","   1","   0","   0","   0","   0","   2","   0","   2","   0","   0","   0"," 101"
"6583","6789","6385"," 855","   0","   3","   7","  17","   0","  92","   0","   5","   0","   0","   0","   0","  14","   8","   0","   6","   0","  10","   3","  91","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","  26","   1","   3","  15","   0","   9","  40","   8","   0","   2","   9","   4","   1","   0","   0","   0","   0","   1","   2","   0","   0","   0","  33"
"6929","7142","6727"," 900","   0","   0","   0","  18","   2"," 141","   0","   6","   0","   0","   0","   0","  17","   5","   0","   4","   0","   7","   3","  91","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","  38","   0","   2","  18","   0","  30","  60","  17","   4","   5","  10","   2","   0","   2","   0","   0","   6","   0","   0","   0","   0","   0","  67"
"7208","7424","7001"," 945","   0","   6","  13","  11","   2"," 172","   2","   5","   2","   0","   0","   0","  11","   3","   0","   5","   0","   3","   5","  91","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  49","   0","   3","  16","   0","  23","  67","  13","   0","   0","   6","   2","   2","   0","   0","   0","   3","   0","   1","   0","   0","   0","  77"
"7251","7458","7052"," 990","   1","   1","   2","  28","   0"," 138","   1","   3","   0","   0","   0","   0","  13","   4","   0","   2","   0","   4","   2","  59","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  26","   2","   3","  21","   0","  11","  30","  12","   1","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","  85"
"7294","7492","7102","1035","   0","   3","   8","  36","   1"," 156","   0","   9","   0","   0","   0","   0","   9","   4","   0","   0","   0","   4","  15","  51","   0","   0","   0","   0","   0","   0","   2","   0","   2","   0","  17","   3","   4","  32","   0","  19","  41","  17","   6","   0","   5","   2","   2","   0","   0","   0","   3","   0","   0","   0","   0","   0"," 117"
"7337","7527","7151","1080","   1","   8","   3","  46","   2"," 181","   0","  12","   0","   0","   0","   0","   7","   3","   0","   2","   0","   7","   4","  58","   0","   0","   0","   0","   0","   0","   3","   0","   1","   0","  12","   4","   7","  16","   0","  33","  44","  12","   2","   3","   7","   3","   2","   0","   0","   0","   0","   0","   3","   0","   0","   0"," 146"
"7380","7561","7199","1125","   1","   5","   2","  56","   0"," 186","   1","  20","   0","   0","   0","   0","  14","   3","   0","   2","   0","   2","   7","  62","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  23","   2","   9","  17","   0","  50","  54","  15","   3","   0","   3","   0","   2","   0","   0","   0","   0","   0","   0","   0","   1","   0"," 149"
"7423","7596","7248","1170","   1","   2","   2","  52","   0"," 147","   0","   5","   0","   0","   0","   0","   8","   0","   0","   3","   0","   3","   9","  50","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   4","   1","   2","  13","   0","  34","  35","  14","   1","   1","   2","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0"," 140"
"7451","7619","7280","1200","   0","   1","   5"," 105","   0"," 203","   1","  21","   0","   0","   0","   0","  10","   6","   0","   1","   0","  11","   7","  67","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","  16","   0","   3","  18","   0","  74","  59","  40","   6","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 211"
"7461","7627","7291","1210","   0","   4","   3","  81","   2"," 201","   0","  12","   0","   0","   0","   0","  13","   0","   0","   6","   0","   5","   7"," 147","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","  41","   2","   4","   8","   0","  36","  53","  14","  18","   2","   3","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0"," 100"
"7480","7643","7312","1230","   1","   2","   4","  41","  11"," 215","   2","   2","   0","   0","   0","   0","   4","   0","   0","  49","  13","   4","  64","   0","   1","   0","   0","   1","   0","   0","   3","   0","   0","   0","   1","   3","   0","  45","  19","   2","  19","   0","   4","   3","   4","   1","   2","   0","   0","   0","   0","   0","  13","   1","   0","   0"," 102"
