"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Aesculus","Algae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Brassicaceae/Olea","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Carya","Caryophyllaceae undif.","Castanea","Cedrus","Celtis/Morus","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Coryloideae","Crataegus/Sorbus","Cupressaceae","Cyperaceae","Dipsacaceae","Elaeagnus","Ephedra","Euphorbia t.","Fagus","Fern","Filipendula t.","Fraxinus","Gentiana t.","Hedera","HippophaÃ« rhamnoides","Indeterminable","Juglans","Lamiaceae undif.","Linum t.","Liquidambar","Lythrum","Moraceae undif.","Myriophyllum spicatum/verticillatum t.","Olea t.","Ononis t.","Ostrya","Persicaria t.","Pinus undif.","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potentilla t.","Quercus evergreen","Quercus subgen. Cerris","Quercus undif.","Ranunculaceae undif.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Secale","Solanum","Tilia","Trifolium t.","Typha","Ulmus t.","Valerianella","Vitis","charcoal"
"308.00000",NA,NA,"121.50000","  0.00000","  0.00000","  0.00000","  1.00000"," 12.00000","  8.00000","  2.00000"," 69.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  1.00000","  0.00000","  0.00000","  2.00000","  0.00000","  0.00000","  0.00000","  3.00000","  1.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  2.00000","  0.00000","  0.00000","  0.00000","  3.00000","  0.00000","  1.00000","  0.00000","  3.00000","  0.00000","  5.00000","  0.00000"," 85.00000","  0.00000","128.00000","  0.00000","  1.00000","  0.00000","  0.00000"," 69.00000","  0.00000","  0.00000","  0.00000","  1.00000","  2.00000","  0.00000","  0.00000","  1.00000","  0.00000"," 18.00000","  0.00000","  0.00000","  0.00000","  1.00000","  0.00000","  0.00000","  0.00000"," 32.92683"
"1628.00000",NA,NA," 371.10000","   0.00000","   0.00000","   0.00000","   9.00000","  23.00000","  18.00000","   2.00000"," 108.00000","   1.00000","   0.00000","   1.00000","   0.00000","   0.00000","   1.00000","   1.00000","   2.00000","   0.00000","   0.00000","   2.00000","   0.00000","   0.00000","   0.00000","   2.00000","   3.00000","   2.00000","   0.00000","   0.00000","   0.00000","   0.00000","  12.00000","   0.00000","   0.00000","   0.00000","   0.00000","   0.00000","   0.00000","   1.00000","   0.00000","   0.00000","   0.00000","   0.00000","   2.00000","   4.00000","   0.00000","   0.00000","   1.00000","   0.00000","   0.00000","   0.00000","  17.00000","   0.00000","   4.00000","   0.00000","  40.00000","   5.00000","  72.00000","   0.00000","   1.00000","   0.00000","   0.00000","  52.00000","   0.00000","   1.00000","   0.00000","   7.00000","   1.00000","   1.00000","   0.00000","   9.00000","   0.00000","   2.00000","   0.00000","   0.00000","   2.00000","   0.00000","   4.00000","   0.00000","   1.00000","  26.69039"
"328.0000",NA,NA,"125.0000","  0.0000","  0.0000","  0.0000","  0.0000","  9.0000","  9.0000","  1.0000"," 69.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  3.0000","  0.0000","  0.0000","  0.0000","  3.0000","  5.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  6.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  6.0000","  0.0000"," 66.0000","  2.0000","135.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 78.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  1.0000","  0.0000","  1.0000","  0.0000"," 13.0000","  0.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","145.1613"
"1608.0000",NA,NA," 366.9000","   0.0000","   0.0000","   0.0000","   0.0000","  22.0000","  10.0000","   3.0000"," 112.0000","   3.0000","   0.0000","   1.0000","   0.0000","   0.0000","   0.0000","   1.0000","   0.0000","   0.0000","   0.0000","   5.0000","   0.0000","   0.0000","   0.0000","   5.0000","   6.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","  24.0000","   0.0000","   0.0000","   0.0000","   1.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   8.0000","   0.0000","   0.0000","   0.0000","   5.0000","   0.0000","   0.0000","   0.0000","  30.0000","   1.0000","   2.0000","   0.0000","  43.0000","   4.0000","  67.0000","   0.0000","   2.0000","   0.0000","   3.0000","  39.0000","   0.0000","   0.0000","   0.0000","   3.0000","   1.0000","   1.0000","   0.0000","   6.0000","   0.0000","   4.0000","   0.0000","   0.0000","   0.0000","   0.0000","   1.0000","   0.0000","   3.0000"," 214.5127"
"348.00000",NA,NA,"128.50000","  0.00000","  0.00000","  0.00000","  1.00000"," 22.00000"," 12.00000","  2.00000","129.00000","  3.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  7.00000","  0.00000","  0.00000","  0.00000","  3.00000"," 13.00000","  1.00000","  0.00000","  0.00000","  0.00000","  0.00000","  2.00000","  1.00000","  0.00000","  0.00000","  0.00000","  1.00000","  0.00000","  0.00000","  4.00000","  0.00000","  0.00000","  0.00000","  3.00000","  1.00000","  0.00000","  0.00000","  1.00000","  0.00000","  0.00000","  0.00000","  4.00000","  0.00000","  2.00000","  0.00000"," 72.00000","  4.00000","142.00000","  0.00000","  4.00000","  0.00000","  0.00000"," 36.00000","  0.00000","  1.00000","  0.00000","  4.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000"," 16.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000"," 52.12355"
"1588.0",NA,NA," 362.7","   0.0","   0.0","   0.0","   0.0","  35.0","   9.0","   0.0","  85.0","   2.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0","   1.0","   0.0","   0.0","   5.0","   0.0","   0.0","   0.0","   4.0","   3.0","   0.0","   0.0","   1.0","   1.0","   0.0","  11.0","   0.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   1.0","   0.0","   2.0","   0.0","   0.0","   0.0","  28.0","   1.0","   4.0","   0.0","  31.0","   3.0"," 124.0","   0.0","   3.0","   0.0","   3.0","  55.0","   0.0","   0.0","   0.0","   8.0","   8.0","   4.0","   1.0","  11.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   0.0"
"368.00000",NA,NA,"132.30000","  0.00000","  0.00000","  0.00000","  0.00000"," 17.00000","  7.00000","  0.00000","129.00000","  3.00000","  0.00000","  0.00000","  0.00000","  0.00000","  1.00000","  0.00000","  0.00000","  0.00000","  0.00000","  2.00000","  2.00000","  0.00000","  0.00000","  4.00000","  4.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  1.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  4.00000","  0.00000","  0.00000","  0.00000","  5.00000","  1.00000","  1.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  4.00000","  0.00000","  1.00000","  0.00000"," 77.00000","  1.00000"," 92.00000","  0.00000","  3.00000","  0.00000","  0.00000"," 54.00000","  0.00000","  0.00000","  0.00000","  4.00000","  1.00000","  0.00000","  0.00000","  0.00000","  0.00000"," 15.00000","  0.00000","  0.00000","  0.00000","  4.00000","  0.00000","  0.00000","  0.00000"," 96.42857"
"1568.0000",NA,NA," 358.5000","   0.0000","   0.0000","   0.0000","   0.0000","  18.0000","  12.0000","   4.0000"," 100.0000","   2.0000","   0.0000","   0.0000","   1.0000","   0.0000","   0.0000","   1.0000","   0.0000","   1.0000","   0.0000","   4.0000","   1.0000","   0.0000","   0.0000","  11.0000","   7.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   9.0000","   0.0000","   2.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   4.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","  12.0000","   0.0000","   4.0000","   0.0000","  45.0000","   2.0000"," 126.0000","   0.0000","   1.0000","   0.0000","   6.0000","  91.0000","   0.0000","   0.0000","   0.0000","   5.0000","   1.0000","   2.0000","   0.0000","  10.0000","   0.0000","   2.0000","   0.0000","   0.0000","   0.0000","  17.0000","   3.0000","   0.0000","   2.0000","  59.0422"
"388.0",NA,NA,"136.1","  0.0","  0.0","  0.0","  0.0","  0.0","  9.0","  1.0","155.0","  2.0","  0.0","  0.0","  1.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  1.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  5.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0"," 90.0","  1.0","108.0","  0.0","  2.0","  0.0","  0.0"," 54.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  2.0","  0.0","  7.0","  0.0","  0.0","  0.0","  2.0","  1.0","  0.0","  0.0","  0.0"
"1548.00000",NA,NA," 354.30000","   0.00000","   0.00000","   0.00000","   1.00000","  22.00000","  20.00000","   3.00000","  92.00000","   5.00000","   0.00000","   0.00000","   0.00000","   0.00000","   0.00000","   1.00000","   0.00000","   0.00000","   0.00000","   1.00000","   1.00000","   0.00000","   0.00000","   3.00000","   2.00000","   0.00000","   0.00000","   0.00000","   0.00000","   0.00000","   1.00000","   0.00000","   0.00000","   0.00000","   2.00000","   1.00000","   0.00000","   1.00000","   0.00000","   0.00000","   0.00000","   0.00000","   3.00000","   1.00000","   0.00000","   0.00000","   1.00000","   0.00000","   0.00000","   0.00000","  15.00000","   0.00000","   4.00000","   0.00000","  36.00000","   6.00000"," 136.00000","   0.00000","   1.00000","   0.00000","   2.00000","  74.00000","   0.00000","   0.00000","   0.00000","   8.00000","   1.00000","   0.00000","   0.00000","   3.00000","   0.00000","   1.00000","   0.00000","   0.00000","   0.00000","  42.00000","   1.00000","   0.00000","   0.00000","  59.05512"
