"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Algae","Alnus","Amaranthaceae undif.","Anagallis t.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Calluna","Campanulaceae","Cardueae undif.","Carum verticillatum","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Conopodium majus","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Fabaceae Undif.","Faboideae Undif.","Fallopia","Fern","Filipendula t.","Frangula","Fraxinus","Galium t.","Genisteae","Gentiana t.","Halimium/Tuberaria","Hedera","Hepaticae","HippophaÃ« rhamnoides","Hypericum undif.","Ilex","Juglans","Lamiaceae undif.","Linum t.","Lotus t.","Lysimachia","Lythrum","Musci","Myriophyllum alterniflorum t.","Myrtus","Olea t.","Paronychieae","Pedicularis","Petaloid monocot","Phillyrea","Physospermum cornubiense","Pinus nigra/sylvestris t.","Pinus pinaster","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Potamogeton","Potentilla t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Reseda/Sesamoides","Rosa t.","Rosaceae undif.","Rumex t.","Ruta","Salix","Sambucus","Sanguisorba t.","Saxifraga t.","Saxifragaceae","Secale","Sparganium","Spergularia t.","Thalictrum","Thymelaeaceae undif.","Trifolium t.","Ulmus t.","Vaccinium","Valeriana","Valerianella","Vitis","Zea"
"5052.87",NA,NA," 210.00","   0.00","   6.00","   0.00","   0.00","   0.00","   5.00","   1.00","   1.00","   3.00"," 126.00","   0.00","   1.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   9.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   1.00","   4.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00","   0.00","   7.00","   1.00","   1.00","   4.00","  35.00","   0.00","   1.00","   0.00"," 390.00","   3.00","   0.00","   0.00"," 155.00","   6.00","  18.00","   0.00","   0.00","   0.00","   8.00","   0.00","  10.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"5287.16",NA,NA," 220.00","   0.00","  10.00","   2.00","   0.00","   0.00","   4.00","   0.00","   2.00","   0.00"," 121.00","   2.00","  10.00","   2.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   7.00","   0.00","   0.00","   7.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   1.00","   3.00","   1.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00","   1.00","  11.00","  28.00","   0.00","   0.00","   0.00"," 350.00","   0.00","   0.00","   2.00"," 181.00","   6.00","   6.00","   0.00","   0.00","   0.00","  10.00","   0.00","   4.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"5521.44",NA,NA," 230.00","   0.00","   5.00","   0.00","   0.00","   0.00","   2.00","   2.00","   2.00","   2.00","  73.00","   0.00","   1.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   2.00","   0.00","   0.00","   1.00","   4.00","   0.00","   0.00","  62.00","   0.00","   0.00","   0.00","   6.00","   0.00","   0.00","   0.00","  12.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   6.00","  34.00","   0.00","   1.00","   1.00"," 129.00","   0.00","   0.00","   0.00"," 169.00","   5.00","  14.00","   0.00","   0.00","   0.00","   9.00","   0.00","   5.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"5755.73",NA,NA," 240.00","   0.00","   5.00","   1.00","   0.00","   0.00","   1.00","   1.00","   1.00","   0.00"," 150.00","   1.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   1.00","   0.00","   0.00","  44.00","   0.00","   0.00","   0.00","   6.00","   0.00","   0.00","   0.00","   4.00","   0.00","   0.00","   3.00","   0.00","   2.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","  16.00","   1.00","   1.00","   2.00","  78.00","   1.00","   0.00","   0.00"," 199.00","   4.00","   1.00","   0.00","   0.00","   0.00","  15.00","   0.00","  17.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"5990.01",NA,NA," 250.00","   0.00","   8.00","   0.00","   0.00","   0.00","   6.00","   0.00","   1.00","   3.00"," 160.00","   1.00","   0.00","   2.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   5.00","   1.00","   0.00","   9.00","   0.00","   0.00","   0.00","   5.00","   0.00","   0.00","   0.00","   7.00","   0.00","   2.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   1.00","   0.00","   9.00","  27.00","   0.00","   0.00","   0.00"," 220.00","   0.00","   9.00","   0.00"," 162.00","   9.00","  33.00","   0.00","   0.00","   0.00","  15.00","   0.00","  30.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00"
"6224.3",NA,NA," 260.0","   0.0","   7.0","   0.0","   0.0","   0.0","   5.0","   1.0","   0.0","   1.0"," 187.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","  10.0","   0.0","   0.0","   0.0","   4.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","  14.0","   0.0","   0.0","   0.0"," 123.0","   1.0","   4.0","   0.0"," 186.0","   6.0","  13.0","   0.0","   2.0","   0.0","   9.0","   0.0","  11.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"6458.58",NA,NA," 270.00","   0.00","  14.00","   0.00","   0.00","   0.00","   5.00","   1.00","   4.00","   3.00"," 176.00","   1.00","   1.00","   1.00","   0.00","   0.00","   0.00","   0.00","   1.00","   4.00","   0.00","   1.00","   0.00","   2.00","   0.00","   0.00","   7.00","   0.00","   0.00","   0.00","  14.00","   0.00","   0.00","   0.00","   5.00","   0.00","   2.00","   1.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   2.00","   8.00","  23.00","   0.00","   1.00","   0.00"," 139.00","   0.00","   3.00","   0.00"," 235.00","   6.00","  12.00","   0.00","   1.00","   0.00","  23.00","   0.00","   9.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"6654.88",NA,NA," 280.00","   0.00","   4.00","   0.00","   0.00","   0.00","   3.00","   0.00","   1.00","   2.00"," 148.00","   0.00","   1.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   7.00","   0.00","   0.00","   0.00","   6.00","   0.00","   0.00","   0.00","   4.00","   0.00","   2.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   1.00","   0.00","   0.00","   0.00","   0.00","   4.00","  38.00","   0.00","   0.00","   0.00","  70.00","   0.00","   8.00","   0.00"," 192.00","   9.00","   4.00","   0.00","   1.00","   0.00","  12.00","   0.00","   6.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"6813.18",NA,NA," 290.00","   0.00","   6.00","   0.00","   0.00","   0.00","   8.00","   1.00","   3.00","   0.00"," 208.00","   1.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   1.00","   0.00","   7.00","   0.00","   0.00","   9.00","   0.00","   0.00","   0.00","  11.00","   0.00","   0.00","   0.00","   7.00","   0.00","   6.00","   1.00","   2.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   1.00","  15.00","  36.00","   1.00","   1.00","   0.00"," 110.00","   1.00","   0.00","   1.00"," 230.00","   6.00","   6.00","   0.00","   1.00","   0.00","  19.00","   0.00","   9.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"6939.81",NA,NA," 298.00","   0.00","   7.00","   0.00","   0.00","   1.00","   3.00","   0.00","   1.00","   2.00"," 203.00","   2.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   2.00","   4.00","   1.00","   0.00","   8.00","   0.00","   0.00","   0.00","  13.00","   0.00","   0.00","   0.00","   8.00","   1.00","   3.00","   1.00","   0.00","   6.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   2.00","   0.00","   1.00","   4.00","  39.00","   0.00","   1.00","   0.00"," 128.00","   1.00","  16.00","   0.00"," 249.00","  11.00","   2.00","   0.00","   3.00","   0.00","  19.00","   0.00","  17.00","   0.00","   1.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00"
"7129.77",NA,NA," 310.00","   0.00","   5.00","   0.00","   0.00","   0.00","   7.00","   0.00","   0.00","   1.00"," 125.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   4.00","   0.00","   0.00","   7.00","   0.00","   0.00","   0.00","   6.00","   0.00","   0.00","   0.00","   2.00","   0.00","   1.00","   0.00","   2.00","   3.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","  31.00","   0.00","   0.00","   1.00","  51.00","   0.00","   6.00","   2.00"," 162.00","   9.00","   2.00","   0.00","   0.00","   0.00","  11.00","   0.00","  14.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"7288.08",NA,NA," 320.00","   0.00","   7.00","   0.00","   0.00","   0.00","   9.00","   1.00","   0.00","   1.00"," 150.00","   1.00","   0.00","   2.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   3.00","   0.00","   0.00","   4.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   3.00","   0.00","   6.00","   1.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","  11.00","  20.00","   0.00","   1.00","   0.00","  96.00","   1.00","  12.00","   0.00"," 183.00","  11.00","   8.00","   0.00","   0.00","   0.00","  19.00","   0.00","  13.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"7446.38",NA,NA," 330.00","   0.00","   2.00","   0.00","   0.00","   0.00","   3.00","   1.00","   2.00","   0.00"," 224.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   2.00","   0.00","   0.00","   3.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   8.00","   0.00","   0.00","   0.00","   7.00","   0.00","   8.00","   0.00","   0.00","   4.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00","   0.00","   2.00","  56.00","   0.00","   1.00","   0.00","  90.00","   0.00","   7.00","   0.00"," 214.00","   8.00","  13.00","   0.00","   3.00","   0.00","  19.00","   0.00","  14.00","   0.00","   1.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"7624.37",NA,NA," 341.00","   0.00","   1.00","   1.00","   0.00","   2.00","   5.00","   0.00","   2.00","   1.00"," 160.00","   1.00","   4.00","   2.00","   0.00","   0.00","   2.00","   0.00","   0.00","   1.00","   0.00","   1.00","   0.00","   6.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","  11.00","   0.00","   0.00","   0.00","   4.00","   0.00","  10.00","   1.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   1.00","   0.00","   6.00","  47.00","   0.00","   0.00","   1.00","  74.00","   3.00","   5.00","   0.00"," 198.00","  12.00","   6.00","   0.00","   1.00","   0.00","  20.00","   0.00","  11.00","   0.00","   0.00","   1.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"7772.63",NA,NA," 350.00","   0.00","   2.00","   0.00","   0.00","   0.00","   8.00","   2.00","   1.00","   0.00"," 192.00","   0.00","   1.00","   3.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   5.00","   0.00","   0.00","   1.00","   0.00","   1.00","   0.00","   4.00","   0.00","   0.00","   0.00","   3.00","   0.00","  14.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   1.00","   0.00","   0.00","  12.00","  37.00","   0.00","   2.00","   0.00"," 107.00","   0.00","  16.00","   0.00"," 211.00","  11.00","  10.00","   2.00","   0.00","   1.00","  16.00","   0.00","  13.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"7937.36",NA,NA," 360.00","   0.00","   9.00","   1.00","   0.00","   0.00","  11.00","   3.00","   1.00","   0.00"," 518.00","   0.00","   7.00","   3.00","   0.00","   0.00","   2.00","   0.00","   0.00","   6.00","   0.00","   0.00","   1.00","  11.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   8.00","   0.00","   0.00","   0.00","   9.00","   0.00","  19.00","   2.00","   2.00","   5.00","   0.00","   1.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   4.00","   0.00","   0.00","   4.00","   0.00","   0.00","   3.00","   1.00","   4.00","  15.00"," 100.00","   1.00","   0.00","   2.00"," 235.00","   1.00","  12.00","   0.00"," 449.00","  33.00","   7.00","   0.00","   3.00","   0.00","  31.00","   0.00","  45.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00"
"8102.1",NA,NA," 370.0","   0.0","   4.0","   0.0","   0.0","   0.0","   7.0","   0.0","   1.0","   1.0"," 239.0","   1.0","   1.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","  14.0","   0.0","   8.0","   2.0","   0.0","   5.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   1.0","   1.0","   0.0","   8.0","  59.0","   1.0","   0.0","   0.0","  92.0","   1.0","  12.0","   1.0"," 188.0","  21.0","   1.0","   2.0","   0.0","   0.0","  21.0","   0.0","  26.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"8283.31",NA,NA," 381.00","   0.00","   5.00","   2.00","   0.00","   0.00","  10.00","   1.00","   1.00","   0.00"," 177.00","   0.00","   3.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   4.00","   0.00","   1.00","   0.00","   1.00","   1.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   3.00","   0.00","   1.00","   6.00","  72.00","   1.00","   0.00","   0.00"," 112.00","   0.00","  15.00","   1.00"," 196.00","  13.00","   3.00","   0.00","   1.00","   0.00","  20.00","   0.00","  14.00","   0.00","   0.00","   1.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"8431.57",NA,NA," 390.00","   0.00","   2.00","   0.00","   0.00","   0.00","  10.00","   0.00","   1.00","   0.00"," 201.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   4.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   4.00","   0.00","   0.00","   0.00","  10.00","   1.00","   1.00","   2.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   1.00","   0.00","   0.00","   4.00","  39.00","   0.00","   1.00","   0.00","  89.00","   0.00","  10.00","   0.00"," 200.00","  10.00","   4.00","   0.00","   0.00","   0.00","  10.00","   0.00","  16.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"8617.1",NA,NA," 400.0","   0.0","   0.0","   0.0","   0.0","   0.0","   9.0","   1.0","   2.0","   0.0"," 154.0","   1.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   4.0","   3.0","   7.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   5.0","   0.0","   0.0","   0.0","   6.0","   0.0","   8.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   1.0","   0.0","   1.0","   9.0","  45.0","   0.0","   0.0","   0.0"," 136.0","   0.0","  38.0","   1.0"," 232.0","  16.0","   8.0","   0.0","   1.0","   0.0","  31.0","   0.0","  23.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"8823.43",NA,NA," 410.00","   0.00","   0.00","   0.00","   0.00","   0.00","  18.00","   2.00","   1.00","   1.00","  65.00","   0.00","   1.00","   1.00","   0.00","   2.00","   1.00","   0.00","   0.00","   1.00","   0.00","   1.00","   1.00","  12.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   5.00","   0.00","   0.00","   1.00","   1.00","   2.00","   1.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   2.00","   0.00","   0.00","   2.00","   1.00","   3.00","   4.00","  54.00","   1.00","   1.00","   0.00"," 124.00","   0.00","   8.00","   0.00"," 240.00","  18.00","   3.00","   0.00","   2.00","   0.00","  13.00","   0.00","   7.00","   0.00","   1.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"9029.77",NA,NA," 420.00","   0.00","   1.00","   0.00","   0.00","   0.00","  16.00","   1.00","   1.00","   1.00","  82.00","   1.00","   2.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   6.00","   0.00","   7.00","   1.00","  12.00","   1.00","   0.00","   5.00","   0.00","   2.00","   1.00","  10.00","   0.00","   0.00","   0.00","   6.00","   0.00","   5.00","   3.00","   2.00","   8.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   4.00","   0.00","   1.00","   9.00","  30.00","   0.00","   0.00","   0.00"," 215.00","   0.00","  76.00","   2.00"," 214.00","  14.00","  11.00","   1.00","   0.00","   1.00","  26.00","   0.00","  16.00","   0.00","   0.00","   1.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"9218.65",NA,NA," 430.00","   0.00","   2.00","   0.00","   0.00","   0.00","   9.00","   2.00","   1.00","   1.00","  11.00","   2.00","   2.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   3.00","   0.00","   1.00","   2.00","   5.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   4.00","   1.00","   1.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   6.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   1.00","   0.00","   2.00","   0.00","   0.00","   8.00","  30.00","   0.00","   1.00","   0.00"," 124.00","   1.00","  15.00","   0.00"," 233.00","  25.00","   3.00","   1.00","   0.00","   0.00","  13.00","   0.00","   5.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"9390.09",NA,NA," 440.00","   0.00","   0.00","   0.00","   0.00","   0.00","   4.00","   0.00","   1.00","   1.00","  11.00","   0.00","   2.00","   2.00","   1.00","   0.00","   1.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   5.00","   0.00","   0.00","   2.00","   0.00","   1.00","   0.00","   3.00","   0.00","   0.00","   0.00","   3.00","   0.00","   1.00","   2.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   2.00","   0.00","   0.00","   4.00","   0.00","   0.00","   1.00","  33.00","   0.00","   2.00","   0.00"," 122.00","   0.00","   8.00","   0.00"," 242.00","  10.00","   1.00","   0.00","   1.00","   0.00","  11.00","   0.00","   8.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"9561.52",NA,NA," 450.00","   0.00","   0.00","   0.00","   0.00","   2.00","   8.00","   5.00","   0.00","   0.00","   7.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   3.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   1.00","   0.00","   0.00","   0.00","   5.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","  12.00","  40.00","   0.00","   0.00","   0.00"," 114.00","   1.00","   6.00","   2.00"," 224.00","  13.00","   1.00","   0.00","   0.00","   0.00","   8.00","   0.00","   1.00","   0.00","   1.00","   2.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"9848.17",NA,NA," 461.00","   0.00","   7.00","   1.00","   0.00","   1.00","  11.00","   1.00","   2.00","   1.00","  56.00","   0.00","   5.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   2.00","   6.00","   0.00","   0.00","   3.00","   0.00","   1.00","   0.00","   9.00","   0.00","   0.00","   0.00","  10.00","   0.00","   3.00","   0.00","   1.00","   4.00","   1.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   7.00","   0.00","   0.00","   0.00","   1.00","   0.00","   2.00","   1.00","   2.00","   5.00","  40.00","   0.00","   0.00","   0.00"," 164.00","   1.00","   2.00","   0.00"," 271.00","   9.00","  10.00","   0.00","   1.00","   0.00","  19.00","   0.00","   6.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00"
