"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Algae","Alnus","Amaranthaceae undif.","Anagallis t.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Calluna","Campanulaceae","Cardueae undif.","Carum verticillatum","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Conopodium majus","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Fabaceae Undif.","Faboideae Undif.","Fallopia","Fern","Filipendula t.","Frangula","Fraxinus","Galium t.","Genisteae","Gentiana t.","Halimium/Tuberaria","Hedera","Hepaticae","HippophaÃ« rhamnoides","Hypericum undif.","Ilex","Juglans","Lamiaceae undif.","Linum t.","Lotus t.","Lysimachia","Lythrum","Musci","Myriophyllum alterniflorum t.","Myrtus","Olea t.","Paronychieae","Pedicularis","Petaloid monocot","Phillyrea","Physospermum cornubiense","Pinus nigra/sylvestris t.","Pinus pinaster","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Potamogeton","Potentilla t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Reseda/Sesamoides","Rosa t.","Rosaceae undif.","Rumex t.","Ruta","Salix","Sambucus","Sanguisorba t.","Saxifraga t.","Saxifragaceae","Secale","Sparganium","Spergularia t.","Thalictrum","Thymelaeaceae undif.","Trifolium t.","Ulmus t.","Vaccinium","Valeriana","Valerianella","Vitis","Zea"
"2987.39",NA,NA," 110.00","   0.00","   9.00","   0.00","   0.00","   0.00","   5.00","   1.00","   3.00","   1.00"," 156.00","   0.00","   6.00","   1.00","   0.00","   7.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   1.00","   0.00","   0.00","  27.00","   0.00","   0.00","   0.00","  94.00","   0.00","   0.00","   0.00","  15.00","   0.00","   0.00","   0.00","   4.00","   2.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   7.00","   0.00","   0.00","   3.00","   1.00","   0.00","   9.00","   0.00","   0.00","   1.00","  16.00","   0.00","   2.00","   0.00"," 218.00","   2.00","   0.00","   6.00","  61.00","   6.00","  49.00","   0.00","   0.00","   0.00","   6.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"3125.45",NA,NA," 120.00","   0.00","  11.00","   1.00","   0.00","   1.00","   6.00","   2.00","   0.00","   1.00"," 189.00","   0.00","  11.00","   2.00","   0.00","   6.00","   3.00","   0.00","   0.00","   2.00","   0.00","   0.00","   4.00","   2.00","   1.00","   0.00","  42.00","   1.00","   0.00","   0.00","  67.00","   0.00","   0.00","   0.00","   5.00","   0.00","   0.00","   0.00","   2.00","   4.00","   5.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  31.00","   0.00","   0.00","   0.00","   0.00","   0.00","   4.00","   1.00","   1.00","   2.00","   9.00","   0.00","   0.00","   3.00"," 162.00","   0.00","   0.00","  11.00","  84.00","   5.00","  68.00","   0.00","   0.00","   0.00","   5.00","   0.00","   4.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"3263.51",NA,NA," 130.00","   0.00","  11.00","   0.00","   0.00","   0.00","  11.00","   1.00","   3.00","   0.00"," 170.00","   0.00","  22.00","   1.00","   0.00","   7.00","   3.00","   0.00","   0.00","   1.00","   1.00","   0.00","   1.00","   2.00","   0.00","   0.00","  40.00","   1.00","   0.00","   0.00","  73.00","   0.00","   0.00","   0.00","   6.00","   0.00","   0.00","   0.00","   3.00","   5.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  21.00","   0.00","   0.00","   1.00","   0.00","   0.00","   4.00","   2.00","   1.00","   2.00","  15.00","   0.00","   1.00","   0.00"," 354.00","   1.00","   0.00","   9.00"," 120.00","   8.00","  69.00","   0.00","   1.00","   0.00","   3.00","   1.00","   7.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"3401.57",NA,NA," 140.00","   0.00","  13.00","   0.00","   0.00","   0.00","  11.00","   1.00","   1.00","   0.00","  95.00","   0.00","   5.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00","   0.00","   5.00","   7.00","   0.00","   0.00","  30.00","   0.00","   0.00","   0.00","  92.00","   0.00","   0.00","   0.00","   4.00","   0.00","   1.00","   0.00","   7.00","   7.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   5.00","   0.00","   0.00","   3.00","   0.00","   0.00","   9.00","   0.00","   0.00","   3.00","  19.00","   1.00","   0.00","   2.00"," 590.00","   3.00","   0.00","   2.00"," 115.00","   4.00"," 300.00","   0.00","   1.00","   0.00","  10.00","   0.00","  37.00","   1.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"3592.69",NA,NA," 150.00","   0.00","  12.00","   1.00","   0.00","   0.00","   8.00","   1.00","   0.00","   1.00"," 173.00","   0.00","   4.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   5.00","   3.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","  10.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   1.00","   1.00","   2.00","   1.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   4.00","   4.00","  18.00","   0.00","   0.00","   0.00"," 138.00","   0.00","   0.00","   2.00"," 127.00","   9.00","  20.00","   0.00","   0.00","   0.00","   1.00","   0.00","  49.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00"
"3836.88",NA,NA," 160.00","   0.00","  15.00","   0.00","   0.00","   0.00","   6.00","   0.00","   0.00","   1.00"," 166.00","   0.00","   2.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   1.00","   2.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  12.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   1.00","   1.00","   2.00","  10.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   2.00","   0.00","   0.00","   2.00","   0.00","   1.00","   2.00","  33.00","   0.00","   1.00","   1.00"," 300.00","   4.00","   0.00","   1.00"," 106.00","   4.00","  10.00","   0.00","   0.00","   0.00","   4.00","   0.00","  28.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00"
"4081.07",NA,NA," 170.00","   0.00","  19.00","   2.00","   0.00","   1.00","   7.00","   0.00","   1.00","   2.00"," 190.00","   2.00","   3.00","   0.00","   0.00","   0.00","   5.00","   0.00","   0.00","   4.00","   0.00","   2.00","   1.00","   5.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","  20.00","   0.00","   0.00","   0.00","   2.00","   0.00","   1.00","   1.00","   0.00","   5.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   2.00","   0.00","   0.00","   5.00","   0.00","   0.00","   1.00","   1.00","   2.00","  10.00","  45.00","   0.00","   1.00","   0.00"," 430.00","   0.00","   0.00","   3.00"," 202.00","   3.00","  46.00","   0.00","   0.00","   0.00","  11.00","   0.00","  30.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"4325.26",NA,NA," 180.00","   0.00","  18.00","   0.00","   1.00","   0.00","  13.00","   3.00","   0.00","   2.00"," 157.00","   1.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   6.00","   0.00","   0.00","   4.00","   0.00","   0.00","   0.00","  10.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   6.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   2.00","   0.00","   5.00","  36.00","   0.00","   2.00","   0.00"," 700.00","   0.00","   1.00","   0.00"," 259.00","   5.00","   4.00","   0.00","   0.00","   0.00","   9.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"4569.45",NA,NA," 190.00","   0.00","  13.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   5.00"," 122.00","   0.00","   3.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   4.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","  12.00","   0.00","   0.00","   0.00","   4.00","   0.00","   1.00","   1.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   1.00","  10.00","   1.00","  31.00","   0.00","   0.00","   1.00"," 435.00","   2.00","   0.00","   0.00"," 146.00","   6.00","  13.00","   0.00","   0.00","   0.00","   2.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"4813.64",NA,NA," 200.00","   0.00","   7.00","   1.00","   0.00","   0.00","   2.00","   0.00","   0.00","   2.00","  44.00","   0.00","   1.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   1.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   6.00","   0.00","   0.00","   0.00","   4.00","   0.00","   0.00","   1.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   3.00","   0.00","   0.00","   5.00","  18.00","   1.00","   0.00","   0.00"," 252.00","   0.00","   0.00","   0.00"," 164.00","  10.00","  17.00","   0.00","   0.00","   0.00","   7.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"
