"Sample name [undefined]","Amaranthaceae undif.","Artemisia","Betula","Betulaceae undif.","Carpinus","Combretaceae","Corylus","Ephedra","Fern","Fern-Lycopodiaceae","Indeterminable","Juglans","Petaloid monocot","Pinus undif.","Poaceae","Quercus deciduous","Quercus evergreen"
"Erg_T63","0","0","1","3","2","1","1","0","2","0","6","0","0","0","5","0","0"
"Erg_T64","1","1","0","2","0","0","0","0","2","0","2","9","1","1","6","1","0"
"Ka_46","0","0","0","0","0","0","0","1","67","11","9","0","0","12","17","0","1"
