"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Alismataceae","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Brassicaceae","Cardueae undif.","Caryophyllaceae undif.","Cedrus","Cichorieae","Cistaceae","Cupressaceae","Cyperaceae","Ephedra","Euphorbia t.","Fraxinus","Hedera","Hypericum undif.","Ilex","Lamiaceae undif.","Myriophyllum undif.","Olea t.","Paronychieae","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Potamogeton","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rumex t.","Typha"
" 140"," 359"," -44","1602","   0","   1","   1","   1","   1","   0","   2","   0","   0","  12","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   2","  42","   0","   1","  30","   0","   1","   1"
" 184"," 400","   2","1632","   0","   1","   0","   1","   0","   1","   2","   0","   0","  20","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","  43","   0","   1","  27","   0","   0","   2"
" 233"," 457","  47","1664","   0","   1","   1","   2","   1","   0","   1","   0","   0","  22","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","  39","   0","   0","  29","   0","   1","   1"
" 259"," 491","  70","1680","   0","   0","   0","   0","   2","   0","   2","   0","   0","  23","   0","   0","   1","   1","   0","   0","   1","   0","   0","   0","   0","   2","   0","   0","   1","   0","   1","   0","  22","   1","   1","  45","   0","   1","   2"
" 285"," 527","  94","1696","   0","   1","   0","   2","   2","   0","   1","   0","   0","  22","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   2","  26","   0","   1","  42","   0","   1","   1"
" 351"," 618"," 147","1732","   0","   1","   0","   1","   1","   0","   1","   0","   1","  16","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  25","   0","   1","  51","   0","   0","   2"
" 417"," 750"," 199","1764","   0","   1","   0","   1","   1","   0","   1","   0","   0","   6","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   2","  37","   0","   1","  43","   0","   2","   1"
" 453"," 798"," 228","1780","   0","   1","   1","   1","   2","   1","   1","   0","   0","   7","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","  41","   0","   1","  37","   0","   1","   3"
" 484"," 833"," 254","1793","   0","   1","   0","   2","   0","   0","   2","   0","   0","  10","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   1","  41","   0","   1","  39","   0","   2","   1"
" 589"," 913"," 345","1832","   1","   1","   0","   2","   1","   0","   0","   0","   0","  13","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   1","   2","  35","   0","   3","  40","   1","   1","   1"
" 689","1025"," 439","1864","   0","   1","   1","   1","   1","   0","   1","   0","   0","   5","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","  50","   0","   2","  35","   0","   2","   1"
" 744","1085"," 493","1880","   0","   1","   0","   0","   1","   1","   0","   1","   0","  19","   1","   0","   0","   1","   0","   0","   1","   0","   1","   0","   0","   1","   0","   1","   0","   0","   0","   2","  36","   0","   3","  31","   0","   2","   3"
" 788","1132"," 537","1892","   0","   0","   0","   0","   0","   0","   1","   0","   0","  15","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  43","   0","   4","  32","   0","   1","   0"
" 883","1227"," 631","1916","   0","   1","   0","   1","   1","   0","   1","   0","   0","   7","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   2","  53","   0","   3","  32","   0","   1","   1"
" 951","1295"," 702","1932","   0","   0","   1","   1","   0","   0","   1","   0","   0","   9","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","  66","   0","   1","  18","   0","   1","   1"
"1025","1367"," 777","1948","   0","   1","   0","   1","   0","   0","   1","   0","   0","   9","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","  41","   0","   2","  41","   0","   1","   1"
"1103","1441"," 858","1964","   1","   1","   0","   2","   0","   0","   1","   0","   0","  11","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  29","   0","   6","  46","   0","   0","   2"
"1186","1519"," 946","1980","   0","   1","   0","   2","   1","   0","   2","   0","   0","   8","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   3","  16","   0","   8","  58","   0","   1","   3"
"1240","1570","1004","1990","   0","   1","   0","   1","   1","   0","   2","   0","   0","   8","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","  28","   0","   4","  52","   0","   0","   1"
"1303","1627","1070","2001","   0","   1","   0","   3","   1","   0","   1","   0","   0","   9","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   1","   1","   0","   0","   1","   1","   1","   2","  25","   0","   8","  44","   0","   0","   2"
"1392","1708","1165","2016","   0","   1","   1","   3","   1","   0","   1","   0","   0","  14","   0","   0","   0","   1","   1","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   1","   1","  20","   0","   9","  43","   0","   0","   2"
"1493","1799","1274","2032","   0","   1","   0","   0","   1","   0","   1","   0","   0","  16","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   2","   2","  30","   1","   5","  41","   0","   1","   1"
"1600","1894","1390","2048","   0","   1","   1","   1","   0","   2","   0","   0","   0","  14","   0","   0","   1","   2","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   3","   1","  26","   1","   6","  42","   0","   1","   3"
"1656","1944","1450","2056","   0","   1","   0","   1","   0","   0","   2","   0","   0","  10","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   1","   0","   0","   1","  29","   0","   6","  48","   0","   1","   1"
"1713","1995","1512","2064","   0","   1","   0","   0","   2","   0","   3","   0","   0","  26","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  32","   0","   6","  27","   0","   1","   0"
"1743","2021","1543","2068","   0","   1","   0","   1","   0","   0","   1","   0","   0","  28","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","  32","   1","   3","  31","   0","   0","   0"
