"Depth (cm) [cm]","Allophylus t.","Amaranthaceae undif.","Asteraceae","Bombax","Combretaceae","Cyperaceae","Elaeis","Faboideae Undif.","Filicin̩es","Gardenia","Hymenocardia","Ind̩termin̩s","Onagraceae","Petaloid monocot","Poaceae","Proteaceae","Randia","Rosaceae undif.","Tapinanthus","Utricularia"
" 0"," 0"," 0"," 0"," 0"," 0","60"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","37"," 0"," 0"," 0"," 0"," 0"
"10"," 0"," 0"," 0"," 0"," 1","60"," 1"," 0"," 1"," 0"," 0"," 0"," 0"," 0","38"," 0"," 0"," 0"," 0"," 0"
"20"," 0"," 0"," 0"," 0"," 1","42"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 1","55"," 0"," 0"," 0"," 0"," 0"
"30"," 0"," 0"," 0"," 0"," 0","19"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1","80"," 0"," 0"," 0"," 0"," 0"
"40"," 0"," 0"," 0"," 0"," 0","13"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","87"," 0"," 0"," 0"," 0"," 0"
"50"," 0"," 0"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","95"," 0"," 0"," 1"," 0"," 0"
"60"," 0"," 0"," 0"," 1"," 0"," 6"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","91"," 0"," 0"," 0"," 0"," 0"
"70"," 1"," 1"," 0"," 1"," 0","11"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 0","45"," 0"," 1"," 2"," 0"," 0"
"80"," 2"," 0"," 0"," 0"," 0","12"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0","44"," 0"," 0"," 0"," 0"," 0"
"90"," 3"," 0"," 0"," 0"," 0","11"," 0"," 0"," 0"," 1"," 0"," 0"," 1"," 0","43"," 0"," 1"," 0"," 0"," 0"
"100","  4","  0","  0","  0","  0"," 13","  0","  0","  0","  1","  0","  0","  0","  0"," 38","  0"," 12","  0","  2","  0"
"110","  5","  0","  2","  0","  0","  2","  0","  0","  0","  4","  1","  0","  0","  1"," 32","  0"," 35","  0","  2","  0"
"120","  6","  0","  2","  0","  0","  2","  0","  0","  0","  4","  3","  0","  0","  0"," 29","  3"," 37","  1","  0","  0"
"130","  5","  1","  2","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0"," 26","  0"," 38","  1","  0","  1"
"140","  4","  0","  1","  0","  0","  2","  0","  2","  0","  0","  1","  0","  0","  0"," 34","  1"," 34","  2","  0","  1"
"150","  3","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0"," 38","  0"," 26","  0","  0","  0"
