"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acacia t.","Alnus","Amaranthaceae undif.","Anthoceros t.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Blepharis","Boraginaceae undif.","Brassicaceae","Buxus","Calluna","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Chrozophora","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Cucumis","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Erodium","Euphorbia t.","Fabaceae Undif.","Fern","Fern-Lycopodiaceae","Fontanesia","Fraxinus","Geranium","Heliotropium","Indeterminable","IsoÃ«tes","Lamiaceae undif.","Linum t.","Lycopodium spike","Lythrum","Malva undif.","Mercurialis","Monoletes","Morella","Myriophyllum spicatum/verticillatum t.","Myrtaceae undif.","Olea t.","Persicaria t.","Petaloid monocot","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Riccia","Rumex t.","Ruppia","Salix","Sanguisorba t.","Searsia","Solanaceae undif.","Thalictrum","Thymelaeaceae undif.","Triletes","Typha","Ulmus t.","Unknown (monolete, non-psilate)","Valerianella","Vitis"
"  49",NA,NA,"  1","1.5, 39616.60104","0","1","0","168","1","0","4","0","8","0","0","0","2","0","0","0","0","0","0","0","23","0","0","1","0","1","12","0","0","0","7","1","1","0","0","0","1","1","0","0","22","57","0","0","0","0","0","0","0","0","0","7","37","0","1","19","1","7","1","0","6","1","0","27","49","0","0","9","9","0","1","0","1","0","0","1","1","0","0","0","0"
" 247",NA,NA,"  5","2, 54840.47545","0","0","0","39","1","0","3","2","20","0","0","0","4","0","0","0","0","7","0","0","27","0","0","0","0","0","28","5","0","0","9","0","0","0","1","0","0","0","0","1","26","6","0","0","0","0","0","0","0","0","1","0","7","0","1","17","4","18","0","0","57","4","0","41","162","0","1","2","5","1","2","1","0","0","1","2","3","0","0","0","0"
" 841",NA,NA," 17","2.5, 90448.79725","0","0","1","83","1","1","2","0","24","0","0","0","3","0","0","2","0","0","0","0","69","0","1","0","0","1","15","0","0","0","5","1","0","0","0","0","0","0","1","0","37","135","0","0","0","0","0","0","1","0","0","4","22","0","1","5","0","15","0","0","16","0","1","17","13","0","0","19","0","0","0","0","0","0","1","2","6","0","0","0","1"
" 940",NA,NA," 19","2, 44964.54237","0","0","0","30","0","0","2","0","13","0","0","0","5","1","0","0","0","3","0","0","25","0","0","1","0","0","20","0","0","1","3","0","0","0","0","0","1","0","0","0","16","7","0","0","0","0","0","1","1","0","1","2","9","0","0","14","5","2","0","0","297","1","0","7","17","1","0","3","13","0","0","0","0","0","0","2","4","0","1","0","0"
"1039",NA,NA," 21","2, 94934.14533","0","0","0","145","1","1","6","0","14","1","0","1","2","0","2","1","0","1","0","0","76","0","0","0","0","0","35","0","0","0","0","0","0","0","0","0","0","0","1","0","26","256","1","1","0","0","0","0","0","0","0","0","8","1","0","4","1","10","0","0","31","0","0","11","9","1","0","4","0","0","0","0","1","0","0","1","4","0","0","1","0"
"1633",NA,NA," 33","0.5, 2550.745098","0","0","0","163","0","1","1","0","19","0","0","0","1","0","0","0","0","6","0","0","60","0","0","0","0","0","28","2","0","0","9","0","0","0","0","0","0","0","0","0","16","87","0","0","0","0","0","0","0","0","1","0","2","0","0","12","0","1","0","0","6","0","0","21","4","0","6","1","0","0","0","0","0","0","0","0","1","0","0","0","0"
"2407",NA,NA," 53","2.5, 13335.86854","0","0","0","79","2","1","0","2","20","0","0","0","0","0","0","2","0","6","0","0","77","0","0","0","1","0","19","1","1","0","10","4","0","0","1","0","0","0","0","0","32","54","0","0","0","0","0","0","1","0","0","0","11","0","0","27","5","19","1","0","21","1","0","2","19","1","1","4","2","0","0","0","0","0","0","3","6","0","0","0","0"
"2952",NA,NA," 69","1, 5113.669646","0","0","1","118","1","0","2","0","15","0","1","0","7","0","0","0","0","3","0","0","26","0","0","0","0","0","33","2","0","0","4","0","1","0","0","0","0","0","1","0","9","29","0","0","0","1","0","0","0","0","6","0","5","1","1","4","2","2","1","0","19","0","0","23","24","0","1","8","1","0","0","0","0","0","0","0","2","0","0","0","0"
"3429",NA,NA," 83","2, 8689.547816","0","0","0","25","0","0","2","0","42","1","0","0","3","0","0","0","0","2","0","1","45","0","0","1","0","0","16","0","0","0","5","0","0","0","1","0","0","0","0","0","24","13","1","0","0","0","0","1","0","1","0","3","27","0","1","12","7","15","0","0","40","6","0","21","32","0","0","8","14","0","0","0","0","0","0","3","4","0","0","0","0"
"4403",NA,NA,"113","0.5, 10988.8","0","0","0","66","0","3","3","0","12","0","0","0","3","0","0","1","0","1","0","0","11","1","0","0","0","0","36","1","0","0","5","0","0","0","1","0","4","0","0","0","25","33","0","0","0","0","0","1","0","0","1","1","7","0","0","5","3","13","0","0","72","0","0","44","73","0","0","20","22","0","1","0","0","0","0","2","5","0","0","0","0"
