"Depth (cm) [cm]","Aesculus","Aethusa","Alnus","Amaranthaceae undif.","Anacardiaceae undiff.","Antidesma t.","Apiaceae undif.","Artemisia","Asteraceae","Betula","Brassicaceae","Caryophyllaceae undif.","Castanea","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Echium t.","Entada","Ephedra","Erica t.","Euphorbiaceae undif.","Faboideae Undif.","Fern","Filipendula t.","Fraxinus","Indeterminable","Juglans","Lamiaceae undif.","Morella","Musci","Myrtaceae undif.","Olea t.","Ostrya","Paeonia","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Plantago","Platanus","Plumbaginaceae","Poaceae","Potamogeton","Pterocarya","Quercus undif.","Ranunculaceae undif.","Rhamnaceae undif.","Rosaceae undif.","Rumex t.","Sapindaceae undif.","Sapotaceae undif.","Searsia","Syringa","Taxus","Tilia","Typha","Ulmus t.","Urtica t.","Valerianaceae undif.","Vitis","Zelkova","Zygophyllum t."
" 1"," 4"," 0"," 7","19"," 2"," 0"," 0"," 5"," 1"," 3"," 1"," 0"," 1"," 0"," 8"," 0"," 5"," 0"," 0"," 0"," 6"," 0"," 0"," 6"," 2"," 0"," 9"," 2"," 0"," 1"," 8"," 2"," 0"," 1"," 0"," 0"," 0"," 0"," 6"," 6","11"," 1","33"," 0"," 1"," 5"," 0"," 1"," 1"," 0"," 1"," 0"," 0"," 0"," 1"," 1"," 1"," 1"," 5"," 0"," 0"," 0"," 0"
"  2","  0","  1","  1","148","  0","  3","  0","  0"," 13","  0"," 10"," 10","  0","  1","  2","  1"," 21","  2","  0","  1","  0","  3","  3","  2","  0","  1"," 10","  0","  0","  0","  0","  0","  5","  3","  1","  2","  4","  2"," 12","  5","  3","  0"," 56","  2","  1","  6","  4","  2","  1","  3","  0","  1","  1","  1","  1","  1","  0","  1","  2","  1","  0","  1","  0"
"  3","  0","  0","  2"," 36","  0","  0","  1","  0"," 22","  0","  1","  0","  0","  0","  1","  0"," 14","  0","  1","  8","  0","  1","  1","528","  0","  0","  3","  2","  2","  0","  2","  0","  5","  1","  0","  0","  0","  0","  2","  0","  0","  0"," 48","  3","  0","  1","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  1","  4","  0","  2","  1","  1"
