"Depth (cm)","Acacia t.","Alchornea","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Balanites","Boraginaceae undif.","Borreria t.","Boscia","Brassicaceae","Calligonum","Capparaceae undif.","Caryophyllaceae undif.","Cassia","Celtis","Cichorieae","Cleome","Combretaceae","Commiphora","Cyperaceae","Ephedra","Euphorbia t.","Faboideae Undif.","Fern","Grewioideae","Hypoestes t.","Indeterminable","Indigofera","Lannea","Maerua","Malpighiaceae","Manilkara","Meliaceae undif.","Monoletes","Nyctaginaceae","Olea t.","Petaloid monocot","Phillyrea","Pinus undif.","Poaceae","Quercus deciduous","Rhizophora","Rumex t.","Searsia","Solanum","Tamarix","Tribulus","Triletes","Typha","Uapaca"
" 70","  4","  1","  1","124","  0"," 12"," 28","  1","  1","  0","  1","  0","  1","  0","  0","  3","  2"," 22","  1","  7","  0"," 21"," 21","  0","  2","  9","  1","  1"," 12","  2","  1","  3","  1","  1","  0","  5","  0","  2","  2","  1"," 28","105","  1","  3","  0","  1","  0","  1","  1","  4","  0","  0"
"80"," 2"," 2"," 0","54"," 0"," 6"," 4"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 1"," 0"," 1"," 7"," 0"," 3"," 0","47","10"," 1"," 1"," 4"," 0"," 0"," 8"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 1"," 0"," 0"," 1","13","95"," 0"," 0"," 1"," 0"," 0"," 1"," 0"," 3"," 0"," 0"
" 89.5","  7.0","  0.0","  0.0"," 72.0","  1.0"," 13.0","  6.0","  1.0","  0.0","  1.0","  1.0","  1.0"," 10.0","  1.0","  1.0","  0.0","  0.0","  5.0","  0.0","  2.0","  1.0"," 45.0"," 44.0","  0.0","  5.0","  7.0","  0.0","  0.0","  7.0","  0.0","  0.0","  1.0","  0.0","  0.0","  1.0","  5.0","  0.0","  0.0","  0.0","  0.0"," 25.0","150.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  3.0","  2.0","  2.0","  1.0"
