"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Anagallis t.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Celastraceae undif.","Celtis","Centaurea","Ceratophyllum","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Fumaria","Galium t.","Gentiana t.","Gentianaceae undif.","Geranium","Hedera","Hypericum undif.","Ilex","IsoÃ«tes","Juglans","Lamiaceae undif.","Ligustrum","Linum t.","Lysimachia","Lythrum","Malva undif.","Mercurialis","Morus","Myriophyllum undif.","Nymphaea","Olea t.","Onagraceae","Ostrya","Papaver t.","Parnassia","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Primula","Prunus t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Solanum","Taxus","Thalictrum","Theligonum","Tilia","Typha","Ulmus t.","Urtica t.","Valerianaceae undif.","Viburnum","Viscum","Vitis","Volvocaceae"
"   14",NA,NA," 40","3","0","0","0","27","5","0","1","6","6","0","0","9","0","0","0","0","0","1","12","0","0","4","0","7","0","0","1","0","0","210","0","1","0","2","0","0","78","182","0","0","2","0","0","0","0","0","0","0","0","0","3","0","0","0","2","0","0","0","0","0","0","17","0","2","0","0","0","2","0","4","3","4","0","42","1","0","0","0","0","0","27","2","0","0","0","6","0","0","0","0","0","1","0","1","0","0","10","1","0","0","0","0","0","0"
"   25",NA,NA," 44","0","0","0","0","16","3","0","0","4","6","0","0","0","0","0","1","0","0","1","6","0","0","0","0","3","0","0","0","0","0","58","0","0","0","2","0","0","98","26","0","1","2","0","0","0","0","0","0","0","0","26","0","1","0","0","0","0","0","0","0","0","0","12","0","3","0","0","0","0","0","0","1","2","0","48","3","0","0","0","0","0","17","0","1","0","0","5","0","0","0","0","0","0","0","2","0","0","4","0","0","0","0","0","0","0"
"   33",NA,NA," 48","0","1","0","0","389","2","0","0","2","1","0","0","0","0","0","0","0","0","0","8","0","0","0","0","1","0","0","0","0","0","69","0","0","0","0","0","0","51","100","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","8","0","1","0","0","0","0","0","1","0","1","0","14","2","0","0","0","0","0","11","1","1","0","0","1","0","0","0","0","0","0","0","2","0","0","3","0","0","0","0","0","0","0"
"   43",NA,NA," 52","0","0","0","0","187","2","0","2","2","3","0","0","3","0","0","0","0","0","3","11","0","0","0","0","4","0","0","4","2","0","14","0","0","0","1","0","0","62","119","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","10","0","0","0","2","0","0","7","2","2","0","0","4","0","0","0","0","0","0","0","0","0","0","11","2","0","0","0","0","0","0"
"   53",NA,NA," 56","0","0","0","0","540","6","0","5","7","1","0","0","4","0","0","0","0","0","0","16","0","0","0","0","2","0","0","1","0","0","15","0","0","0","4","0","0","81","173","0","0","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","1","0","4","2","1","0","12","1","0","0","0","0","0","45","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","21","2","0","0","0","0","0","0"
"   64",NA,NA," 60","0","0","0","0","975","2","0","17","2","0","0","0","0","0","0","0","0","1","0","3","0","0","0","0","2","0","0","0","0","0","11","0","0","0","0","0","0","50","119","0","0","5","0","0","0","0","0","0","0","0","39","0","0","0","0","0","0","0","0","0","0","0","5","0","9","0","0","0","1","0","0","2","0","0","10","3","0","0","0","0","0","20","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","1","0","0","0","0","0"
"   76",NA,NA," 64","0","1","0","0","276","1","0","2","1","1","0","0","0","0","0","1","0","0","0","4","0","0","0","0","0","0","1","0","0","0","35","0","0","0","1","0","0","51","56","0","0","1","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","1","0","0","9","0","2","0","0","0","0","0","4","4","2","0","8","1","0","0","0","0","0","19","0","0","0","0","2","0","0","0","0","0","0","0","5","0","0","18","1","0","0","0","0","1","0"
"   87",NA,NA," 68","0","0","0","0","187","0","0","2","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","4","0","0","9","0","0","0","1","0","0","62","45","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0","1","0","0","0","2","1","0","0","0","0","0","7","2","0","0","0","2","0","0","0","0","0","1","0","0","0","0","12","2","0","0","0","0","0","0"
"   97",NA,NA," 72","1","0","0","0","548","1","0","7","0","2","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","30","0","0","0","1","0","0","116","112","0","0","2","0","1","0","0","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","4","0","6","0","0","0","0","0","2","4","2","1","14","1","0","0","0","0","0","11","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","15","0","1","0","0","0","2","0"
"  117",NA,NA," 80","0","0","0","0","408","0","0","2","2","1","0","0","4","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","38","0","0","0","0","0","0","44","123","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","11","0","0","0","15","1","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","9","0","0","0","0","0","0","0"
