"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alnus","Amaranthaceae undif.","Ambrosia t.","Apiaceae undif.","Arbutus","Arceuthobium","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Buxus","Calligonum","Campanulaceae","Cannabaceae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Cotinus coggygria","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Erodium","Euphorbiaceae undif.","Fabaceae Undif.","Fagus","Fallopia","Fern","Filipendula t.","Fraxinus","Genisteae","Gentianaceae undif.","Geranium","Hedera","Heliotropium","Indeterminable","Jasminum","Juglans","Lamiaceae undif.","Ligustrum","Loranthus","Lycopodium spike","Lythrum","Malva undif.","Mercurialis","Myriophyllum spicatum/verticillatum t.","Myrtaceae undif.","Nymphaea","Olea t.","Onagraceae","Ononis t.","Ostrya","Papaver t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Potentilla t.","Primulaceae undif.","Punica granatum","Quercus deciduous","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rhamnaceae undif.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sarcopoterium","Saxifragaceae","Secale","Taxus","Thalictrum","Theligonum","Tilia","Tribulus","Trifolium t.","Typha","Ulmus t.","Unknown (trilete, roughly verrucate)","Unknown (trilete, smoothly verrucate)","Utricularia","Viburnum","Vitis"
"  -2","  94"," -97","  2","13","1","0","1","25","1","1","0","0","2","0","4","1","2","0","0","0","0","0","8","0","0","6","0","0","0","0","0","25","242","0","0","0","0","0","0","1","0","2","0","9","0","0","0","0","0","6","1","0","0","1","0","0","4","0","3","0","5","0","41","0","0","0","0","2","15","0","147","4","4","0","0","300","1","3","0","0","0","0","18","83","2","0","1","0","0","0","2","0","0","0","1","0","0","0","0","0","0","450","0","0","0","0","0","0"
" 150"," 235","  66"," 10"," 8","8","0","2","12","0","0","0","0","9","0","11","0","2","0","0","0","0","0","28","1","0","11","1","0","0","0","0","30","848","0","1","11","0","0","0","0","0","10","2","4","0","0","0","0","0","9","0","0","0","0","0","0","1","0","3","0","0","0","48","0","0","3","1","2","13","0","112","7","2","0","0","129","2","0","0","0","0","0","25","69","0","6","0","0","0","1","1","0","5","0","0","0","0","0","0","0","0","352","1","0","0","0","0","2"
" 321"," 424"," 227"," 19"," 9","6","0","1","14","0","2","0","0","6","0","29","0","1","0","0","0","0","0","70","0","2","51","1","0","0","0","0","20","1150","0","1","6","0","1","2","0","0","3","0","3","0","0","0","1","0","8","0","1","2","0","0","0","11","0","5","0","0","0","31","0","0","5","0","2","29","0","96","19","9","0","0","202","5","1","1","0","0","0","51","33","3","22","1","2","3","0","0","0","15","0","0","0","0","0","0","0","0","200","0","1","0","1","0","4"
" 454"," 585"," 341"," 26","21","2","3","0","17","0","2","0","0","3","0","12","1","1","0","0","0","0","0","73","0","0","27","1","0","0","0","0","24","1124","0","0","12","0","0","0","3","0","8","0","5","0","0","0","0","0","15","0","3","0","0","0","0","0","0","2","0","0","0","22","0","0","3","0","5","19","1","111","16","3","0","0","211","1","0","5","0","0","0","32","43","3","21","0","4","4","0","3","0","2","0","0","0","0","0","0","0","0","233","1","0","0","0","0","3"
" 568"," 783"," 436"," 32","18","6","0","0","15","1","4","0","0","16","2","38","0","4","0","0","0","1","0","99","0","5","28","1","0","0","0","0","12","468","0","3","16","0","0","4","2","0","11","1","3","0","0","1","1","0","13","0","5","1","0","0","0","3","0","1","0","1","1","8","0","0","0","0","1","1","3","119","22","2","0","0","228","10","0","4","0","0","1","63","27","2","6","0","7","5","0","2","0","17","0","0","0","2","0","0","0","0","4316","0","0","0","0","0","3"
" 886","1128"," 663"," 58","12","7","0","1","29","0","0","0","0","3","1","20","0","2","0","0","0","0","0","37","0","0","43","2","0","0","0","0","1","921","0","1","19","0","0","1","2","0","12","0","3","0","0","1","0","0","3","0","2","1","0","0","0","3","0","0","2","0","1","10","0","0","1","0","3","7","0","144","6","2","0","0","187","8","0","0","0","0","0","78","20","1","22","0","1","2","0","0","0","5","0","0","0","0","0","1","0","0","881","0","0","2","0","0","0"
"1044","1299"," 810"," 68"," 8","8","0","3","72","0","0","0","0","12","0","38","3","0","0","0","1","1","0","70","0","0","64","3","0","0","2","0","7","1621","0","2","16","0","0","4","0","0","19","0","9","0","0","0","0","0","3","0","0","10","1","0","0","4","1","2","7","0","3","21","0","0","4","1","1","3","0","80","15","15","0","0","354","4","1","3","0","0","0","72","66","0","16","1","5","4","3","1","0","0","0","1","1","0","0","0","0","0","1363","2","1","3","0","0","1"
"1309","1529","1096"," 82","12","8","0","2","48","2","2","0","1","11","2","30","0","7","3","0","0","1","0","53","0","4","31","1","0","0","3","0","3","580","0","1","16","1","0","4","2","0","9","0","7","0","0","0","0","0","19","0","4","2","0","0","0","0","0","1","3","0","7","34","0","0","3","0","1","14","0","54","16","13","0","0","310","0","0","3","0","0","0","61","66","3","10","1","1","2","2","3","0","6","0","0","0","2","0","0","0","0","1099","0","0","1","0","0","1"
"1498","1721","1257"," 92","16","3","0","3","24","2","3","1","0","6","2","24","2","0","0","1","0","1","0","53","0","2","30","9","0","0","2","0","0","393","0","3","12","0","1","3","1","0","16","0","0","0","0","1","0","0","1","0","2","1","0","0","0","7","0","1","5","0","4","25","0","0","9","0","1","11","1","70","12","7","0","0","275","4","0","1","0","0","0","96","38","0","4","0","0","2","0","0","0","12","0","0","0","0","0","0","0","3","867","2","0","2","0","0","0"
"1593","1836","1334"," 97","13","6","0","0","29","0","2","0","0","6","1","34","0","1","0","0","0","0","0","74","0","1","30","8","0","0","5","0","4","445","0","1","6","0","0","0","0","0","5","0","4","0","0","0","0","0","2","0","2","2","1","0","0","10","0","0","11","0","0","27","0","0","5","0","1","12","0","50","12","13","0","0","397","1","1","2","0","0","0","109","57","2","9","1","2","2","1","0","0","5","0","0","0","0","1","0","0","1","1148","0","0","2","1","0","0"
"1801","2114","1499","108","13","4","1","3","10","0","2","1","0","4","1","17","0","2","0","0","0","0","0","21","0","3","22","5","0","0","4","0","1","285","0","0","13","0","2","1","3","0","7","0","4","0","0","0","0","0","6","0","2","0","0","0","0","0","0","0","1","0","0","33","0","0","9","1","1","4","0","63","9","2","0","0","94","1","0","1","0","0","0","121","19","3","15","1","2","0","0","0","0","2","0","0","0","0","0","0","0","0","255","3","0","2","2","0","1"
"1969","2327","1635","118"," 9","14","2","4","10","0","4","0","0","6","2","13","0","0","0","0","0","0","0","14","0","0","50","2","0","0","1","0","0","404","0","0","6","0","0","2","0","0","9","0","2","0","0","0","0","0","4","0","3","0","1","0","0","2","0","1","2","0","2","34","0","0","9","0","0","13","1","140","1","1","0","0","117","2","0","0","0","0","0","76","10","2","2","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","197","1","0","4","0","0","0"
"2097","2422","1789","130"," 8","27","0","1","2","0","0","0","0","3","3","21","0","5","0","0","0","0","0","8","0","1","66","1","1","0","1","0","0","270","0","2","11","0","0","2","0","0","61","0","15","0","0","0","0","0","45","0","0","0","2","0","0","0","0","1","0","0","19","75","0","0","1","0","5","4","4","170","0","1","0","0","79","0","1","4","0","1","0","24","16","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","101","0","0","6","0","0","0"
