"Depth (cm)","Acanthaceae undif.","Alnus","Amaranthaceae undif.","Anthoceros t.","Antidesma t.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Calligonum","Caryophyllaceae undif.","Cedrus","Celtis","Centaurea","Cichorieae","Cistaceae","Combretaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbiaceae undif.","Fabaceae Undif.","Fern","Geraniaceae undif.","Gymnocarpus","Heliotropium","Juglans","Lamiaceae undif.","Meliaceae undif.","Monoletes","Olea t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Polemonium","Quercus deciduous","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rubiaceae undif.","Rumex t.","Sanguisorba t.","Searsia","Thalictrum","Thymelaeaceae undif.","Tilia","Triletes","Typha","Ulmus t."
"12.75"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 2.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 3.00"," 0.00"," 0.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 2.00"," 0.00"," 0.00"," 0.00","12.00"," 0.00"," 0.00"," 1.00"," 0.00"," 2.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 1.00"," 0.00"," 0.00"
"22.75"," 0.00"," 0.00"," 6.00"," 1.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 2.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00"," 2.00"," 0.00"," 0.00"," 0.00"," 3.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 1.00"," 9.00"," 1.00"," 0.00"," 1.00"," 0.00"," 1.00"," 1.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"
"32.75"," 0.00"," 0.00"," 8.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00","20.00"," 1.00"," 0.00"," 2.00"," 0.00"," 1.00"," 1.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"
"42.75"," 0.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00"," 2.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 4.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"
"49.25"," 0.00"," 0.00","57.00"," 0.00"," 0.00"," 0.00","26.00"," 0.00","15.00"," 0.00","11.00"," 0.00"," 3.00"," 0.00"," 0.00"," 2.00","14.00"," 3.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00","22.00"," 2.00"," 0.00"," 0.00"," 5.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 1.00"," 4.00"," 0.00"," 4.00","99.00"," 4.00"," 0.00","11.00"," 0.00"," 5.00"," 9.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"
" 59.25","  0.00","  0.00"," 28.00","  0.00","  0.00","  0.00"," 38.00","  1.00","  6.00","  1.00"," 10.00","  1.00","  0.00","  0.00","  0.00","  0.00"," 14.00","  2.00","  1.00","  1.00","  0.00","  5.00","  0.00","  8.00","  1.00","  0.00","  0.00","  2.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  1.00","  0.00","  3.00","146.00","  2.00","  3.00"," 15.00","  0.00","  5.00","  3.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
" 69.25","  0.00","  0.00"," 37.00","  0.00","  0.00","  0.00"," 74.00","  0.00"," 10.00","  0.00","  6.00","  0.00","  2.00","  0.00","  0.00","  0.00","  6.00","  2.00","  0.00","  1.00","  1.00","  1.00","  0.00"," 11.00","  2.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","132.00","  0.00","  2.00","  5.00","  0.00","  3.00","  2.00","  0.00","  0.00","  0.00","  4.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
" 79.25","  0.00","  0.00"," 40.00","  0.00","  0.00","  0.00"," 51.00","  0.00","  8.00","  0.00","  1.00","  0.00","  1.00","  1.00","  0.00","  0.00","  8.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 17.00","  2.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  1.00","  0.00","153.00","  0.00","  0.00","  6.00","  0.00","  2.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00"
" 84.75","  0.00","  0.00"," 50.00","  0.00","  0.00","  0.00"," 81.00","  0.00"," 11.00","  0.00","  4.00","  0.00","  2.00","  0.00","  1.00","  0.00","  8.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00"," 11.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","119.00","  0.00","  1.00","  5.00","  1.00","  3.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00"
" 89.25","  0.00","  0.00"," 39.00","  0.00","  0.00","  0.00"," 52.00","  0.00"," 16.00","  0.00","  2.00","  0.00","  3.00","  0.00","  0.00","  0.00","  9.00","  0.00","  0.00","  1.00","  0.00","  1.00","  0.00"," 18.00","  1.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","132.00","  0.00","  0.00"," 12.00","  0.00","  5.00","  4.00","  0.00","  0.00","  0.00","  2.00","  1.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00"
