"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Brassicaceae","Buxus","Carpinus","Caryophyllaceae undif.","Centaurea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Erica t.","Fabaceae Undif.","Fagus","Fraxinus","Juglans","Lamiaceae undif.","Lythrum","Myriophyllum undif.","Nymphaea","Olea t.","Ostrya","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Potamogeton","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rhamnaceae undif.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sarcopoterium","Scrophulariaceae undif.","Sparganium","Thalictrum","Tilia","Typha","Ulmus t.","Urtica t.","Vitis"
" 193"," 684","-268","   5","   1","   0","   0","   8","  14","   2","   7","   5","   0","   0","   0","   4","   1","   0","  14","   0","   6","   4","  57","  18","   0","   4","   2","   1","   0","   2","   0","   2","   2","   3","   0","   1","  41","   0","   1","  16","   0","   0","  10"," 104","   1","   1","   1","   1","   0","   0","   0","   0","   8","   2","   1","   1","   0","   0","   0"
"389","853","-42"," 10","  4","  0","  0","  6","  3","  6","  7","  5","  4","  0","  0","  3","  2","  0","  0","  0","  5","  3"," 46","  7","  0","  4","  0","  0","  0","  0","  0","  4","  2","  0","  0","  0"," 33","  0","  0"," 13","  1","  0"," 10","143","  0","  0","  0","  0","  0","  0","  0","  0"," 10","  1","  1","  3","  4","  0","  0"
" 782","1190"," 407","  20","   0","   0","   0","   2","   6","   1","   9","   3","   0","   0","   0","   0","   0","   0","   4","   0","   2","   5","  46","   4","   0","   5","   0","   0","   0","   0","   1","   5","   0","   0","   0","   1","  20","   0","   2","  12","   2","   0","   7","  80","   1","   1","   0","   0","   0","   0","   1","   0","   8","   0","   0","   0","   1","   0","   0"
"1175","1523"," 847","  30","   0","   0","   0","  25","   1","   1","   4","   0","   1","   2","   0","   5","   0","   0","   0","   0","  36","   0","  18","  16","   0","   5","   4","   0","   0","   0","   0","  35","   0","  22","   0","   0","  30","   1","   0","  15","   0","   0","   8"," 154","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0"
"1568","1861","1284","  40","   0","   0","   0","  12","   0","   0","   7","   1","   0","   3","   0","   2","   0","   1","   0","   0","   8","   1","  18","  16","   0","   3","   2","   0","   0","   0","   0","   2","   7","   8","   0","   1","   7","   0","   2","  46","   2","   1","   5"," 111","   0","   0","   0","   3","   0","   0","   0","   0","  11","   0","   0","   0","   1","   0","   0"
"1764","2033","1499","  45","   0","   0","   0","   2","   5","   1","   8","   2","   0","   3","   0","   0","   0","   2","   2","   0","   1","   1"," 101","  17","   0","   5","   1","   0","   0","   0","   0","   3","   5","   4","   0","   1","   6","   0","   2","  36","   1","   0","   5"," 113","   0","   0","   0","   1","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0"
"1961","2208","1709","  50","   3","   0","   0","   4","   6","   2","   9","   1","   0","   8","   1","   2","   1","   3","   0","   0","   2","   6"," 116","  14","   1","   4","   0","   1","   1","   0","   0","   0","   8","   0","   1","   0","  13","   0","   1","   8","  13","   0","   8"," 109","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0"
"2157","2389","1919","  55","   4","   0","   0","   4","   5","   1","   8","   2","   1","   0","   0","   4","   0","   3","   0","   0","   5","   1","  28","  21","   0","  11","   2","   3","   0","   0","   0","   0","  13","  12","   5","   0","  33","   1","   0","  18","   2","   0","  18"," 190","   0","   0","   0","   1","   1","   0","   2","   0","   3","   0","   0","   0","   0","   0","   1"
"2354","2576","2127","  60","   1","   0","   0","   2","   2","   0","   3","   1","   1","   0","   0","   0","   2","   1","   0","   0","   6","   0"," 164","   7","   0","   3","   2","   0","   0","   0","   0","  22","   0","   3","   0","   0","  47","   0","   2","  14","   0","   0","  11","  86","   0","   0","   0","   0","   0","   0","   0","   0","   6","   1","   0","   0","   0","   0","   0"
"2550","2769","2334","  65","   1","   0","   2","   3","  20","   4","  26","   6","   1","   2","   0","   8","   0","   4","   3","   0","   3","   4","  14","  39","   0","  11","   1","   0","   0","   0","   2","   2","   0","   7","   0","   1","  31","   0","   2","  19","   1","   0","  16"," 159","   0","   1","   1","   1","   0","   0","   1","   0","   2","   0","   0","   1","   0","   0","   0"
"2747","2963","2536","  70","   1","   1","   0","   0","   1","   0","   1","   1","   2","   0","   0","   2","   0","   1","   0","   0","   3","   3","  44","   6","   1","   2","   3","   0","   0","   0","   0","   2","   0","   0","   0","   0","  25","   0","   1","  16","   4","   0","   1","  43","   1","   0","   0","   2","   0","   0","   0","   0","   2","   0","   0","   0","   1","   0","   0"
"2943","3164","2739","  75","   0","   0","   0","  13","  12","   4","  22","   2","   2","   1","   0","   3","   0","   3","   0","   0","   6","   2","   9","  14","   1","  10","   2","   0","   0","   0","   0","   0","   0","  13","   0","   0","  18","   1","   3","  28","   1","   0","  23"," 189","   1","   0","   0","   0","   4","   0","   0","   0","   2","   1","   2","   0","   2","   0","   2"
