"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Brassicaceae","Carpinus","Caryophyllaceae undif.","Cedrus","Centaurea","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Fabaceae Undif.","Fraxinus","Juglans","Lamiaceae undif.","Malva undif.","Olea t.","Petaloid monocot","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Populus","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Solanaceae undif.","Typha","Ulmus t.","Valerianaceae undif."
"2707.191",NA,NA," 546.000","   8.000","   3.000","  21.000","   2.000","   2.000","  18.000","   8.000","   0.000","   7.000","  16.000","   4.000","   0.000","   0.000","   8.000","  19.000","   2.000","   0.000","   0.000","   7.000","   0.000","   0.000","  11.000","   0.000","   2.000","   7.000","  52.000","  13.000","   6.000","  22.000","  22.000","   8.000","   9.000","  11.000","   4.000","   6.000","   2.000","   6.000","   6.000","   0.000"
"2740.894",NA,NA," 549.000","   7.000","   6.000","  30.000","   4.000","  10.000","  15.000","   7.000","   0.000","   6.000","  13.000","   3.000","   0.000","   2.000","   7.000","  19.000","   1.000","   2.000","   0.000","   6.000","   3.000","   0.000","   7.000","   0.000","   4.000","   3.000","  60.000","  17.000","   3.000","  14.000","  17.000","  11.000","  11.000","   9.000","   2.000","   4.000","   0.000","  15.000","   4.000","   1.000"
"2808.298",NA,NA," 555.000","   3.000","   3.000","  63.000","   0.000","  36.000","  25.000","   1.000","   0.000","   7.000","  13.000","   0.000","   4.000","   0.000","  10.000","   4.000","   1.000","  11.000","   1.000","   3.000","   0.000","   0.000","   1.000","   0.000","   5.000","   1.000","  51.000","  11.000","   3.000","  11.000","   5.000","   1.000","   8.000","   2.000","   4.000","   0.000","   0.000","   3.000","   2.000","   0.000"
"2864.468",NA,NA," 560.000","   3.000","   0.000"," 100.000","   1.000","  75.000","  38.000","   1.000","   0.000","   4.000","   5.000","   0.000","   4.000","   0.000","   2.000","   2.000","   6.000","  22.000","   0.000","   0.000","   1.000","   0.000","   2.000","   0.000","   2.000","   7.000","  36.000","   9.000","   1.000","   6.000","   3.000","   1.000","   5.000","   4.000","   2.000","   0.000","   0.000","   4.000","   0.000","   2.000"
"2943.106",NA,NA," 567.000","   9.000","   2.000","  82.000","   0.000","  35.000","  24.000","   4.000","   0.000","   1.000","   8.000","   0.000","   3.000","   0.000","   5.000","   7.000","   2.000","   8.000","   0.000","   3.000","   2.000","   0.000","   0.000","   0.000","   7.000","   4.000","  53.000","  12.000","   0.000","   1.000","  12.000","   6.000","   9.000","   1.000","   7.000","   0.000","   0.000","   6.000","   0.000","   0.000"
"2976.809",NA,NA," 570.000","   1.000","   1.000","  91.000","   0.000","  60.000","  20.000","   1.000","   0.000","   2.000","   6.000","   0.000","   7.000","   0.000","   7.000","   2.000","   5.000","  17.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","  10.000","   2.000","  55.000","  16.000","   0.000","   6.000","  10.000","   7.000","   5.000","   5.000","   2.000","   1.000","   1.000","   0.000","   0.000","   0.000"
"3201.489",NA,NA," 590.000","   1.000","   0.000"," 100.000","   2.000","  88.000","  40.000","   1.000","   0.000","   6.000","   6.000","   0.000","   8.000","   0.000","   4.000","   4.000","   6.000","  22.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   2.000","   1.000","  34.000","  11.000","   1.000","  11.000","   3.000","   0.000","   4.000","   2.000","   4.000","   1.000","   1.000","   3.000","   0.000","   5.000"
"3257.66",NA,NA," 595.00","   2.00","   0.00","  87.00","   0.00","  48.00","  20.00","   2.00","   0.00","   3.00","  11.00","   1.00","   6.00","   0.00","   6.00","  14.00","   0.00","   9.00","   0.00","   1.00","   7.00","   0.00","   0.00","   0.00","   3.00","   2.00","  55.00","  30.00","   2.00","  24.00","  32.00","   3.00","   8.00","  15.00","   2.00","   1.00","   1.00","   8.00","   2.00","   0.00"
"3313.83",NA,NA," 600.00","   5.00","   0.00","  86.00","   2.00","  16.00","  11.00","   2.00","   0.00","   2.00","   2.00","   0.00","   0.00","   0.00","   0.00","  11.00","   1.00","   8.00","   1.00","   3.00","   6.00","   0.00","   0.00","   0.00","   8.00","   4.00","  51.00","  31.00","   0.00","   5.00","  25.00","   4.00","   3.00","   3.00","   7.00","   1.00","   0.00","   0.00","   2.00","   0.00"
"3370",NA,NA," 605","   8","   0","  70","   0","  12","  28","   2","   0","   6","  20","   1","   4","   0","   0","  19","   3","   4","   0","   0","   2","   0","   1","   0","   2","   3","  66","  41","   0","   8","  23","   0","   1","   3","   0","   1","   1","   3","   2","   1"
"3373.953",NA,NA," 610.000","   4.000","   1.000","  84.000","   0.000","   9.000","  20.000","   0.000","   0.000","   2.000","   6.000","   3.000","   0.000","   0.000","   4.000","  13.000","   2.000","   0.000","   1.000","   2.000","   1.000","   0.000","   0.000","   0.000","   8.000","   5.000","  46.000","  42.000","   0.000","  10.000","  12.000","   2.000","   8.000","   6.000","   5.000","   0.000","   2.000","   0.000","   3.000","   0.000"
"3377.907",NA,NA," 615.000","   5.000","   0.000","  64.000","   0.000","   5.000","   9.000","   2.000","   0.000","   3.000","   5.000","   5.000","   1.000","   3.000","   5.000","   6.000","   1.000","   1.000","   0.000","   1.000","   3.000","   0.000","   0.000","   0.000","  12.000","   2.000","  81.000","  44.000","   0.000","  11.000","  14.000","   1.000","  11.000","   3.000","   2.000","   0.000","   1.000","   6.000","   7.000","   0.000"
