"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Brassicaceae","Calluna","Campanulaceae","Cardueae undif.","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Echium t.","Erica t.","Fabaceae Undif.","Fagus","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Fungi","Genisteae","Gentianaceae undif.","Hypericum undif.","Ilex","Lamiaceae undif.","Linum t.","Lotus t.","Lycopodium for charcoal","Lycopodium tablets","Musci","Olea t.","Paronychieae","Persicaria t.","Petaloid monocot","Pinus undif.","Plantago","Poaceae","Poaceae (Cerealia-type)","Pollen concentration","Polygonum t.","Populus","Potentilla t.","Prunus t.","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Resedaceae undiff.","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sanguisorba t.","Scrophulariaceae undif.","Secale","Tilia","Trifolium t.","Ulmus t.","Unknown","Urtica t.","Valerianella","Viburnum","Viscum","charcoal"
"-55",NA,NA,"  1","0.8","0","0","0","1","0","3","0","0","0","0","0","0","8","1","0","2","0","2","7","0","0","1","28","0","3","0","0","0","0","42","0","0","4","1","0","1","0","0","0","1","101","0","0","3","0","1","0","0","0","22","1","165193.12","0","0","1","0","0","6","1","1","0","1","0","0","0","0","0","1","0","0","0","0","2","0","0","0","1","0"
"-28",NA,NA,"  4","0.5","0","1","0","1","2","1","0","1","0","2","0","0","1","1","0","1","0","2","2","0","0","0","38","0","0","0","0","0","0","22","0","1","8","1","0","0","0","0","1","1","109","0","0","4","0","0","0","0","0","16","0","541264.38","0","0","2","0","0","3","0","3","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"  7",NA,NA,"  8","0.5","0","0","0","1","0","2","1","0","0","2","0","0","1","0","0","0","0","1","1","0","1","0","34","0","2","0","0","0","0","52","0","0","8","3","0","0","0","0","0","1","135","0","0","2","0","0","0","0","3","15","0","232741.73","0","0","2","0","0","3","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 42",NA,NA," 12","0.5","0","0","0","0","0","1","0","0","0","1","0","0","1","2","1","0","0","0","1","0","0","1","45","0","2","0","0","0","0","49","0","2","10","1","0","0","0","0","0","1","117","0","0","2","0","0","0","0","1","20","0","234499.72","1","0","0","0","0","4","0","0","0","1","0","1","0","0","0","0","0","0","0","0","2","0","0","1","0","0"
" 76",NA,NA," 16","0.5","0","0","0","0","1","0","1","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","76","0","1","0","0","1","0","66","0","0","6","0","0","0","0","0","0","2","91","0","0","2","0","0","0","0","0","18","0","137002.27","0","0","1","0","0","5","0","2","0","1","0","1","2","1","0","0","1","0","0","0","0","0","0","0","0","0"
"111",NA,NA," 20","0.5","0","0","1","0","1","1","2","0","0","1","0","1","1","1","0","0","0","2","1","0","1","3","53","0","2","0","0","0","0","79","0","1","4","2","0","0","0","0","0","1","132","0","0","3","0","0","0","0","0","23","0","134531.7","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0"
"145",NA,NA," 24","0.8","0","0","1","0","0","0","1","0","4","1","0","0","0","0","0","0","0","1","1","0","3","0","43","0","2","0","0","1","0","97","0","0","2","0","0","0","0","0","0","2","115","0","0","0","0","0","0","0","0","27","1","74753.7","0","1","1","0","0","1","2","0","0","0","0","0","4","0","0","0","1","0","0","0","0","0","2","0","0","0"
"178",NA,NA," 28","0.5","0","0","0","0","0","1","3","0","0","0","0","0","0","1","0","0","0","1","1","1","1","1","17","0","3","0","0","0","0","165","0","1","1","0","0","0","0","1","0","0","198","0","0","1","0","0","0","0","1","11","0","60365.31","0","0","0","0","0","5","2","0","0","1","0","0","0","0","0","1","0","0","0","0","4","0","0","0","0","0"
"210",NA,NA," 32","0.6","0","0","0","0","0","1","5","1","0","1","0","0","0","1","0","0","0","1","0","2","1","1","8","0","1","0","0","0","0","160","0","0","1","1","1","0","0","0","0","0","164","0","0","0","0","0","1","0","0","10","0","65642.53","0","0","0","1","1","6","2","2","0","1","0","0","1","0","0","1","0","0","0","0","3","0","0","0","0","0"
"242",NA,NA," 36","0.7","0","0","0","0","1","0","3","0","3","0","1","0","0","2","0","0","0","1","1","1","3","0","13","0","1","0","0","0","0","112","0","0","0","0","0","0","0","0","0","1","171","0","0","1","0","0","0","0","2","23","0","97235.05","1","0","0","0","0","5","2","2","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","0","0","0"
"273",NA,NA," 40","0.6","0","0","0","0","0","0","0","0","4","0","2","0","0","1","0","0","0","4","2","2","3","2","20","0","3","1","0","1","0","115","1","0","1","0","0","0","0","0","0","0","153","0","0","2","0","0","0","0","4","9","0","106651","0","1","0","0","0","8","1","4","0","0","0","1","1","0","0","0","0","0","0","0","6","0","0","0","0","0"
"303",NA,NA," 44","0.7","0","0","0","0","0","1","2","0","2","0","1","0","0","2","0","0","0","1","2","0","2","4","15","0","1","0","1","0","0","146","0","0","1","0","0","0","0","0","0","0","169","0","0","1","0","0","0","0","2","13","0","59754.69","0","2","0","0","1","5","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"332",NA,NA," 48","1.1","0","0","0","0","0","0","1","0","0","1","0","0","1","1","0","0","0","3","0","0","2","3","26","0","4","0","0","0","0","101","0","0","1","1","0","0","0","0","0","1","140","0","0","2","0","0","0","0","0","14","1","59225.05","0","0","0","0","1","2","0","2","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0"
"360",NA,NA," 52","0.6","0","0","0","1","1","1","0","0","0","2","0","0","0","5","0","0","0","0","0","1","3","3","20","0","4","0","0","1","0","112","0","2","1","1","0","0","0","0","0","3","168","0","0","0","0","0","0","0","1","29","0","125654.42","0","0","0","0","1","2","0","1","0","1","0","0","3","0","0","0","0","0","0","0","1","0","0","0","0","0"
"386",NA,NA," 56","0.6","0","0","0","0","0","2","1","1","0","1","0","0","0","2","0","0","0","2","1","1","2","1","17","1","1","0","0","0","0","59","0","0","0","1","0","0","0","0","0","0","154","0","0","1","0","0","0","0","0","16","0","157972.38","0","1","1","0","0","1","1","1","0","1","0","0","3","0","0","0","1","0","0","0","2","0","0","0","0","0"
"424",NA,NA," 62","0.6","0","0","0","0","2","5","3","0","3","0","1","0","0","1","0","0","1","2","3","2","5","1","27","0","4","0","0","1","0","38","1","0","1","0","0","0","0","0","0","1","112","0","0","0","0","0","0","0","1","26","0","280660.53","0","0","0","0","1","7","0","3","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"435",NA,NA," 64","0.8","0","0","0","1","1","6","3","0","0","0","3","1","0","0","0","0","0","2","0","0","4","1","24","0","2","0","0","1","0","28","0","3","5","0","0","0","0","0","0","1","56","0","0","0","0","0","0","0","1","34","0","264557.41","0","0","0","0","0","5","1","2","0","1","1","1","2","0","0","1","3","0","0","0","2","2","0","0","0","0"
"458",NA,NA," 68","0.7","0","0","0","1","1","3","6","0","1","0","0","0","0","0","0","0","0","0","1","0","9","1","15","0","1","0","0","1","0","20","1","0","6","0","0","0","0","0","0","0","75","0","0","0","0","0","0","0","1","30","0","479929.5","1","0","0","0","2","4","1","8","0","0","1","1","4","1","0","0","0","0","2","0","0","0","0","0","0","0"
"478",NA,NA," 72","0.6","0","0","0","0","0","2","3","0","2","0","0","0","0","1","0","0","0","2","3","0","4","1","19","0","0","0","0","1","0","31","2","2","3","0","0","0","0","0","0","0","86","0","0","0","0","0","0","0","2","21","0","355254.03","0","1","0","0","2","4","2","5","0","0","1","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0"
"497",NA,NA," 76","0.6","0","0","0","1","3","4","4","0","0","0","0","0","0","1","0","0","0","1","2","2","3","1","16","0","1","0","0","0","0","38","0","1","2","0","0","0","0","0","0","0","92","0","0","0","0","0","0","0","1","38","0","427702.25","0","0","0","0","0","7","3","2","0","0","0","3","2","0","0","0","1","0","2","0","0","0","0","0","0","0"
"514",NA,NA," 80","0.8","0","0","1","0","2","2","2","0","5","1","1","0","0","1","0","0","0","2","0","1","3","2","15","0","4","0","0","1","0","20","1","1","0","2","0","0","0","0","0","0","45","0","0","0","0","0","0","0","1","20","0","302564.25","0","0","1","0","0","2","1","6","0","0","0","0","1","0","0","1","0","0","0","0","4","0","0","0","0","0"
"529",NA,NA," 84","0.6","0","1","1","0","0","5","1","0","1","0","0","0","0","0","0","0","0","0","4","3","2","2","17","0","5","0","0","2","0","24","0","1","7","0","0","0","0","0","0","0","84","0","0","0","0","0","0","0","4","23","0","419262.09","0","0","0","0","0","1","2","9","0","1","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0"
