"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Alnus","Amaranthaceae undif.","Anthemideae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Cannabaceae undif.","Cardueae undif.","Cedrus","Cercophora undiff.","Chaetomium undiff.","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Cosentinia","Cupressaceae","Cyperaceae","Erica t.","Fabaceae Undif.","Fern","Fraxinus","Fungi","Fungi (type 55, HdV)","Genisteae","Glomus cf. G. fasciculatum","Hedera","Ilex","Juglans","Lamiaceae undif.","Lonicera","Lycium","Myrtus","Olea t.","Petaloid monocot","Phillyrea","Pinus mediterranea","Pinus pinaster","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Polypodiophyta (trilete)","Quercus deciduous","Quercus evergreen","Rhamnus","Rumex t.","Salix","Selaginella denticulata-type","Thymelaeaceae undif.","Ulmus t.","Urtica t.","Withania"
"4700",NA,NA,"  50","   3","   3","  11","   4","  13","   4","  13","   2","   8","   5","   0","   8","   0","   9","  13","  39","  13","   2","   0","   0","   8","   3","   4","   2","   8","   1","  14","   9","   2","   3","   0","   0","   0","   5","   0","   0","   0","   2","   0","  11","  11","  15","   9","  16","  21","   6","   6","   4","   5","   8","   2","   6","   1","   0","   2","   0","  11","   0"
"4798",NA,NA,"  55","   3","   3","   4","   4","   8","   3","  22","   3","   7","   4","   0","   9","   0","   9","  21","  44","  12","   3","   0","   0","   6","   3","   4","   0","  11","   3","  33","   9","   0","  21","   0","   0","   0","   3","   2","   0","   0","   3","   0","   9","  13","   7","   8","  29","  23","   9","   6","   5","   5","  11","   0","   4","   3","   0","   0","   0","   9","   0"
"4896",NA,NA,"  60","   0","   5","  12","   3","   9","   0","  33","   2","   6","   3","   0","   7","   1","   9","  16","  56","  11","   0","   2","   0","   5","   0","   5","   2","   6","   4","  34","  11","   3","   5","   0","   0","   0","   3","   2","   0","   0","   3","   1","   9","  13","   8","   7","  12","  33","   0","   7","   6","   6","   9","   3","   8","   0","   0","   4","   0","   8","   0"
"4994",NA,NA,"  65","   2","   0","  13","   2","  12","   3","  11","   0","   7","   1","   0","  13","   0","  13","  36"," 117","   8","   4","   2","   0","   5","   4","   6","   3","   5","   4","  46","   5","   1","  17","   2","   0","   0","   3","   0","   0","   2","   6","   0","   9","  13","   8","   8","  20","  32","  13","   8","   0","   5","   7","   1","   5","   4","   0","   3","   3","   7","   0"
"5092",NA,NA,"  70","   4","   7","   9","   0","  14","   5","   3","   1","   6","   0","   0","  21","   0","  21","  23","  98","  13","   1","   4","   0","   5","   3","   5","   1","   7","   0","   8","   6","   3","  26","   3","   4","   0","   4","   4","   0","   0","   7","   3","  13","  12","   9","   7","  13","  34","   5","  11","   8","   6","   7","   2","   7","   3","   0","   2","   0","   9","   0"
"5189",NA,NA,"  75","   5","   8","   8","   1","  21","   6","  14","   3","   5","   4","   0","  13","   2","   4","  13","  65","  10","   2","   5","   0","   6","   5","   4","   4","   8","   6","   9","   8","   0","   6","   0","   0","   0","   5","   5","   1","   0","   4","   3","   5","   9","   8","   9","  17","  21","   6","  15","   7","   4","  12","   2","   4","   0","   0","   0","   3","  13","   0"
"5326",NA,NA,"  82","   2","   0","  13","   2","   6","   7","  25","   3","   0","   5","   0","  12","   0","   6","  14","  77","   6","   3","   6","   0","   7","   2","   5","   2","   9","   7","  13","  13","   2","   7","   4","   1","   0","   3","   0","   2","   1","   3","   0","   2","   8","   7","   8","  14","  13","  13","   6","   6","   7","  13","   0","   5","   2","   0","   5","   0","  14","   0"
"5483",NA,NA,"  90","   2","   4","   7","   3","   7","   3","   9","   4","   4","   3","   0","   7","   1","  13","  25","  43","  12","   0","   2","   0","   4","   2","   6","   0","  10","   2","  36","  24","   2","  11","   0","   1","   0","   4","   0","   0","   0","   7","   2","  13","  11","   9","   7","  17","  24","  21","   7","   8","   8","  14","   0","   3","   1","   0","   3","   0","   5","   0"
"5581",NA,NA,"  95","   1","   4","   3","   6","   9","   2","  12","   5","   5","   2","   0","   8","   0","  27","  15","  56","  10","   3","   0","   0","   3","   1","   7","   1","  13","   2","  57","   5","   1","  14","   0","   2","   0","   5","   3","   0","   3","   8","   1","  14","  21","   4","   8","  19","  13","   8","   5","   9","   6","   6","   1","  14","   0","   0","   2","   2","   6","   0"
"5679",NA,NA," 100","   3","   6","  13","   7","  12","   5","  13","   0","   6","   2","   0","   9","   0","  15","   6","  67","  13","   3","   0","   0","   1","   6","   5","   2","   2","   0","  28","   6","   0","   9","   0","   0","   0","   0","   2","   0","   0","   8","   0","  11","   9","  13","   8","  21","  25","  15","   8","  11","   6","   7","   2","   9","   2","   0","   0","   0","   9","   0"
