"age_Radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Aerva type","Amaranthaceae undif.","Apiaceae undif.","Asteroideae undif.","Azolla nilotica","Caryophyllaceae undif.","Cyperaceae","Erica t.","Indeterminable","Onagraceae","Persicaria t.","Pinus undif.","Poaceae","Podocarpus","Riccia","Typha","Unknown (monolete, psilate)"
"3605",NA,NA," 550","   2","   4","   1","   2","   5","   0"," 154","   0","   2","   2","   0","   1","  21","   0","   0","   1","   0"
"3677",NA,NA," 565","   0","   2","   0","   0","   0","   1"," 100","   0","   0","   0","   0","   0","   3","   0","   0","   0","   1"
"3750",NA,NA," 580","   0","   1","   0","   0","   0","   1","  91","   0","   1","   0","   4","   0","   6","   0","   0","   0","   0"
"3944",NA,NA," 620","   0","   5","   0","   0","   0","   0"," 540","   1","   7","   0","   7","   1","   9","   2","   1","   4","   0"
