"age_NA","ageolder_BP","ageyounger_BP","depth","Alnus","Amaranthaceae undif.","Anthemideae undif.","Artemisia","Asteroideae undif.","Brassicaceae","Calluna","Campanulaceae","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Corylus","Crassulaceae","Cyperaceae","Echium t.","Erica t.","Fern","Galium t.","Genisteae","Halimium/Tuberaria","Hepaticae","Hypericum undif.","Lamiaceae undif.","Lotus t.","Lycopodium spike","Lycopodium tablets","Lythrum","Musci","Olea t.","Paronychieae","Pentaglottis sempervirens","Pinus nigra/sylvestris t.","Pinus pinaster","Plantago","Poaceae","Poaceae (Cerealia-type)","Portulacaceae t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Salix","Saxifraga t.","Secale","Sparganium","Spergularia t.","Spermatophyta indet.","Thymelaeaceae undif.","Vitis","Zea"
NA,NA,NA," 5","0","3","35","0","39","0","7","0","0","12","0","17","0","0","20","0","0","25","11","1","0","4","0","0","0","0","92","0","0","10","7","123","0","26","5","1","195","72","0","18","0","0","2","11","16","2","0","35","0","0","0"
NA,NA,NA,"45","1","0","20","0","32","18","4","0","0","14","0","12","5","0","5","0","2","9","2","1","0","22","0","0","0","0","77","0","0","6","8","103","0","5","2","1","328","37","0","4","0","6","0","5","2","0","0","67","0","0","0"
NA,NA,NA,"65","4","0","5","1","9","12","3","0","0","8","1","0","0","0","4","2","0","15","4","0","0","13","0","2","0","0","56","0","1","8","8","240","0","0","0","1","123","22","0","8","1","20","0","2","0","2","0","48","0","0","0"
NA,NA,NA,"15","0","0","55","0","64","7","7","0","0","8","0","28","0","0","19","0","4","24","17","0","0","20","0","0","0","0","145","0","3","8","14","67","0","23","4","0","326","107","0","4","0","1","1","1","32","0","0","41","0","0","0"
NA,NA,NA,"35","2","1","30","0","35","2","16","2","0","15","0","18","0","1","30","0","3","41","7","2","1","27","0","0","0","0","88","0","7","6","18","170","0","12","2","1","325","66","1","3","1","10","0","10","8","0","0","46","1","2","0"
NA,NA,NA,"55","3","0","16","0","23","2","6","1","2","12","0","26","13","0","11","28","1","48","26","4","2","6","0","6","0","1","91","0","9","2","8","286","2","3","0","2","193","12","0","12","1","43","1","0","2","0","43","25","0","0","0"
NA,NA,NA,"25","3","2","49","1","51","22","0","0","0","22","0","63","29","0","1","15","23","56","33","1","1","8","2","7","1","1","181","0","3","1","20","41","0","4","35","3","366","13","0","4","0","7","0","9","0","0","3","30","0","2","10"
