"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Apium t.","Artemisia","Asteroideae undif.","Berberis t.","Betula","Brachysporium obovatum/B. bloxami/Bactrodesmium betulicola (type 359, HdV)","Brassicaceae","Buxus","Campanulaceae","Caryophyllaceae undif.","Centaurea","Ceratophyllum","Cichorieae","Cistaceae","Closterium idiosporum-type","Collembola","Copepoda (type 179, HdV)","Corylus","Cupressaceae","Cyperaceae","Dictyosporiaceae","Dipsacaceae","Ephedra","Erica t.","Euastrum ansatum (type 984, HdV)","Euastrum bidentatum (type 985, HdV)","Euphorbia t.","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Fraxinus","Fungi","Genisteae","Hydrocotyle","Invertebrata (type 219, HdV)","IsoÃ«tes","Juglans","Lamiaceae undif.","Lotus t.","Lycopodium spike","Lycopodium tablets","Lythrum","Musci","Myriophyllum spicatum/verticillatum t.","Myrtus","Nerium","Nuphar","Olea t.","Onagraceae","Ononis t.","Oribatida","Petaloid monocot","Phillyrea","Pinus","Pinus undif.","Pistacia","Plantago","Pluricellaesporites","Poaceae","Pollen concentration","Polygonum t.","Potamogeton","Prunus t.","Pseudoschizaea","Pteridophyta (monolete)","Puccinia","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rhizopoda","Rosa t.","Rubiaceae undif.","Rumex t.","Salix","Sanguisorba t.","Scrophulariaceae undif.","Solanaceae undif.","Sparganium","Spermatophyta undiff. (aquatics)","Spirogyra (psilate)","TetraÃ«dron cf. T. minimum","Thalictrum","Thymelaeaceae undif.","Trichuris","Typha","Ulmus t.","Unknown (type 119, HdV)","Unknown (type 128, HdV)","Unknown (type 181, HdV)","Unknown (type 222, HdV)","Unknown (type 224, HdV)","Unknown (type 304, HdV)","Unknown (type 988, HdV)","Viola","Vitis","charcoal"
"5853.9",NA,NA,"388","1.9","0","26","0","1","0","0","0","1","0","0","15","0","0","0","0","0","0","0","0","0","9","0","0","4","1","7","1","0","0","0","0","0","0","1","0","0","4","40","0","0","0","0","0","0","0","169","0","0","11","1","0","0","0","0","0","0","0","0","0","71","70","9","0","21","34","19451.62","0","11","0","0","1","0","74","4","1","0","0","0","0","0","0","0","0","0","0","12","3","0","0","0","0","0","0","4","21","12","0","21","4","0","0","0","17789.47"
"5911.9",NA,NA,"392","1.9","0","40","0","3","0","0","0","2","1","0","9","12","0","0","0","0","0","0","1","0","8","0","0","23","2","3","0","0","0","0","0","0","0","2","0","0","14","74","0","2","0","0","0","2","0","127","0","1","0","0","0","0","0","0","0","0","0","0","0","71","69","4","3","4","22","28483.28","0","4","0","0","0","0","67","26","0","0","0","0","0","0","12","0","0","0","0","6","5","0","0","0","0","0","3","9","24","14","0","13","4","0","0","0","6684.21"
"5983.6",NA,NA,"397","1.6","1","25","0","2","0","0","0","1","0","0","5","2","0","0","0","0","0","0","0","0","1","0","8","2","1","8","0","0","0","0","0","0","0","6","0","1","8","107","0","3","0","0","0","0","0","178","0","1","2","3","0","0","0","1","0","0","0","0","0","67","66","0","2","3","49","21666.66","0","2","0","0","1","0","69","9","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","7","0","15","12","12","0","1","3","0","0","0","0"
"6041.3",NA,NA,"401","1.6","0","27","0","0","2","0","0","1","0","0","8","0","0","0","0","0","0","0","1","0","9","0","8","3","1","3","2","0","0","2","0","0","0","2","2","0","3","45","0","0","0","0","0","0","0","154","0","1","0","2","0","0","0","1","0","0","0","0","0","77","76","13","0","17","34","26977.52","0","6","0","0","0","0","77","12","1","0","0","0","0","0","11","0","0","0","0","8","1","0","0","0","0","1","3","18","2","20","0","1","4","0","0","0","0"
"6099.7",NA,NA,"405","1.6","0","20","0","1","0","0","0","2","0","0","6","0","0","0","0","0","0","0","0","0","9","0","3","0","4","9","2","0","0","2","0","0","0","3","4","1","6","37","0","3","0","0","0","0","0","172","0","0","0","2","0","0","0","0","0","0","0","0","0","43","39","2","0","7","18","18229.65","0","9","0","0","0","0","66","23","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","2","0","12","2","31","0","12","1","0","0","0","32250"
"6180.4",NA,NA,"410","1.4","0","17","0","0","5","0","0","1","1","0","4","2","0","0","0","0","0","0","0","0","2","0","6","2","2","38","0","0","0","0","0","0","0","2","7","1","0","147","0","0","0","0","0","0","0","173","0","1","8","0","0","0","0","0","0","0","1","0","0","74","72","2","0","17","57","25477.56","0","1","0","0","1","0","16","24","1","0","3","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","9","8","26","0","21","8","0","0","0","49428.57"
"6303.5",NA,NA,"414","1.4","0","47","0","0","0","0","0","6","0","0","3","1","0","0","0","0","0","0","0","1","3","1","4","0","3","11","3","0","0","3","0","0","0","0","0","0","0","131","0","0","0","0","0","0","0","152","0","1","11","4","0","0","0","0","1","0","1","0","0","79","76","8","0","14","56","26168.46","0","0","0","0","0","0","6","26","1","0","3","0","0","0","0","0","0","0","3","4","0","7","0","0","0","2","0","4","18","8","0","31","2","0","0","0","76000"
"6424.9",NA,NA,"418","1.2","0","17","0","3","0","0","0","2","0","0","2","0","0","0","0","0","0","2","0","0","9","0","0","1","2","9","0","0","0","1","0","0","0","2","0","0","0","64","0","0","0","0","0","1","0","156","0","0","9","2","0","0","0","0","0","0","2","0","1","85","83","1","1","0","31","24253.23","0","6","0","0","0","0","13","10","0","0","0","0","0","0","1","0","0","0","0","8","3","3","0","0","0","0","1","12","21","4","0","1","4","0","0","0","13000"
"6545.3",NA,NA,"422","1.2","0","32","2","1","0","0","0","4","0","0","4","0","0","0","0","0","0","0","1","0","4","0","0","1","2","26","0","0","0","1","0","0","0","1","0","0","3","80","0","0","0","0","0","0","0","144","0","0","8","5","0","0","0","0","0","0","1","0","0","80","78","2","0","8","52","31645.32","1","3","0","0","1","0","2","21","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","23","20","24","0","2","8","0","0","0","12000"
"6666.7",NA,NA,"426","1.6","0","15","2","0","1","0","0","7","0","0","0","1","0","0","0","0","0","1","0","0","0","0","5","0","4","9","0","0","0","0","0","0","0","0","0","0","10","73","0","0","0","0","0","0","0","74","0","0","0","4","0","0","1","0","0","0","0","0","0","73","69","8","2","3","36","36439.59","0","0","0","0","0","0","6","12","0","0","0","0","0","0","1","0","0","0","0","7","0","0","0","0","0","0","0","7","1","9","0","1","4","0","0","0","13875"
