"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Buxus","Campanulaceae","Cannabaceae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Clematis-type","Corylus","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Fabaceae Undif.","Fagus","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Galium t.","Hedera","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Lemnaceae","Loranthus","Lotus t.","Lysimachia","Lythrum","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Nymphaea","Olea t.","Ononis t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Potentilla t.","Pseudopediastrum kawraiskyi","Pterocarya","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Solanum","Sparganium","Taxus","Thalictrum","Tilia","Trapa natans","Trifolium t.","Typha","Ulmus t.","Urtica t.","Vitis"
"1597","1735","1485"," 160","  10","   0","1125","  29","   0","   1","   0","   0","   3","   1","   0","  47","   2","   1","   0","   0","  16","   0","   0","   0","   0","   0","   0","  15","  24","  11","   0","   0","   1","  25","  51","   1","   0","  16","   0","   0","   0","   0","   3","   1","   0","   0","   0","   0","   1","   0","   0","  11","   2","   0","   0","   1","   0"," 123","   0","   5","   0","  57","   4","   1","   8","   0"," 206","   0"," 280","   4","   0","   0","   8","   4","   0","   0","   0","   2","  54","   1","   0","   1","   0","   0","   3","   3","   4","   1"
"1855","1986","1744"," 170","  12","   2","1791","  40","  10","   0","   1","   2","   9","   2","   2","  62","   2","   0","   0","   3","  14","   0","   0","   0","   0","   0","   1","  19","  36","   6","   0","   2","   1","  31","  92","   0","   0","  11","   2","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   7","   4","   0","   0","   1","   1"," 205","   0","  14","   0"," 113","   3","   1","   4","   0"," 678","   0"," 277","   1","   1","   1","  10","   5","   0","   4","   1","   3","  55","   0","   0","   0","   0","   0","   6","   9","   0","   1"
"2113","2238","1999"," 180","  15","   1","1555","  24","   5","   0","   3","   0","   6","   1","   0","  58","   4","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","  20","  41","   5","   0","   1","   1","  30","  83","   1","   0","  17","   3","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0"," 251","   2","   8","   0"," 157","   5","   2","   2","   0"," 642","   1"," 257","   5","   3","   1","   7","   6","   0","   1","   0","   0","  52","   1","   0","   0","   0","   0","   4","   4","   2","   0"
"2370","2492","2251"," 190","  13","   0","1273","  35","   7","   0","   0","   4","   4","   3","   1","  67","   2","   0","   0","   0","   3","   0","   0","   1","   1","   1","   0","  17","  44","   8","   0","   2","   1","  34","  56","   0","   0","   3","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   7","   2","   0","   1","   0","   0"," 219","   2","   7","   0"," 108","   3","   1","   2","   0"," 632","   0"," 215","   9","   2","   0","   9","   3","   1","   0","   4","   0","  34","   0","   0","   0","   0","   0","   2","   3","   0","   0"
"2757","2883","2631"," 205","  12","   0","1083","  34","   5","   0","   0","   3","  14","   1","   7","  84","   6","   1","   0","   4","  21","   1","   1","   1","   2","   0","   0","  15","  41","  22","   0","   1","   0","  38","  11","   0","   0","  10","   2","   0","   3","   0","   0","   1","   0","   0","   1","   0","   0","   0","   1","   2","   2","   1","   0","   2","   0"," 286","   1","  12","   1"," 203","   1","   9","   2","   0"," 988","   0"," 301","   5","   4","   3","  23","  11","   0","   1","   0","   0","  19","   0","   2","   1","   0","   0","   0","   6","   0","   0"
"2886","3016","2758"," 210","  13","   1","1597","  13","   3","   0","   0","   2","   7","   1","   1","  48","   1","   0","   0","   2","   8","   2","   1","   0","   0","   0","   0","  19","  39","  12","   0","   3","   0","  19","   6","   0","   0","   1","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   3","   1"," 199","   1","   3","   0"," 138","   3","   1","   3","   0"," 439","   0"," 157","   2","   1","   0","  12","   3","   0","   0","   0","   0","   2","   0","   1","   0","   0","   0","   0","   4","   0","   0"
"3143","3281","3011"," 220","  15","   0","1452","  19","   4","   0","   1","   1","   2","   1","   1","  53","   5","   0","   0","   0","   5","   0","   0","   0","   1","   0","   0","  11","  21","   9","   1","   0","   0","  21","   6","   0","   0","   4","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   1","   0"," 177","   1","   7","   0","  73","   6","   1","   0","   0"," 570","   0"," 187","   1","   1","   0","   8","   1","   0","   3","   2","   0","   4","   0","   0","   1","   1","   2","   0","   5","   0","   0"
"3401","3550","3264"," 230","  14","   1","1482","  44","   7","   0","   0","   4","  11","   1","   0"," 102","   4","   0","   0","   4","   7","   1","   0","   1","   0","   0","   0","  14","  31","  15","   0","   1","   3","  29","   8","   0","   0","   4","   2","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0"," 283","   1","  10","   0"," 196","   5","   1","   2","   0"," 418","   0"," 382","   4","   1","   1","  10","   9","   0","   2","   2","   0","   1","   1","   0","   3","   0","   0","   2","   9","   1","   4"
"3659","3818","3514"," 240","   6","   0"," 570","  32","   3","   0","   1","  10","  13","   1","   5","  78","   2","   0","   2","   0","   9","   0","   0","   3","   0","   0","   0","  13","  40","  18","   0","   0","   0","  28","  11","   1","   0","  11","   4","   1","   2","   0","   0","   2","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0"," 296","   0","  12","   0"," 166","   4","   8","   2","   0"," 323","   0"," 323","   0","   1","   0","   8","   7","   0","   1","   0","   0","   9","   0","   0","   1","   1","   6","   4","   7","   0","   0"
"3916","4088","3763"," 250","  20","   0"," 260","  16","   4","   0","   0","   1","   3","   1","   0","  50","   1","   0","   0","   0","   3","   1","   0","   0","   1","   0","   0","   8","  23","   5","   0","   0","   0","  11","  18","   0","   0","   5","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0"," 252","   1","   6","   0","  96","   0","   1","   0","   1"," 251","   0"," 174","   0","   0","   1","   1","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   2","   0","   1"
"4174","4359","4011"," 260","  23","   0"," 488","  13","   4","   0","   0","   6","   2","   3","   2","  75","   1","   0","   0","   0","   9","   1","   0","   2","   2","   0","   0","  10","  37","  21","   0","   5","   0","  26","  27","   0","   1","   4","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   1","   0","   2","   0","   0","   0","   2"," 297","   0","   5","   0"," 142","   0","   8","   0","   0"," 571","   0"," 279","   2","   0","   0","  10","   5","   0","   1","   0","   0","   6","   0","   0","   0","   0","   0","   2","   3","   2","   2"
"4406","4604","4233"," 269","  26","   0"," 480","  31","  11","   0","   0","   3","   1","   0","   1","  60","   5","   0","   0","   0","   8","   1","   0","   0","   3","   0","   0","  11","  23","  23","   0","   0","   0","  26"," 142","   0","   0","  11","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   1","   2","   0","   0","   1","   0"," 273","   0","  10","   0"," 115","   3","   4","   0","   1"," 172","   0"," 253","   3","   2","   0","  12","   4","   0","   0","   0","   0","   6","   0","   1","   0","   0","   0","   2","   3","   0","   1"
