"sample_name","depth","Hagenia","Abutilon t.","Acacia t.","Acalypha","Acanthaceae undif.","Acanthus","Aerva type","Alismataceae","Allophylus t.","Amaranthaceae undif.","Ambrosieae","Anthospermum","Apiaceae undif.","Artemisia","Asteroideae undif.","Balanites","Blighia","Brassicaceae","Buddleia","Canthium","Capparaceae undif.","Capparis","Cardiospermum","Caucanthus","Celosia type","Celtis","Cichorieae","Cissampelos","Cissus t.","Clematis-type","Clerodendrum","Combretaceae","Commelina","Commiphora","Cupressaceae","Cyperaceae","Dichrostachys","Digera-type muricata","Diospyros/Euclea t.","Dodonaea","Erica t.","Erythrococca/Micrococca","Eucalyptus","Euphorbia t.","Euphorbiaceae undif.","Faboideae Undif.","Fern","Ficus","Grewioideae","Hypoestes t.","Ilex","Impatiens","Indeterminable","Jatropha/Croton","Justicia t.","Kohautia","Lamiaceae undif.","Lannea","Macaranga","Maerva-type","Malva undif.","Maytenus","Mitragyna/Hallea","Morella","Musci","Nuxia t.","Nyctaginaceae","Olea t.","Phoenix t.","Phyllanthus undif.","Pilea-type bambuseti","Plantago","Poaceae","Podocarpus","Polyscias","Potamogeton","Prunus t.","Psilotrichum t.","Ranunculaceae undif.","Rhamnaceae undif.","Ricinus","Rubia-type","Rubiaceae undif.","Rumex t.","Salix","Salvadora","Sapotaceae undif.","Schefflera","Searsia","Securinega  t.","Sericocomopsis-type","Solanaceae undif.","Solanum","Tapinanthus","Tribulus","Typha","Urtica t.","Vahlia","Vernonieae","Ximenia"
NA,"270","  1","  0","  2","  4","  0","  0","  6","  0","  0","  7","  0","  1","  0","  0","  2","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  2","  2","  0","  0","  1","  0","  2","  0","  0"," 14","162","  0","  0","  4","  9","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 15","  0","  0","  0","  2","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0"," 20","  0","  1","  0","  6","304"," 68","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  1","  0","  1","  0","  4","  1","  0","  0","  1","  0","  0","  3","  7","  0","  0","  0"
NA,"302.5",NA,"  0.0","  0.0","  2.0","  0.0","  0.0","  3.0","  0.0","  0.0","  3.0","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  5.0","  0.0","  1.0","  0.0","  1.0","  0.0","  2.0","  1.0","  2.0"," 13.0","133.0","  0.0","  0.0","  3.0","  8.0","  2.0","  0.0","  0.0","  1.0","  0.0","  1.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 25.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0"," 30.0","  0.0","  0.0","  0.0","  2.0","426.0"," 40.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  6.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  5.0","  8.0","  0.0","  0.0","  0.0"
NA,"320","  2","  0","  1","  0","  0","  0","  3","  0","  0","  8","  0","  1","  0","  2","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  3","  0","  0","  0","  1","  0","  2","  0","  0","  5"," 79","  0","  0","  0"," 12","  3","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0"," 16","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 21","  1","  0","  0","  3","272"," 36","  0","  0","  0","  0","  0","  0","  0","  0","  1","  2","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  5","  3","  0","  0","  0"
NA,"337.5","  3.0","  1.0","  0.0","  1.0","  0.0","  0.0","  2.0","  1.0","  0.0","  9.0","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  5.0"," 66.0","  0.0","  0.0","  1.0","  6.0","  6.0","  0.0","  0.0","  3.0","  0.0","  0.0","  2.0","  0.0","  0.0","  2.0","  0.0","  0.0"," 12.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0"," 19.0","  0.0","  0.0","  0.0","  2.0","276.0"," 54.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  2.0","  1.0","  0.0","  0.0","  0.0"
NA,"355","  1","  0","  1","  1","  0","  0","  2","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  1","  7","  9","  0","  0","  3","  4","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  3"," 91"," 21","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0"
NA,"380","  1","  0","  2","  2","  0","  0","  2","  0","  1","  7","  0","  3","  0"," 10","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  6"," 49","  0","  0","  1","  9","  2","  0","  0","  0","  0","  0","  2","  0","  0","  1","  1","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0"," 21","  1","  0","  0","  2","193"," 35","  0","  0","  0","  0","  0","  0","  0","  1","  0","  2","  0","  1","  0","  0","  0","  1","  0","  0","  2","  1","  1","  1","  3","  0","  0","  0"
NA,"400","  3","  0","  0","  0","  0","  1","  4","  0","  1"," 14","  1","  0","  1","  2","  8","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  9","  0","  0","  0","  1","  0","  3","  0","  0","  8","121","  0","  0","  3","  1"," 10","  0","  0","  1","  1","  0","  6","  1","  0","  2","  0","  0"," 38","  0","  1","  0","  1","  1","  1","  1","  0","  0","  0","  1","  1","  0","  0"," 17","  3","  0","  0","  3","337"," 87","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  2","  0","  1","  0","  1","  0","  0","  3"," 12","  0","  0","  0"
NA,"420","  1","  0","  0","  4","  0","  0","  2","  0","  0","  5","  0","  0","  0","  5","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  2","  0","  1","  0","  1","  7","104","  0","  0","  4","  6","  2","  0","  0","  1","  0","  0","  7","  0","  0","  1","  0","  0"," 15","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  2","  0","  0","  0"," 27","  0","  0","  0","  4","195"," 58","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  3","  4","  0","  0","  0"
NA,"452.5","  1.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0","  0.0","  1.0","  4.0","  0.0","  0.0","  1.0","  4.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  1.0","  1.0"," 53.0","  0.0","  0.0","  1.0","  1.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  2.0","  0.0","  0.0"," 20.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  8.0","  0.0","  1.0","  0.0","  0.0","126.0"," 48.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
NA,"480","  6","  0","  0","  1","  1","  0","  6","  1","  0","  3","  0","  3","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  6","  0","  0","  0","  1","  0","  7","  0","  1","  5"," 70","  0","  0","  4"," 11","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0"," 13","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 11","  0","  0","  0","  1","165"," 89","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  2","  4","  0","  0","  0"
NA,"492.5","  1.0","  0.0","  2.0","  1.0","  0.0","  0.0","  4.0","  0.0","  0.0","  4.0","  0.0","  2.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  1.0"," 10.0","  1.0","  0.0","  0.0","  0.0","  0.0","  6.0","  0.0","  0.0","  8.0"," 86.0","  0.0","  0.0","  1.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  1.0","  0.0","  0.0"," 12.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  8.0","  0.0","  0.0","  0.0","  0.0","163.0"," 39.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  9.0","  2.0","  0.0","  0.0","  0.0"
NA,"500",NA,"  0","  3","  0","  0","  0","  2","  0","  0","  5","  0","  0","  0","  0","  5","  0","  0","  2","  2","  0","  1","  0","  0","  0","  5","  3","  0","  1","  0","  0","  0","  3","  0","  0"," 17","104","  0","  0","  1","  1","  2","  1","  0","  1","  0","  0","  3","  0","  0","  0","  0","  0"," 19","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 10","  0","  1","  1","  0","185"," 70","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  8","  3","  0","  0","  1"
NA,"520","  2","  0","  2","  1","  0","  0","  1","  0","  0","  2","  0","  0","  0","  1","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  3","  0","  0","  7","103","  0","  0","  2","  2","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  4","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  7","  2","  0","  0","  0","161"," 35","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0"
NA,"540",NA,"  0","  2","  2","  0","  0","  1","  0","  1","  7","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  1","  0","  0","  0","  0","  1","  0","  0","  9","148","  0","  1","  1","  1","  1","  0","  0","  0","  0","  0","  5","  3","  0","  0","  1","  0"," 22","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1"," 10","  1","  2","  1","  0","336"," 78","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  3","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0"
