"Depth (cm)","Acacia t.","Acalypha","Aizoaceae t.","Alchornea","Alnus","Amaranthaceae undif.","Ambrosia t.","Apiaceae undif.","Artemisia","Asteroideae undif.","Balanites","Betula","Blepharis","Borreria t.","Boscia","Brassicaceae","Bridelia","Calligonum","Capparis","Cassia","Celtis","Cichorieae","Cleome","Combretaceae","Commiphora","Corylus","Cupressaceae","Cyperaceae","Drypetes","Echium t.","Elaeis","Ephedra","Eugenia","Euphorbia t.","Faboideae Undif.","Fagonia","Fern","Heliotropium","Hygrophila","Indeterminable","Indigofera","Justicia t.","Lannea","Loranthaceae undif.","Macaranga","Maerua","Meliaceae undif.","Mercurialis","Mitracarpus","Moltkia","Nyctaginaceae","Oldenlandia","Phoenix t.","Phyllanthus maderaspatensis","Phyllanthus rotundifolius","Pinus undif.","Plantago","Poaceae","Polygonum t.","Quercus undif.","Rhizophora","Salix","Salvadora","Sapotaceae undif.","Securinega  t.","Spergularia t.","Spores","Sterculia","Syzygium t.","Tetracera alnifolia","Tribulus","Trichodesma","Typha","Uapaca","Urtica t.","Vitis","Xeromphis","Ziziphus/Paliurus","Zygophyllum t."
"  5"," 12","  0","  0","  8","  0"," 93","  0","  0","  1"," 13","  0","  0","  0","  0","  0","  6","  0","  2","  0","  0","  2","  4","  6"," 16","  1","  0","  1","141","  0","  0","  0","  0","  0","  0","  0","  0","  1","  2","  0"," 17","  2","  0","  2","  0","  0","  2","  0","  0","  2","  3","  1","  0","  1","  0","  0","  0","  0","298","  0","  1"," 38","  0","  0","  0","  0","  0","152","  0","  0","  0","  0","  0","  2","  0","  0","  0","  1","  0","  0"
" 30"," 15","  0","  0"," 40","  0","137","  0","  0","  2"," 23","  2","  0","  0","  2","  0","  5","  0","  1","  1","  0","  0","  1","  1"," 37","  0","  1","  0","229","  0","  0","  0","  1","  0","  2"," 11","  2","  6","  1","  2"," 39","  2","  0","  6","  0","  0"," 13","  1","  0"," 13","  2","  0","  0","  3","  1","  0","  1","  2","631","  0","  0","124","  0","  1","  1","  0","  7","302","  2","  2","  0","  0","  0","  9","  3","  1","  1","  0","  1","  0"
" 50","  6","  0","  0","  5","  0"," 22","  0","  0","  0","  3","  0","  0","  0","  0","  1","  4","  1","  0","  0","  2","  4","  2","  0"," 13","  0","  0","  0"," 79","  0","  0","  1","  0","  0","  0","  6","  0","  6","  0","  0"," 13","  0","  1","  1","  0","  0","  1","  0","  1","  4","  0","  0","  0","  0","  2","  0","  0","  0","203","  0","  0"," 53","  0","  0","  0","  0","  1","103","  0","  1","  0","  0","  0","  5","  1","  0","  0","  0","  0","  0"
" 70","  0","  0","  0"," 10","  1"," 20","  0","  0","  0","  2","  0","  0","  0","  1","  0","  2","  0","  0","  2","  0","  3","  0","  0"," 17","  0","  0","  0"," 75","  4","  3","  0","  0","  0","  1","  3","  0","  3","  0","  0"," 29","  0","  0","  3","  0","  0","  0","  0","  0","  3","  0","  0","  2","  1","  0","  0","  0","  0","152","  0","  0"," 72","  0","  0","  2","  1","  0"," 63","  0","  2","  0","  0","  0"," 10","  0","  0","  0","  0","  0","  0"
" 90","  0","  0","  0"," 16","  0","  8","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  1","  0","  0","  8","  0","  0","  0"," 68","  0","  0","  0","  0","  0","  0","  3","  0","  2","  0","  0"," 16","  0","  0","  3","  0","  0","  1","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","145","  0","  0","102","  0","  0","  0","  0","  3"," 71","  2","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0"
"145","  2","  0","  0"," 21","  0"," 29","  0","  1","  0","  3","  0","  0","  0","  1","  0","  2","  0","  0","  0","  0"," 14","  0","  0","  6","  0","  0","  0"," 72","  9","  0","  2","  3","  0","  4","  7","  0","  0","  0","  0"," 36","  0","  0","  1","  0","  0","  0","  0","  0","  0","  2","  0","  2","  0","  0","  1","  1","  1","273","  0","  0","323","  0","  1","  0","  0","  1","126","  0","  1","  0","  0","  1"," 10","  1","  0","  0","  0","  0","  0"
"195","  2","  0","  1","  2","  0"," 82","  1","  0","  6","  5","  0","  0","  0","  0","  1","  7","  0","  2","  0","  0","  7","  0","  2"," 10","  0","  0","  0","215","  0","  0","  0"," 12","  0","  0","  0","  2","  1","  0","  0"," 16","  0","  1","  3","  0","  3","  0","  0","  0","  1","  3","  0","  3","  0","  0","  0","  0","  0","272","  0","  0"," 33","  0","  0","  0","  0","  0"," 62","  0","  2","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0"
"245","  1","  0","  1","  2","  0","259","  0","  0","  2","  4","  0","  0","  1","  0","  0","  9","  0","  2","  0","  0","  1","  1","  0","  5","  0","  0","  2","130","  0","  0","  2"," 12","  0","  3","  2","  2","  2","  0","  0"," 11","  0","  0","  2","  0","  0","  1","  0","  0","  0","  1","  1","  1","  0","  0","  0","  2","  0","290","  0","  0","  4","  0","  0","  0","  0","  5","164","  0","  1","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0"
"295","  5","  0","  4","  0","  0","898","  0","  1","  7","  3","  0","  0","  4","  0","  0"," 23","  0","  1","  0","  0","  2","  4","  0","  3","  0","  0","  1","334","  0","  0","  0","  9","  0","  2","  3","  1","  2","  0","  0"," 22","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","516","  0","  0","  5","  0","  0","  0","  0","  3","317","  0","  1","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0"
"345","  6","  0","  3","  3","  0","925","  0","  1"," 14"," 19","  1","  0","  4","  0","  1"," 31","  0","  1","  0","  0","  0"," 16","  1","  3","  0","  0","  0","632","  0","  0","  1","  8","  0","  1","  3","  2","  0","  0","  0"," 32","  0","  0","  1","  1","  0","  1","  0","  0","  0","  1","  1","  0","  0","  0","  0","  1","  0","632","  0","  0","  5","  1","  0","  0","  0","  8","263","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  1"
