"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alnus","Amaranthaceae undif.","Anagallis t.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Buxus","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Eucalyptus spike","Eucalyptus tablets","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Galium t.","HippophaÃ«","Indeterminable","Lamiaceae undif.","Larix","Menyanthes","Mercurialis","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Ononis t.","Ostrya","Pedicularis","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Poaceae","Populus","Potamogeton","Potentilla t.","Primulaceae undif.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Saxifraga t.","Saxifragaceae","Scrophulariaceae undif.","Tamarix","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Urtica t.","Valeriana t."
"49599.7",NA,NA,"13.05","0.8","44","5","2","19","1","0","1","16","2","1","22","3","0","0","3","9","1","0","0","1","11","0","3","4","2","0","1","4","811","0","0","0","19","1","0","0","2","1","0","17","0","0","0","0","0","0","0","3","0","0","0","0","34","0","2","172","0","0","0","0","54","0","1","0","0","1","1","1","0","0","1","0","2","1","0","2","9","2","0"
"49607.8",NA,NA,"13.45","0.8","152","7","8","44","0","5","5","50","1","6","29","12","2","0","0","12","5","0","0","1","9","0","2","2","8","0","4","2","622","0","0","0","39","0","2","1","5","0","0","22","0","0","2","0","1","0","0","3","0","0","0","0","104","1","7","246","0","2","0","1","129","1","6","1","0","4","1","2","1","1","7","0","1","3","0","2","11","0","0"
"49609.8",NA,NA,"13.55","0.8","143","5","4","26","0","8","4","22","0","3","13","3","0","0","2","1","2","0","0","1","6","1","0","1","5","0","0","0","1557","0","0","0","24","0","1","2","8","6","0","27","0","2","0","0","0","0","0","14","0","1","0","0","85","0","1","134","0","2","0","0","83","1","4","0","0","2","1","0","0","0","0","0","1","0","0","9","4","1","0"
"49611.8",NA,NA,"13.65","0.7","143","5","2","30","0","1","1","47","1","4","24","6","0","0","2","4","2","0","0","1","3","2","3","1","8","1","1","0","499","0","0","0","9","2","0","0","3","8","0","21","1","0","0","0","0","2","0","5","0","1","0","0","63","0","3","158","1","3","0","0","95","1","3","0","1","0","0","1","0","0","3","0","2","0","0","0","8","0","0"
"49615.9",NA,NA,"13.85","0.7","61","7","0","24","0","2","4","38","0","1","10","3","1","0","3","7","10","0","0","1","2","0","2","3","11","0","1","0","700","0","0","0","22","0","7","0","5","3","1","14","2","0","0","0","0","1","0","7","0","0","0","1","44","0","1","113","1","1","0","0","75","1","0","1","0","5","0","0","0","1","1","1","1","1","0","3","2","0","0"
"49619.9",NA,NA,"14.05","0.6","65","2","5","34","0","1","2","41","1","0","17","7","0","0","1","5","6","0","1","0","6","0","4","2","10","0","0","3","814","0","0","0","47","1","22","0","2","9","1","17","0","0","0","1","0","2","1","2","0","1","0","0","53","0","3","149","0","2","1","0","116","0","1","0","0","7","1","0","0","0","2","0","1","1","0","1","5","2","0"
"49621.9",NA,NA,"14.15","0.8","100","6","9","69","0","6","8","91","1","4","42","8","0","0","3","13","2","0","0","1","3","2","7","7","15","0","5","0","564","0","0","1","26","3","0","0","24","18","0","27","0","0","0","0","0","0","0","3","0","3","0","2","121","0","3","290","1","3","0","0","164","5","5","0","0","8","0","1","0","0","2","0","1","2","0","15","12","0","0"
"49623.9",NA,NA,"14.25","0.8","64","3","3","38","0","7","15","98","0","2","37","3","0","1","2","11","1","1","0","1","8","4","5","8","16","0","8","0","568","0","0","0","25","0","12","0","7","2","2","17","0","0","0","2","0","0","0","4","1","0","0","2","109","0","1","198","1","3","0","0","123","0","1","0","2","5","2","0","0","0","1","0","2","3","0","6","13","3","1"
"49626.0",NA,NA,"14.35","0.8","92","4","5","47","0","6","14","69","1","1","44","4","0","0","2","12","2","0","0","0","4","4","2","7","11","0","6","1","579","0","2","0","34","1","0","0","12","5","0","22","0","0","1","1","0","0","0","1","0","1","1","1","110","0","8","217","0","3","0","1","135","3","0","0","1","3","1","0","0","1","1","0","5","2","0","2","4","0","0"
"49628.0",NA,NA,"14.45","1.0","75","2","2","33","0","3","9","40","0","0","21","3","1","0","3","4","0","0","1","0","4","0","2","2","7","0","1","1","497","0","0","0","26","0","11","0","2","7","3","15","0","0","0","0","0","0","0","0","0","2","0","0","37","0","1","90","0","1","0","1","80","2","1","0","0","1","1","0","0","1","1","0","1","0","1","3","5","1","0"
"49630.0",NA,NA,"14.55","1.2","73","11","7","48","0","7","7","69","0","1","36","5","0","0","2","2","3","0","1","2","4","2","5","5","13","1","4","0","1003","0","0","1","32","2","7","1","10","10","0","6","1","0","1","0","0","0","0","1","0","0","0","0","59","0","5","163","0","1","0","0","136","1","0","0","1","6","2","0","0","0","3","0","2","0","0","1","9","0","0"
"49635.2",NA,NA,"15.35","0.8","72","8","0","52","0","6","9","46","0","2","39","6","3","0","2","6","3","0","1","0","8","6","3","11","10","0","4","1","982","0","0","0","22","0","9","2","6","6","0","11","0","0","0","0","0","1","0","7","0","1","0","0","53","0","2","213","0","0","0","0","169","4","3","0","0","2","0","0","0","1","0","0","1","1","1","5","5","0","0"
"49640.7",NA,NA,"15.55","0.8","41","8","4","25","0","4","6","54","0","4","39","7","0","0","6","5","4","0","0","1","4","2","4","5","5","0","0","3","493","0","0","0","28","2","1","1","2","6","1","13","1","0","1","0","0","1","0","5","0","1","0","0","49","0","4","108","0","0","0","0","96","4","0","0","0","1","1","0","0","0","0","0","1","2","0","1","13","0","0"
