"Sample age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Acacia t.","Acalypha","Adansonia digitata","Aerva type","Albizia","Alchornea","Allophylus t.","Alternanthera t.","Amaranthaceae undif.","Ambrosia t.","Anacardiaceae undiff.","Anthoceros t.","Antiaris","Apiaceae undif.","Asteroideae undif.","Balanites","Bosqueia","Brassicaceae","Caesalpinia","Campanulaceae","Capparis","Caryophyllaceae undif.","Cassia","Casuarina","Ceiba","Celastraceae undif.","Celtis","Cichorieae","Combretaceae","Commelina","Commiphora","Cyperaceae","Detarium","Dichrostachys","Dioscorea","Diospyros/Euclea t.","Dodonaea","Elaeis","Erythrococca/Micrococca","Euphorbia t.","Faboideae Undif.","Fagonia","Fern","Ficus","Galium t.","Gomphrena t.","Grewioideae","Hibiscus","Hydrocharitaceae","Hymenocardia","Hyphaene t.","Indeterminable","Ipomoea","Justicia t.","Kohautia","Lamiaceae undif.","Landolphia","Lannea","Lepistemon","Lotus t.","Macaranga","Mitracarpus","Mitragyna/Hallea","Monoletes","Moraceae undif.","Musanga","Myriophyllum alterniflorum t.","Onagraceae","Petaloid monocot","Phaulopsis","Phoenix t.","Phyllanthus undif.","Poaceae","Polygonum t.","Potamogeton","Resedaceae undiff.","Rhamnaceae undif.","Rhizophora","Ricinus","Rubiaceae undif.","Salix","Salvadora","Sapotaceae undif.","Schrebera","Scrophulariaceae undif.","Searsia","Securinega  t.","Sesbania","Solanum","Spergularia t.","Spondias","Sterculia","Syzygium t.","Tamarix","Teclea","Tilia","Treculia","Trema","Triletes","Typha","Uapaca","Urtica t.","Verbena t.","Ximenia","Zanthoxylum","Zygophyllaceae undif."
"5848.931"," 105.000","   0.000","   0.000","   2.000","   1.000","   0.000","   8.000","   0.000","   1.000","   4.000","  16.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   2.000","   1.000","   0.000"," 284.000","   1.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   4.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","  43.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","  19.000","   4.000","   5.000","  34.000","   0.000","   2.000","   0.000","   0.000","   2.000","   0.000","   2.000","   0.000","  74.000","   1.000","   0.000","   0.000","   1.000"," 101.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  59.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000"
"5860.048"," 107.000","   0.000","   0.000","   1.000","   0.000","   0.000","  14.000","   1.000","   0.000","   3.000","  18.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   2.000","   4.000","   0.000","   0.000"," 159.000","   0.000","   0.000","   1.000","   0.000","   0.000","   2.000","   0.000","   1.000","   0.000","   0.000","   2.000","   3.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","  50.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","  11.000","   4.000","   6.000","  85.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","  42.000","   0.000","   0.000","   0.000","   0.000"," 106.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   2.000","   0.000","   2.000","   0.000","   0.000","  41.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000"
"5871.166"," 109.000","   0.000","   0.000","   1.000","   0.000","   0.000","  18.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","  11.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   1.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","  36.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  23.000","   1.000","   7.000","   4.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   5.000","   0.000","  28.000","   1.000","   0.000","   0.000","   0.000"," 362.000","   2.000","   2.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000"
"5882.283"," 111.000","   0.000","   0.000","   0.000","   0.000","   0.000","   9.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","  11.000","   0.000","   1.000","   0.000","   0.000","  12.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   2.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","  28.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","  19.000","   0.000","   5.000","   8.000","   0.000","   0.000","   0.000","   1.000","   2.000","   0.000","   5.000","   0.000","  31.000","   0.000","   0.000","   0.000","   0.000"," 459.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   1.000","   0.000","   3.000","   0.000"
"5937.869"," 121.000","   1.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   0.000","   4.000","   0.000","   0.000","   7.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   5.000","   2.000","   0.000","   3.000","   1.000","   0.000","   0.000","   0.000","   0.000","  37.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","  23.000","   4.000","   2.000","  12.000","   0.000","   0.000","   1.000","   0.000","   1.000","   1.000","   5.000","   1.000","  34.000","   0.000","   0.000","   0.000","   0.000"," 623.000","   0.000","   2.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   2.000","   0.000","   2.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000"
"5993.455"," 131.000","   2.000","   0.000","   0.000","   0.000","   0.000","  22.000","   2.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   2.000","   1.000","   7.000","   0.000","   2.000","   0.000","   0.000","  12.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   4.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  22.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  25.000","   1.000","   4.000","   4.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","  44.000","   1.000","   0.000","   0.000","   0.000"," 845.000","   0.000","   5.000","   0.000","   0.000","   2.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   2.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000"
"6049.042"," 141.000","   0.000","   0.000","   2.000","   0.000","   0.000","  18.000","   1.000","   0.000","   2.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   2.000","   6.000","   0.000","   3.000","   0.000","   0.000","  14.000","   4.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  12.000","   3.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","  45.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  17.000","   4.000","   7.000","   5.000","   0.000","   0.000","   0.000","   0.000","   3.000","   1.000","   2.000","   1.000","  53.000","   0.000","   0.000","   0.000","   0.000"," 944.000","   0.000","   3.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   2.000","   1.000","   2.000","   0.000","   1.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000"
"6093.51"," 149.00","   0.00","   0.00","   0.00","   1.00","   0.00","   7.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   9.00","   4.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  14.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  37.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  10.00","  10.00","   1.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","  34.00","   0.00","   0.00","   0.00","   0.00"," 385.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00"
"6137.979"," 157.000","   2.000","   0.000","   0.000","   0.000","   0.000","   7.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   8.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   1.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","  15.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","  14.000","   1.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   2.000","   0.000","  39.000","   0.000","   0.000","   0.000","   0.000"," 402.000","   0.000","   3.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000"
"6204.683"," 169.000","   0.000","   1.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   3.000","   0.000","   0.000","   0.000","   0.000","  11.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","  11.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","  17.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  30.000","   0.000","   3.000","   3.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   7.000","   0.000","  50.000","   0.000","   0.000","   0.000","   0.000"," 363.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   3.000","   0.000","   2.000","   0.000","   2.000","   1.000","   0.000"
"6260.269"," 179.000","   0.000","   0.000","   1.000","   0.000","   0.000","   3.000","   0.000","   1.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   3.000","   1.000","   3.000","   0.000","   0.000","  10.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   5.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  22.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  33.000","   0.000","   7.000","   3.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   3.000","   0.000","  38.000","   0.000","   0.000","   2.000","   0.000"," 651.000","   0.000","   6.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   2.000","   0.000","   2.000","   0.000","   0.000","   1.000","   0.000","   1.000","   1.000","   0.000","   3.000","   1.000"
"6326.973"," 191.000","   1.000","   0.000","   0.000","   0.000","   0.000","  16.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   5.000","   0.000","   3.000","   0.000","   0.000","  13.000","   1.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  42.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  51.000","   1.000","   8.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   7.000","   0.000","  64.000","   0.000","   0.000","   0.000","   0.000"," 387.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  21.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   4.000","   0.000"
"6371.441"," 199.000","   1.000","   0.000","   0.000","   0.000","   0.000","  17.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   2.000","   0.000","   0.000","  24.000","   5.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  17.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  46.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  45.000","   1.000","   5.000","  13.000","   0.000","   3.000","   0.000","   0.000","   1.000","   0.000","  10.000","   0.000","  67.000","   0.000","   0.000","   0.000","   0.000"," 364.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","  15.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   4.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000"
