"Sample age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Abutilon t.","Acacia t.","Aerva type","Amaranthaceae undif.","Ambrosia t.","Apiaceae undif.","Artemisia","Asteraceae","Balanites","Blepharis","Boscia","Brassicaceae","Capparis","Caylusea","Celtis","Centaurea","Chascanum","Chrozophora","Cichorieae","Cleome","Combretaceae","Commiphora","Convolvulaceae","Cyperaceae","Ephedra","Erica t.","Grewioideae","Hypoestes t.","Indeterminable","Indigofera","Jacquemontia t.","Justicia t.","Maerua","Nyctaginaceae","Oldenlandia","Olea t.","Poaceae","Rumex t.","Salvadora","Scrophulariaceae undif.","Tamarix","Tribulus","Trichodesma","Typha","Vitis"
"7643.184"," 223.500","   0.000","   0.000","  55.000"," 498.000","   6.000","   0.000","   8.000","   0.000","   0.000","  15.000","   0.000","  14.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   7.000","   0.000","   0.000","   0.000"," 413.000","   0.000","   3.000","   0.000","   0.000","  23.000","   0.000","   1.000","   0.000","  12.000","   1.000","   0.000","   0.000"," 440.000","   0.000","   0.000","   0.000","   4.000","   7.000","   0.000","   0.000","   0.000"
"7760.066"," 230.250","   0.000","   1.000","  23.000"," 209.000","   0.000","   2.000","   3.000","   2.000","   0.000","   3.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 171.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   5.000","   5.000","   0.000","   0.000"," 137.000","   0.000","   3.000","   0.000","   2.000","   5.000","   0.000","   0.000","   0.000"
"8015.474"," 245.000","   0.000","   0.000","  76.000"," 800.000","   0.000","   0.000","   1.000","   5.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   1.000"," 646.000","   2.000","   0.000","   1.000","   0.000","  11.000","   0.000","   0.000","   0.000","   6.000","   4.000","   0.000","   0.000"," 486.000","   0.000","   5.000","   0.000","   0.000","   4.000","   0.000","  15.000","   0.000"
"8110.71"," 250.50","   0.00","   0.00","  53.00"," 479.00","   1.00","   0.00","   6.00","   7.00","   0.00","  32.00","   0.00","  11.00","   5.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   4.00","   0.00","   0.00","   0.00"," 321.00","   9.00","   6.00","   0.00","   0.00","   6.00","   0.00","   8.00","   0.00","  20.00","  14.00","   0.00","   0.00"," 438.00","   0.00","  12.00","   0.00","   0.00","   4.00","   0.00","   3.00","   2.00"
"8188.631"," 255.000","   0.000","   1.000","  56.000"," 509.000","   0.000","   0.000","   1.000","   4.000","   0.000","   6.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 195.000","   0.000","   0.000","   0.000","   0.000","  11.000","   0.000","   0.000","   0.000","   8.000","  10.000","   0.000","   0.000"," 382.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","  30.000","   0.000"
"8275.211"," 260.000","   0.000","   1.000","  34.000"," 308.000","   0.000","   0.000","   5.000","   3.000","   0.000","  14.000","   0.000","  10.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   4.000","   0.000"," 561.000","   1.000","   0.000","   0.000","   0.000","  28.000","   0.000","   0.000","   0.000","   8.000","   0.000","   3.000","   0.000"," 919.000","   0.000","   0.000","   0.000","   1.000","   3.000","   0.000","  73.000","   0.000"
"8370.447"," 265.500","   0.000","   0.000","  10.000"," 112.000","   0.000","   0.000","   1.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000"," 181.000","   1.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   5.000","   2.000","   0.000","   0.000"," 423.000","   0.000","   3.000","   0.000","   0.000","   2.000","   0.000","   9.000","   0.000"
"8448.368"," 270.000","   0.000","   1.000","   0.000"," 614.000","   2.000","   0.000","   1.000","   3.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   2.000","   0.000","   6.000","   0.000"," 534.000","   1.000","   0.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   5.000","   2.000","   0.000","   0.000","1664.000","   0.000","   2.000","   0.000","   4.000","   0.000","   0.000","   6.000","   0.000"
"8534.947"," 275.000","   0.000","   0.000","   0.000"," 285.000","   5.000","   0.000","   9.000","   9.000","   0.000","   8.000","   0.000","  15.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   3.000","   4.000","   0.000"," 474.000","   0.000","   0.000","   0.000","   0.000","  12.000","   0.000","   0.000","   0.000","  12.000","   5.000","   0.000","   0.000","2379.000","   0.000","   0.000","   0.000","   1.000","   3.000","   0.000","   6.000","   0.000"
"8621.526"," 280.000","   1.000","   0.000","   0.000","  72.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000"," 429.000","   1.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   2.000","   1.000","   0.000","   0.000"," 948.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   8.000","   0.000"
"8725.421"," 286.000","   0.000","   0.000","   0.000"," 261.000","   0.000","   1.000","   5.000","   2.000","   0.000","   2.000","   0.000","   9.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   8.000","   9.000","   0.000"," 779.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","  24.000","   0.000","   0.000","   0.000"," 716.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","  10.000","   0.000"
