"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Algae","Algae? (type 128A, HdV)","Algae? (type 128B, HdV)","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asplenium fontanum-type","Asteroideae undif.","Betulaceae undif.","Brassicaceae","Cannabaceae undif.","Caprifoliaceae undif.","Cardueae undif.","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Ceratophyllum","Cichorieae","Convolvulaceae","Cornus","Cupressaceae","Cyperaceae","Cystopteris fragilis-type","Dipsacaceae","Echinops","Ephedra","Erica t.","Erodium","Fraxinus","Galium t.","Gelasinospora-type","Indeterminable","Indeterminable (crumpled)","Juglans","Lamiaceae undif.","Lemnaceae","Lycopodium spike","Lythrum","Malva undif.","Myriophyllum undif.","Nymphaea","Olea t.","Onagraceae","Pediastrum clathratum-type","Pediastrum simplex-type","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Poaceae (Cerealia-type, broken)","Poaceae (Cerealia-type, corroded)","Poaceae (Cerealia-type, crumpled)","Polygonum t.","Potamogeton","Protist","Pseudopediastrum boryanum-type","Quercus evergreen","Quercus subgen. Cerris","Quercus undif.","Ranunculaceae undif.","Salix","Sanguisorba t.","Sparganium","Spirogyra (type 132, HdV)","Thelypteris phegopteris-type","Typha","Ulmus t.","Unknown","Unknown (type 130)","Unknown (type 165)","Unknown (type 207)","Unknown (type 610)","Urtica t.","Valerianella","Vitis"
"144.0",NA,NA," 12.5","  0.0","  8.0","  0.0","  0.0","  1.0","  4.0","  3.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  6.0","  2.0","  0.0","  3.0","  0.0","  0.0","  0.0"," 30.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  6.0","  0.0","  0.0","  0.0","183.0","  0.0","  0.0","  0.0","  8.0","  0.0","  0.0","347.0","198.0","509.0","  1.0","  0.0","  0.0"," 21.0","  2.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","177.0","  3.0","  6.0","  1.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0"
"263.04",NA,NA," 20.50","  0.00"," 11.00","  0.00","  0.00","  0.00","  1.00","  3.00","  0.00","  2.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  2.00","  0.00","  2.00","  0.00","  0.00","  0.00"," 11.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  1.00","  0.00","  0.00"," 37.00","  0.00","  0.00","  0.00","  1.00","  2.00","  0.00","124.00"," 37.00","314.00","  1.00","  2.00","  0.00","  7.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 54.00","  7.00","  3.00","  0.00","  1.00","  0.00","  0.00","  2.00","  0.00","  0.00","  1.00","  0.00","  0.00","  1.00","  0.00","  0.00","  6.00","  0.00","  0.00","  0.00"
"382.08",NA,NA," 28.50","  0.00","  6.00","  1.00","  0.00","  0.00","  1.00","  1.00","  0.00","  3.00","  0.00","  1.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  1.00","  2.00","  0.00","  0.00","  0.00"," 11.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  4.00","  0.00","  0.00","  0.00","  0.00","125.00","  0.00","  0.00","  0.00","  1.00","  2.00","  0.00"," 49.00"," 29.00","313.00","  0.00","  2.00","  0.00"," 15.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 26.00"," 12.00","  1.00","  0.00","  1.00","  0.00","  0.00","  2.00","  0.00","  1.00","  1.00","  0.00","  4.00","  1.00","  0.00"," 15.00","  0.00","  1.00","  0.00","  0.00"
"501.12",NA,NA," 36.50","  0.00"," 12.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  4.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  4.00","  1.00","  2.00","  0.00","  0.00","  1.00","  1.00","  7.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00"," 51.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 38.00"," 35.00","306.00","  0.00","  0.00","  0.00","  7.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 34.00","  5.00","  1.00","  0.00","  0.00","  0.00","  1.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00"
"649.92",NA,NA," 46.50","  0.00","220.00","  0.00","  1.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  6.00","  0.00","  6.00","  1.00","  0.00","  0.00","  1.00"," 14.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  1.00","  0.00","  0.00","  9.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","261.00"," 14.00","306.00","  0.00","  0.00","  0.00"," 14.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","196.00","  4.00","  0.00","  3.00","  0.00","  1.00","  0.00","  4.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  1.00","  3.00","  2.00","  0.00","  0.00","  0.00"
"858.24",NA,NA," 60.50","  0.00"," 53.00","  0.00","  0.00","  0.00","  1.00","  1.00","  0.00","  3.00","  0.00","  4.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  1.00","  0.00","  0.00","  0.00","  7.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  4.00","  0.00","  0.00","  0.00","  0.00"," 38.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00"," 58.00"," 10.00","374.00","  1.00","  1.00","  0.00"," 13.00","  2.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 44.00","  5.00","  2.00","  0.00","  1.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00"
"1096.32",NA,NA,"  76.50","   0.00","  11.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   8.00","   1.00","   0.00","   1.00","   0.00","   0.00","   3.00","  15.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   2.00","   1.00","   2.00","   0.00","   0.00"," 132.00","   0.00","   0.00","   1.00","   1.00","   0.00","   0.00","   1.00","   6.00"," 579.00","   0.00","   0.00","   0.00","  22.00","   3.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   7.00","   2.00","   2.00","   1.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   1.00","   0.00","   2.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00"
"1215.36",NA,NA,"  84.50","   0.00","   8.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   4.00","   1.00","   7.00","   0.00","   0.00","   0.00","   2.00","   9.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","  32.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 360.00","   1.00","   0.00","   0.00","   9.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   2.00","   5.00","   1.00","   0.00","   0.00","   1.00","   1.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   4.00","   0.00","   0.00","   0.00","   0.00"
"1351.667",NA,NA,"  92.500","   0.000","  68.000","   0.000","   0.000","   1.000","   3.000","   4.000","   0.000","   4.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   4.000","   3.000","   9.000","   4.000","   0.000","   0.000","   1.000","  43.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   4.000","   1.000","   6.000","   0.000","   0.000"," 252.000","   0.000","   0.000","   0.000","   2.000","   2.000","   0.000","   0.000","   0.000"," 185.000","   1.000","   6.000","   0.000","  79.000","   5.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   7.000","  25.000","   3.000","   1.000","   0.000","   0.000","   4.000","   1.000","   0.000","   0.000","   1.000","   1.000","   2.000","   0.000","   0.000","   3.000","  10.000","   0.000","   0.000","   0.000"
"1425.0",NA,NA,"  96.5","   0.0","  16.0","   0.0","   0.0","   0.0","   2.0","   2.0","   0.0","  13.0","   0.0","   4.0","   1.0","   0.0","   0.0","   1.0","   0.0","   3.0","   3.0","  12.0","   3.0","  34.0","   3.0","   0.0","   0.0","   0.0","  10.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   2.0","   0.0","   3.0","   0.0","   0.0"," 119.0","   0.0","   0.0","   0.0","   1.0","   4.0","   0.0","   0.0","   0.0"," 206.0","   4.0","   4.0","   0.0","  20.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","  17.0","   2.0","   2.0","   0.0","   0.0","   4.0","   2.0","   0.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0","  30.0","   3.0","   0.0","   0.0","   4.0"
