"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Caryophyllaceae undif.","Cedrus","Centaurea","Chamaerops","Cichorieae","Cistaceae","Coriaria","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fraxinus","Fumaria","Geraniaceae undif.","Hypecoum","Juglans","Lamiaceae undif.","Malva undif.","Mercurialis","Monoletes","Myriophyllum undif.","Olea t.","Papaver t.","Persicaria t.","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygala","Potamogeton","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rumex t.","Ruppia","Salix","Sambucus","Sanguisorba t.","Solanaceae undif.","Sparganium","Tamarix","Thymelaeaceae undif.","Tilia","Triletes","Typha","Ulmus t.","Urtica t.","Viburnum","Vitis"
"8633",NA,NA," 190","   0","   0","   1","  35","   5","  22","   0","   6","   2","   0","   2","   0","   0","   0","   0","   0","   5","   2","   0","  10","  20","  12","   2","   0","   2","   1","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  19","   0","   0"," 140","  12","   5","   0","  48","   0","   1","   0","  27"," 114","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   1","   1","   0","   0"
"8748",NA,NA," 200","   0","   0","   0","  59","   4","  26","   0","   5","   1","   0","   0","   0","   0","   0","   0","   0","   3","   3","   0","   5","   8","   8","   1","   1","   3","   2","   0","   4","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  12","   0","   0"," 175","   7","   3","   1","  24","   0","   0","   0","  30"," 115","   0","   0","   0","   0","   3","   0","   0","   0","   0","   1","   0","   1","   0","   3","   0","   0","   2","   0","   2"
"8862",NA,NA," 210","   0","   0","   1","  43","   4","  22","   0","   5","   2","   0","   2","   0","   1","   0","   0","   0","   1","   9","   0","  10","   4","   3","   0","   0","   4","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   1","   0","   1","   0","  14","   0","   0","  91","  21","   5","   0","  34","   0","   0","   0","  45"," 123","   0","   0","   0","   1","   0","   0","   0","   0","   1","   6","   2","   0","   0","   1","   0","   0","   5","   0","   8"
"8976",NA,NA," 220","   0","   0","   5","  27","   2","  20","   0","   4","   0","   0","   1","   0","   0","   0","   1","   0","   2","   2","   0","  11","  12","  10","   0","   0","   8","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   2","   0","   1","   2","   0","  10","   0","   0"," 161","   8","   7","   0","  75","   3","   0","   0","  20"," 105","   0","   0","   0","   0","   0","   0","   0","   0","   1","   9","   0","   2","   0","   2","   0","   0","   0","   0","   2"
"9090",NA,NA," 230","   0","   0","   2","  35","   3","  27","   0","   4","   1","   0","   2","   0","   0","   0","   0","   0","   1","   2","   0","   4","   6","   9","   0","   0","   4","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   1","   0","   5","   1","   0","  79","  14","   5","   0","  61","   1","   0","   0","  27","  85","   0","   0","   0","   1","   0","   0","   0","   0","   0","   5","   0","   2","   0","   0","   0","   0","   3","   0","  10"
"9204",NA,NA," 240","   0","   0","   0","  23","   3","  14","   0","   2","   0","   0","   1","   0","   0","   0","   0","   0","   1","   5","   0","   3","   7","  10","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   3","   0","   0"," 106","   3","   2","   0","  23","   0","   0","   0","  13","  52","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0"
"9318",NA,NA," 250","   0","   0","   0","  31","   6","  19","   0","   2","   0","   0","   1","   0","   0","   0","   0","   0","   1","   4","   0","  10","   6","  14","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   1","   0","   3","   0","   0","  75","   7","   6","   0","  56","   0","   0","   0","  30"," 112","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0"
"9432",NA,NA," 260","   0","   0","   2","  42","   8","  21","   0","   1","   2","   0","   1","   2","   0","   0","   1","   0","   2","   5","   0","   8","  13","  17","   0","   0","   3","   1","   0","   1","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0"," 179","  12","   6","   0","  94","   0","   0","   0","  43"," 155","   0","   1","   0","   2","   0","   0","   0","   0","   1","   1","   2","   0","   0","   2","   0","   1","   7","   0","   4"
"9501",NA,NA," 266","   0","   0","   0","  36","   4","  27","   0","  11","   1","   1","   1","   0","   0","   0","   0","   1","   2","  14","   0","   4","   3","  15","   1","   0","  40","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   1","   0","   0","   0","   5","   0","   0"," 122","   2","   2","   0","  41","   0","   0","   0","  32"," 102","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   2","   1","   0","   1","   0","   3","   1","   0","   2"
"9547",NA,NA," 270","   0","   0","   3","  91","   7","  27","   0","   4","   8","   0","   1","   1","   0","   0","   0","   3","   2","   9","   0","   7","  23","  18","   0","   0","  15","   1","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0"," 146","  19","  10","   1"," 141","   0","   0","   0","  67"," 180","   0","   0","   2","   7","   0","   0","   0","   1","   1","   4","   4","   0","   0","   1","   1","   2","   7","   0","  18"
