"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Caryophyllaceae undif.","Cedrus","Centaurea","Chamaerops","Cichorieae","Cistaceae","Coriaria","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fraxinus","Fumaria","Geraniaceae undif.","Hypecoum","Juglans","Lamiaceae undif.","Malva undif.","Mercurialis","Monoletes","Myriophyllum undif.","Olea t.","Papaver t.","Persicaria t.","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygala","Potamogeton","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rumex t.","Ruppia","Salix","Sambucus","Sanguisorba t.","Solanaceae undif.","Sparganium","Tamarix","Thymelaeaceae undif.","Tilia","Triletes","Typha","Ulmus t.","Urtica t.","Viburnum","Vitis"
"9700",NA,NA," 306","   0","   0","   1","  49","   7","  25","   0","   1","   7","   0","   0","   0","   0","   0","   0","   0","   1","   6","   0","   6","  25","   3","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","  71","  13","   2","   0","  53","   0","   0","   0","  39","  70","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   1","   0","   8"
"9716",NA,NA," 310","   0","   0","   0","  33","   4","  18","   0","   2","   3","   0","   0","   0","   0","   0","   0","   0","   5","   3","   0","   2","  30","   3","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   3","   0","   0","  56","   8","   0","   0","  76","   0","   0","   0","  50","  80","   0","   0","   0","   0","   1","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   3","   0","   1"
"9757",NA,NA," 320","   0","   0","   0","  36","   0","  39","   0","   4","   4","   0","   0","   0","   0","   0","   0","   0","   2","   4","   0","   1","  32","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","  39","   0","   0","   0","  52","   0","   0","   0","  34","  57","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   2","   0","   3"
"9789",NA,NA," 328","   0","   0","   0","  61","   2","  29","   0","   4","   1","   0","   0","   0","   0","   0","   0","   0","   2","   2","   0","   0","  48","   4","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  46","   3","   0","   0","  62","   0","   0","   0","  45","  46","   0","   0","   0","   0","   1","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   1","   0","   1"
"9805",NA,NA," 332","   0","   0","   0","  19","   1","  14","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   1","   2","   0","   1","  29","   2","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  20","   0","   0","   0","  45","   0","   0","   0","  11","  24","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   2","   0","   3"
"9838",NA,NA," 340","   0","   0","   0","  32","   1","  25","   0","   2","   0","   0","   0","   0","   0","   1","   0","   0","   1","   3","   0","   4","  30","   4","   0","   0","   2","   0","   0","   2","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   1","  30","   3","   7","   0","  52","   2","   0","   0","  12","  40","   0","   1","   2","   0","   0","   0","   0","   0","   1","   4","   0","   0","   0","   0","   0","   0","   7","   0","   3"
"9876",NA,NA," 345","   0","   0","   1","  30","   1","  25","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","  26","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","  29","   0","   1","   1","  44","   1","   0","   0","   8","  30","   0","   1","   0","   0","   4","   1","   0","   1","   0","   1","   1","   0","   0","   0","   0","   0","   1","   0","   0"
"10073",NA,NA,"  354","    0","    0","    0","   24","    2","   31","    0","    4","    1","    0","    0","    0","    0","    0","    0","    0","    1","    6","    0","    0","   44","   12","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    1","    0","    0","    0","    0","   35","    2","   19","    0","   45","    0","    0","    0","   10","   69","    0","    0","    0","   11","    0","    0","    0","    1","    0","    2","    0","    0","    0","    3","    0","    0","    0","    0","    1"
"10205",NA,NA,"  360","    0","    0","    0","   18","    3","   10","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    5","    0","    1","   21","   13","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   23","    3","    8","    0","   54","    6","    0","    0","   24","   79","    0","    0","    0","   14","    0","    0","    0","    0","    0","    1","    0","    1","    0","    8","    0","    0","    0","    0","    1"
"10293",NA,NA,"  364","    0","    0","    1","   40","    1","   21","    0","    0","    6","    0","    0","    0","    0","    0","    1","    0","    0","    2","    0","    3","   18","    2","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   52","   12","   25","    0","   66","    0","    0","    0","   37","   69","    0","    0","    0","    0","    0","    0","    0","    1","    0","    2","    1","    0","    0","    0","    0","    0","    2","    0","    1"
"10424",NA,NA,"  370","    0","    0","    0","   30","    0","   17","    0","    5","    3","    0","    0","    0","    0","    0","    0","    0","    1","   11","    0","    0","   12","    8","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","   39","    1","    3","    0","   38","    0","    0","    0","   29","   50","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"10490",NA,NA,"  373","    0","    0","    0","   53","    1","   61","    0","    2","    4","    0","    0","    0","    0","    0","    0","    0","    2","    1","    0","    1","   49","    4","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","    0","    1","    0","    0","   30","    5","    0","    0","   51","    0","    0","    0","   39","   51","    0","    0","    0","    2","    0","    0","    0","    2","    0","    0","    0","    0","    0","    1","    0","    0","    2","    0","    0"
"10556",NA,NA,"  376","    0","    0","    0","   54","    1","   43","    0","    1","    3","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","   50","    8","    0","    0","    9","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","   37","    5","    1","    0","   50","    0","    0","    0","   39","   41","    0","    0","    0","    2","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0"
"10644",NA,NA,"  380","    0","    0","    0","   10","    1","   25","    0","    0","    1","    0","    1","    0","    0","    0","    0","    0","    0","    2","    0","    1","   29","    2","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   43","    4","    0","    0","   66","    0","    0","    0","   25","   37","    0","    0","    0","    1","    0","    0","    0","    0","    2","    0","    3","    0","    0","    0","    0","    0","    0","    0","    1"
"10754",NA,NA,"  385","    0","    0","    0","   50","    1","   73","    0","    3","    1","    0","    0","    0","    0","    0","    0","    0","    3","    1","    0","    1","   78","    6","    0","    0","    9","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","   43","    1","    2","    0","   74","    3","    0","    0","   15","   21","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0"
"10863",NA,NA,"  390","    0","    0","    1","   39","    1","   26","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   47","    5","    0","    0","    7","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   53","    2","    0","    0","   77","    0","    0","    0","   18","   31","    0","    0","    0","    1","    2","    0","    0","    0","    1","    3","    0","    0","    0","    0","    0","    0","    1","    0","    0"
"10973",NA,NA,"  395","    0","    0","    1","   49","    1","   56","    0","    5","    2","    0","    0","    0","    0","    0","    0","    0","    2","    2","    0","    2","   84","   11","    0","    0","    4","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","   22","    1","    2","    0","   91","    6","    0","    0","   13","   32","    0","    0","    1","    0","    0","    0","    0","    2","    0","    0","    2","    1","    1","    0","    0","    0","    0","    0","    0"
"11083",NA,NA,"  400","    0","    0","    0","   30","    2","   46","    0","    4","    4","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","   79","    4","    0","    0","   10","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   26","    3","    1","    0","   84","    0","    0","    0","   34","   57","    0","    0","    0","    1","    0","    0","    0","    3","    1","    1","    0","    0","    0","    0","    0","    0","    2","    0","    2"
"11193",NA,NA,"  405","    0","    0","    0","   66","    1","   52","    0","   20","    5","    0","    0","    0","    1","    0","    0","    0","    1","    3","    0","    2","   61","    9","    0","    0","    8","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","   40","    2","    3","    0","   79","    2","    0","    0","   11","   40","    1","    0","    0","    1","    0","    1","    0","    0","    0","    0","    3","    0","    0","    1","    0","    0","    0","    0","    0"
"11302",NA,NA,"  410","    0","    0","    1","   31","    1","   47","    0","    3","    4","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","   40","    4","    0","    0","    5","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","   36","    0","    0","    0","   54","    0","    0","    0","   24","   52","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0"
"11522",NA,NA,"  420","    0","    0","    0","   20","    0","   19","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    1","   35","    5","    0","    0","    7","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","   30","    2","    1","    0","   62","    0","    0","    0","   18","   14","    0","    0","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    2","    0","    1"
"11632",NA,NA,"  425","    0","    0","    0","   61","    0","   97","    0","    7","    3","    0","    0","    0","    0","    0","    1","    0","    0","    1","    0","    1","   90","    7","    0","    0","    8","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   60","    0","    0","    0","   78","    2","    0","    1","   20","   28","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0"
"11741",NA,NA,"  430","    0","    0","    0","   63","    1","  104","    0","   12","    1","    0","    0","    0","    0","    0","    0","    0","    4","    7","    0","    0","   35","    1","    0","    0","   14","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   53","    4","    1","    0","   52","    0","    0","    0","   14","   37","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    1"
"11841",NA,NA,"  435","    0","    4","    0","  114","    3","   97","    0","   17","    0","    0","    0","    0","    0","    0","    1","    1","    1","    5","    0","    0","   28","   10","    0","    0","   13","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   68","    0","    0","    8","   33","    0","    0","    0","    3","   46","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    1","    1","    0","    0","    0","    0","    0","    0","    0"
"11940",NA,NA,"  440","    0","    0","    0","  110","    0","   99","    0","    8","    4","    0","    0","    0","    0","    0","    0","    0","    4","    4","    0","    0","   54","    4","    0","    0","   10","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    2","    0","    1","    0","    0","   90","    1","    0","    1","   40","    0","    0","    0","   10","   40","    0","    1","    0","    1","    1","    0","    0","    0","    0","    3","    4","    0","    0","    0","    0","    0","    3","    0","    3"
"12039",NA,NA,"  445","    0","    1","    0","   68","    0","   87","    0","    7","    0","    0","    0","    0","    0","    0","    0","    0","    2","    2","    0","    0","   18","    2","    0","    1","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","   73","    0","    0","    2","   23","    0","    0","    0","    1","   21","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    1","    0","    0","    0","    0","    0","    0","    0"
"12138",NA,NA,"  450","    0","    0","    0","   42","    0","   50","    0","    8","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   40","    0","    0","    0","   10","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   59","    1","    2","    3","   52","    0","    0","    0","   10","   29","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    1","    0","    3"
"12238",NA,NA,"  455","    1","    1","    1","  278","    3","  229","    0","   19","    3","    0","    0","    0","    0","    0","    0","    1","    1","   10","    0","    0","   53","   13","    0","    0","   25","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","  168","    0","    0","    4","   80","    0","    0","    0","   10","   52","    0","    0","    0","    0","    2","    0","    0","    0","    0","    1","    2","   14","    0","    0","    0","    0","    0","    0","    0"
"12337",NA,NA,"  460","    0","    0","    0","  260","    1","  218","    0","   15","    1","    0","    0","    0","    0","    0","    0","    1","    0","    6","    0","    0","   39","    8","    0","    0","   14","    0","    0","    2","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    2","    1","    0","  111","    1","    0","    1","   62","    0","    0","    0","   15","   51","    0","    0","    1","    2","    2","    0","    0","    1","    0","    2","    3","    0","    0","    0","    0","    0","    0","    0","    0"
"12436",NA,NA,"  465","    0","    0","    0","  240","    0","  200","    0","   15","    1","    0","    0","    0","    0","    0","    0","    2","    0","    9","    0","    0","   51","   12","    0","    0","   20","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","  119","    0","    1","    0","   68","    0","    0","    0","   17","   71","    1","    0","    0","    0","    1","    0","    0","    1","    0","    4","    1","    2","    0","    0","    0","    0","    0","    0","    0"
"12535",NA,NA,"  470","    0","    0","    0","  198","    4","  169","    0","   17","    7","    0","    0","    0","    0","    0","    0","    4","    0","    7","    0","    0","   43","    9","    0","    0","   21","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    3","    0","  146","    2","    1","    1","   79","    0","    0","    0","   14","   52","    0","    0","    0","    5","    3","    0","    0","    1","    0","    0","    1","    0","    0","    0","    0","    0","    2","    0","    1"
"12575",NA,NA,"  472","    0","    0","    0","  367","    1","  127","    1","   13","    0","    0","    0","    0","    1","    0","    0","    0","    0","    6","    0","    0","   14","    7","    0","    0","   10","    2","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  158","    0","    0","    0","   51","    0","    0","    0","    6","   53","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    2","    0","    0","    0","    0","    0"
"12635",NA,NA,"  475","    0","    0","    0","  350","    2","  125","    0","    8","    1","    0","    0","    0","    0","    0","    2","    0","    1","    9","    0","    0","   14","   16","    0","    0","   15","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    6","    0","    0","  148","    0","    0","    2","   54","    0","    0","    0","   11","   70","    1","    0","    0","    0","    2","    0","    0","    0","    0","    1","    1","    1","    0","    0","    0","    0","    0","    0","    0"
"12674",NA,NA,"  477","    0","    1","    0","  139","    0","   45","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","   14","    4","    2","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   50","    0","    0","    1","   20","    3","    0","    0","    0","   18","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0"
"12734",NA,NA,"  480","    0","    0","    0","  251","    2","  138","    0","   11","    5","    0","    1","    0","    0","    0","    0","    0","    3","    3","    0","    0","   51","    5","    1","    0","   17","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    1","    0","   86","    0","    0","    0","   41","    0","    0","    0","    5","   28","    0","    0","    0","    2","    2","    0","    0","    0","    0","    0","    4","    1","    0","    0","    0","    0","    0","    0","    0"
"12833",NA,NA,"  485","    0","    0","    0","  185","    0","  154","    0","    9","    0","    0","    2","    0","    0","    0","    1","    0","    0","    9","    0","    0","   21","    8","    1","    0","   18","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","  108","    0","    2","    0","   33","    0","    0","    0","    0","   45","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    1","    1","    0","    0","    0","    0","    0","    0","    0"
"12933",NA,NA,"  490","    0","    0","    0","  512","    2","  151","    0","   21","    0","    0","    1","    0","    1","    0","    2","    0","    0","   10","    0","    0","   21","    9","    0","    0","   14","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    1","  151","    0","    0","    0","   32","    0","    0","    0","    2","   33","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    2","    1","    0","    0","    0","    0","    0","    0","    2"
"13032",NA,NA,"  495","    1","    1","    0","  197","    0","   85","    0","    9","    0","    0","    0","    0","    0","    0","    0","    0","    2","    4","    0","    0","   21","    9","    1","    0","    6","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","  104","    0","    1","    4","   29","    2","    0","    0","    2","   20","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    3","    0","    0","    0","    0","    0","    0","    0"
"13131",NA,NA,"  500","    0","    0","    1","  157","    0","  356","    0","   29","    0","    0","    4","    0","    0","    0","    0","    0","    2","   28","    0","    0","   38","   27","    0","    0","   47","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","   13","    0","    1","  182","    0","    1","    0","   47","    0","    0","    0","    4","   81","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    5","    0","    0","    0","    0","    0","    0","    3"
"13230",NA,NA,"  505","    0","    1","    0","  158","    1","  127","    0","    5","    1","    0","    0","    0","    0","    0","    0","    0","    1","    4","    0","    0","   20","    6","    0","    0","   15","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   51","    0","    0","    0","   19","    1","    0","    1","    3","   24","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"13330",NA,NA,"  510","    0","    0","    0","  230","    1","  161","    0","    4","    1","    0","    0","    1","    0","    1","    0","    0","    2","    7","    0","    0","   23","   11","    0","    0","   19","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","   95","    0","    1","    1","   32","    0","    0","    0","    2","   24","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1"
"13429",NA,NA,"  515","    0","    0","    0","  605","    1","  446","    0","   32","    4","    0","    2","    0","    1","    0","    0","    0","    1","    9","    0","    1","  104","    8","    1","    0","   47","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    9","    0","    0","  170","    0","    1","    1","   48","    0","    0","    0","    9","  102","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    7","    0","    0","    0","    0","    0","    0","    0","    0"
"13528",NA,NA,"  520","    0","    0","    0","  154","    0","  131","    0","    6","    1","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","   17","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    1","    0","   52","    0","    0","    0","   15","    0","    0","    0","    6","   28","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    2","    0","    0","    0","    0","    0","    0","    0"
"13627",NA,NA,"  525","    0","    0","    0","  195","    0","  160","    0","    7","    1","    0","    0","    0","    0","    0","    0","    0","    0","   17","    0","    1","   15","    6","    0","    0","   40","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","  188","    0","    0","    2","   35","    0","    0","    0","    0","   41","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0"
"13727",NA,NA,"  530","    0","    0","    0","  182","    0","   92","    0","    6","    0","    0","    0","    0","    0","    0","    0","    0","    1","    1","    0","    0","   18","    1","    1","    0","    8","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   93","    0","    0","    0","   28","    0","    0","    0","    3","   10","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"13826",NA,NA,"  535","    0","    0","    1","  210","    1","  101","    0","    7","    0","    0","    0","    0","    0","    0","    0","    0","    2","    7","    0","    1","    3","    5","    0","    0","   19","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","   99","    0","    0","    0","   25","    0","    0","    0","    1","   20","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0"
"13925",NA,NA,"  540","    0","    0","    0","  270","    1","  259","    0","   10","    1","    0","    0","    0","    0","    0","    0","    0","    1","    5","    0","    1","    9","    6","    0","    0","   31","    3","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  176","    0","    1","    0","   35","    0","    0","    0","    3","   29","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"14124",NA,NA,"  550","    0","    0","    0","  104","    1","   86","    0","    1","    1","    0","    1","    0","    0","    0","    0","    0","    2","    4","    0","    1","    9","    3","    0","    0","    8","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   95","    0","    1","    0","   19","    0","    0","    0","   12","   21","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1"
