"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acanthus","Alismataceae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Apium t.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Butomus","Campanulaceae","Cardueae undif.","Carya","Caryophyllaceae undif.","Centaurea","Ceratonia","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Corylus","Cotinus coggygria","Cupressaceae","Cyperaceae","Datisca cannabina","Dipsacaceae","Ephedra","Erica t.","Eucalyptus","Euphorbia t.","Fabaceae Undif.","Fagopyrum","Fagus","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Galium t.","Geraniaceae undif.","Hedera","Hymenophyllum flabellatum","Hypericum undif.","IsoÃ«tes","Lamiaceae undif.","Linum t.","Loranthus","Lysimachia","Lythrum","Malva undif.","Mercurialis","Myriophyllum spicatum/verticillatum t.","Olea t.","Persicaria t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Pterocarya","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Searsia","Solanaceae undif.","Sparganium","Thalictrum","Tilia","Trifolium t.","Ulmus t.","Unknown","Valeriana t.","Vitis"
" 5205"," 5446"," 4957","1450","0","0","0","0","160","0","0","26","0","0","0","16","9","0","1","0","1","0","0","0","1","1","0","67","5","0","0","0","0","0","76","0","3","1","0","0","0","10","0","0","58","0","6","0","0","0","0","1","0","0","0","2","0","0","1","0","1","0","0","0","0","1","0","4","2","1","0","24","3","0","1","34","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","50","0","0"
" 5493"," 5719"," 5255","1530","0","0","0","6","3","1","0","9","0","0","1","7","9","1","0","1","0","0","0","1","2","2","0","34","3","0","0","0","0","0","6","0","1","0","0","2","0","2","0","0","61","0","2","0","0","0","0","0","0","0","115","12","0","0","0","0","0","0","0","4","0","0","0","7","0","4","2","16","2","0","0","17","6","0","0","1","0","0","1","0","1","0","3","0","0","0","0","1","36","0","0"
" 5636"," 5857"," 5405","1570","0","0","0","0","1","0","0","9","0","0","0","4","4","0","0","0","0","0","5","2","0","1","0","20","2","0","0","0","0","0","2","0","1","0","0","0","0","5","0","0","10","0","1","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","3","0","0","0","1","0","4","0","37","0","0","0","20","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","54","0","0"
" 7073"," 7255"," 6888","1970","0","0","0","0","0","3","0","13","0","0","0","15","11","0","0","0","0","0","0","0","12","8","0","30","0","0","0","0","0","0","0","0","10","1","1","0","0","2","0","0","52","0","1","0","1","0","0","7","0","0","17","0","0","0","0","0","0","0","0","0","0","1","0","14","0","2","0","19","0","0","0","0","51","223","0","0","1","1","0","0","0","1","0","0","0","0","0","0","106","0","5"
" 7145"," 7325"," 6961","1990","0","0","0","0","0","0","0","27","0","0","1","13","19","1","0","0","0","0","0","0","0","4","0","48","1","0","0","0","0","0","2","0","2","0","0","0","0","5","0","0","8","0","0","0","0","0","1","4","0","0","17","0","0","1","2","0","0","0","0","0","0","5","0","8","1","1","0","19","0","1","0","133","6","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","86","0","1"
" 7396"," 7572"," 7218","2060","2","0","0","1","3","0","0","3","0","0","0","16","9","0","0","3","0","0","2","1","2","4","0","28","0","0","0","0","0","1","10","0","7","0","0","0","0","0","0","0","45","0","0","0","0","1","0","1","0","0","69","0","0","0","0","0","0","0","0","0","0","0","0","23","0","0","0","14","1","0","0","0","11","51","0","0","0","0","0","0","0","0","0","0","0","1","5","0","0","0","0"
" 7683"," 7857"," 7511","2140","0","0","0","0","5","0","0","47","0","0","0","24","34","0","0","0","0","0","4","0","4","9","1","134","2","0","0","0","0","0","3","0","2","11","0","0","0","8","0","0","29","0","0","0","0","2","1","9","0","0","32","0","0","0","0","0","0","0","0","0","0","4","0","12","3","3","1","23","2","0","0","281","46","0","5","0","0","0","0","4","1","0","0","0","0","0","1","1","0","0","4"
" 7755"," 7928"," 7584","2160","0","0","0","0","2","5","0","19","0","0","0","26","22","0","0","0","0","0","3","0","5","14","0","16","0","0","0","0","0","0","2","0","4","3","0","0","0","1","0","0","42","0","0","0","0","0","0","1","0","0","26","0","0","0","0","0","0","0","0","0","0","1","0","21","1","8","0","14","2","0","0","0","40","107","1","0","1","0","0","1","0","1","0","4","0","0","0","0","20","0","2"
" 7881"," 8052"," 7711","2195","0","0","0","0","2","6","0","41","0","0","1","28","13","0","0","1","0","0","4","0","22","10","0","21","0","1","0","0","1","0","4","0","9","4","0","0","0","0","1","0","27","0","0","0","1","2","1","3","0","0","66","1","1","0","0","0","0","0","0","0","0","1","0","16","2","2","0","20","2","0","0","193","69","0","9","0","0","0","0","4","0","0","1","0","0","0","5","1","0","0","3"
" 8079"," 8250"," 7912","2250","0","1","0","0","2","0","0","47","0","0","4","1","6","0","0","0","0","0","8","0","6","8","0","0","0","0","0","0","0","0","1","0","3","0","0","0","1","1","0","1","27","0","0","1","0","1","0","1","0","0","76","0","0","0","0","0","0","3","0","0","0","0","0","3","0","3","1","5","0","0","0","0","8","79","2","1","0","0","0","0","0","0","0","5","0","0","2","0","0","0","14"
