"Depth (cm)","Acacia t.","Acioa","Alchornea","Amaranthaceae undif.","Ambrosia t.","Apiaceae undif.","Apocynaceae undif.","Artemisia","Asteroideae undif.","Balanites","Caesalpinioideae","Calligonum","Canthium","Cassia","Celastraceae/Hippocrateaceae","Celtis","Cichorieae","Cissus t.","Combretaceae","Commelina","Commiphora","Crossopteryx","Cyperaceae","Drypetes molunduana","Elaeis","Ephedra","Euphorbia t.","Euphorbiaceae undif.","Faboideae Undif.","Fern","Heliotropium","Hymenocardia","Indeterminable","Indigofera","Lannea","Maerua","Manilkara","Meliaceae undif.","Monoletes","Mussaenda","Nyctaginaceae","Petaloid monocot","Pinus undif.","Plantago","Poaceae","Polygala","Ptychopetalum","Rhizophora","Rubiaceae undif.","Sapindaceae undif.","Searsia","Sterculia undif.","Tribulus","Trichodesma","Triletes","Typha","Uapaca","Ulmus t.","Zygophyllum t."
" 79","  0","  0","  2"," 27","  0","  1","  0"," 47","  5","  2","  0","  1","  0","  0","  0","  0","  0","  0"," 12","  0","  0","  0","  9","  1","  1"," 11","  0","  1","  1","  9","  0","  1","  2","  2","  0","  0","  0","  0","  3","  0","  1","  0","  0","  1","276","  1","  0","  1","  2","  0","  0","  1","  0","  1","  6","  1","  3","  0","  0"
" 96.8","  1.0","  0.0","  1.0"," 17.0","  0.0","  0.0","  1.0"," 13.0","  6.0","  0.0","  6.0","  0.0","  1.0","  1.0","  1.0","  9.0","  1.0","  1.0"," 14.0","  0.0","  0.0","  3.0"," 22.0","  0.0","  1.0","  2.0","  0.0","  0.0","  0.0"," 19.0","  1.0","  7.0","  4.0","  2.0","  0.0","  0.0","  2.0","  4.0","  8.0","  1.0","  0.0","  1.0","  2.0","  1.0","271.0","  0.0","  1.0","  0.0","  0.0","  1.0","  1.0","  2.0","  0.0","  0.0"," 11.0","  8.0","  5.0","  0.0","  0.0"
"112.3","  2.0","  1.0","  2.0"," 23.0","  2.0","  0.0","  0.0","  9.0","  1.0","  3.0","  4.0","  5.0","  0.0","  2.0","  0.0","  0.0","  4.0","  0.0","  9.0","  1.0","  1.0","  0.0"," 34.0","  0.0","  2.0"," 44.0","  1.0","  1.0","  0.0"," 14.0","  0.0","  2.0","  7.0","  0.0","  2.0","  2.0","  0.0","  2.0","  7.0","  0.0","  0.0","  4.0","  6.0","  0.0","271.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  2.0","  0.0","  7.0","  3.0","  0.0","  1.0","  1.0"
