"age_NA","ageolder_BP","ageyounger_BP","depth","Sample quantity","Alchemilla t.","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Calluna","Campanulaceae","Cardueae undif.","Carum verticillatum","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Conopodium majus","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Fabaceae Undif.","Fern","Frangula","Fraxinus","Galium t.","Genisteae","Gentiana t.","Halimium/Tuberaria","Hedera","Hypericum undif.","Ilex","Linum t.","Lotus t.","Lycopodium spike","Lycopodium tablets","Lysimachia","Menyanthes","Mercurialis","Musci","Olea t.","Paronychieae","Pedicularis","Pentaglottis sempervirens","Petaloid monocot","Phillyrea","Physospermum cornubiense","Pinus nigra/sylvestris t.","Pinus pinaster","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Potentilla t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Reseda/Sesamoides","Rosa t.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifraga t.","Sparganium","Spergularia t.","Thymelaeaceae undif.","Trifolium t.","Ulmus t.","Urtica t.","Viola","Vitis"
NA,NA,NA,"135","0.282","0","9","0","1","26","0","1","0","1","14","0","6","0","0","0","2","0","0","0","0","2","0","1","0","0","0","0","0","4","0","6","0","0","2","7","61","0","0","0","0","0","0","76","0","0","0","0","0","0","0","0","0","2","0","0","4","16","2","0","601","0","0","0","37","47","4","0","0","0","19","0","0","0","0","0","13","0","0","0","0","0","0"
NA,NA,NA," 45",NA,"0","8","0","0","5","0","1","0","0","12","0","20","0","0","0","2","0","0","0","0","0","2","1","1","4","0","0","0","24","0","13","0","0","1","1","2","0","0","1","0","0","0","195","0","0","0","0","0","2","1","0","0","8","0","0","4","2","6","0","329","0","0","0","5","34","2","0","0","0","8","0","0","0","0","0","2","0","0","0","0","0","0"
NA,NA,NA," 85","0.282","0","4","1","0","2","0","2","0","0","2","2","22","0","0","0","0","0","0","0","0","2","1","0","0","11","0","0","0","26","0","13","0","0","1","6","11","0","0","0","0","0","0","73","0","0","0","0","2","0","0","0","0","23","1","0","2","5","3","1","92","1","0","0","114","33","1","0","0","0","15","0","0","0","0","0","1","0","0","0","0","0","0"
NA,NA,NA,"  8","0.282","0","2","0","1","4","0","0","0","0","0","0","0","0","0","0","2","1","0","1","0","0","0","0","1","23","0","0","0","23","0","8","0","0","4","2","1","0","0","0","0","0","0","96","0","0","1","0","0","76","1","1","0","0","0","0","2","98","23","0","146","5","0","0","41","14","2","3","0","0","12","0","1","0","0","0","3","0","0","0","0","0","1"
NA,NA,NA,"130","0.282","0","11","0","0","47","0","1","1","0","385","0","81","1","0","0","1","0","1","0","0","9","0","1","0","3","0","0","0","7","0","12","0","0","0","12","34","0","0","0","0","0","0","145","0","0","0","0","0","0","0","0","1","77","0","0","8","25","0","1","228","1","0","0","49","98","4","2","0","0","16","0","0","0","0","0","2","0","0","1","0","0","0"
NA,NA,NA," 55","0.282","0","6","0","0","6","0","4","0","1","2","0","4","11","1","0","0","0","1","7","0","2","1","4","0","77","0","0","0","32","0","16","0","0","2","5","6","1","0","0","0","0","0","100","0","0","0","0","0","0","7","4","0","2","1","0","2","21","89","1","746","2","0","0","7","69","1","0","0","0","13","0","0","0","0","0","0","0","0","1","0","0","0"
NA,NA,NA,"105","0.282","0","15","2","0","4","0","1","0","1","9","0","3","4","0","0","2","0","0","1","0","1","0","11","0","1","0","0","0","15","0","17","0","0","7","16","4","0","0","0","1","1","0","151","0","0","0","0","0","3","3","8","0","70","0","0","7","21","2","0","566","0","0","0","35","114","2","2","0","0","11","0","0","0","0","0","2","0","0","0","0","0","1"
NA,NA,NA," 80","0.282","0","27","1","0","2","0","2","0","1","13","0","171","0","0","0","1","0","0","1","0","4","1","3","0","81","0","0","0","73","0","17","0","0","1","2","6","0","1","0","0","0","0","198","0","0","0","1","3","2","0","0","0","1","3","0","13","30","6","0","104","1","0","0","3","96","10","0","0","1","9","0","1","1","0","0","1","0","1","0","0","0","0"
NA,NA,NA,"140","0.282","0","10","0","0","25","0","2","0","3","11","1","11","0","1","0","4","0","1","0","0","5","1","3","0","9","0","0","0","6","0","21","0","1","12","8","125","0","0","1","0","0","0","78","0","0","0","0","0","3","0","0","0","9","0","2","12","59","2","2","1004","0","0","0","100","96","2","0","0","2","23","0","0","0","0","0","5","0","0","0","0","0","0"
NA,NA,NA," 95","0.282","0","16","1","1","10","0","4","0","0","10","0","95","0","0","0","3","0","0","1","0","11","0","3","0","13","0","0","0","25","0","7","0","0","1","3","51","0","0","0","0","0","0","121","0","0","0","0","0","1","0","2","0","38","0","0","5","21","74","1","210","1","0","0","24","106","4","2","0","1","43","1","0","1","0","0","0","0","0","0","1","2","0"
