"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Boraginaceae undif.","Carpinus","Centaurea","Cichorieae","Corylus","Crassulaceae","Cyperaceae","Dipsacaceae","Ephedra","Euphorbiaceae undif.","Fabaceae Undif.","Fern-Lycopodiaceae","Fraxinus","Galium t.","Geraniaceae undif.","Juglans","Malva undif.","Olea t.","Petaloid monocot","Pinus mediterranea","Pistacia","Plantago","Poaceae","Pollen concentration","Polygonum t.","Populus","Potamogeton","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Sparganium","Thymelaeaceae undif.","Typha"
" 9489.6",NA,NA,"  630.0","  191.0","   83.0","    1.0","    0.0","   30.0","    0.0","    0.0","    2.0","   26.0","    0.0","    0.0","    0.0","   13.0","    0.0","    0.0","   17.0","   78.0","    0.0","    0.0","    0.0","    0.0","    2.0","    6.0","   16.0","    7.0","    1.0","    8.0","   36.0","10679.0","    0.0","    0.0","  275.0","   11.0","   58.0","    0.0","    2.0","    0.0","    1.0"
" 9657.7",NA,NA,"  640.0","  165.0","  104.0","    2.0","    0.0","   42.0","    0.0","    0.0","   10.0","   28.0","    0.0","    0.0","    1.0","   61.0","    2.0","    0.0","    9.0","  229.0","    0.0","    0.0","    0.0","    0.0","    3.0","    2.0","    2.0","    0.0","    0.0","    7.0","   34.0","10679.0","    0.0","    0.0","   22.0","    7.0","   44.0","    0.0","    0.0","    0.0","    0.0"
" 9783.8",NA,NA,"  650.0","  289.0","   33.0","    3.0","    1.0","    7.0","    0.0","    0.0","    9.0","    2.0","    6.0","    0.0","    1.0","    2.0","    2.0","    0.0","   10.0","   46.0","    0.0","    0.0","    0.0","    0.0","    0.0","   10.0","   24.0","    0.0","    1.0","   22.0","   51.0","10679.0","    0.0","    0.0","  610.0","   24.0","   48.0","    3.0","   19.0","    0.0","    1.0"
" 9907.5",NA,NA,"  660.0","  279.0","   27.0","    7.0","    1.0","   16.0","    5.0","    0.0","    8.0","    8.0","    3.0","    0.0","    1.0","    1.0","    4.0","    0.0","   23.0","   81.0","    8.0","    0.0","    2.0","    0.0","    0.0","    1.0","    3.0","    1.0","    0.0","   52.0","   38.0","10679.0","    0.0","    0.0","  570.0","   27.0","   27.0","    0.0","   16.0","    0.0","    4.0"
"10037.9",NA,NA,"  670.0","  275.0","   25.0","    7.0","    0.0","    8.0","    0.0","    0.0","    1.0","    8.0","    2.0","    0.0","    0.0","    0.0","    0.0","    2.0","   15.0","   42.0","    0.0","    1.0","    1.0","    0.0","    2.0","    4.0","   22.0","    0.0","    2.0","   39.0","   54.0","10679.0","    0.0","    0.0","  705.0","    9.0","   24.0","   11.0","   23.0","    4.0","    0.0"
"10173",NA,NA,"  680","  187","   85","    8","    0","   27","    0","    0","   12","   38","    8","    0","    0","   12","    8","    5","    2","  126","    0","    0","    3","    0","    2","    4","    4","    2","    0","   40","   71","10679","    0","    0","  343","   32","   36","    0","   57","    0","    0"
"10307.1",NA,NA,"  690.0","  107.0","   53.0","   10.0","    2.0","   54.0","    2.0","    0.0","    9.0","   32.0","    3.0","    2.0","    1.0","   12.0","    5.0","    0.0","    7.0","   82.0","    1.0","    0.0","    6.0","    0.0","    1.0","    1.0","   11.0","    4.0","    4.0","   47.0","   58.0","10679.0","    1.0","    1.0","    6.0","   21.0","   46.0","    0.0","    1.0","    0.0","    0.0"
"10440.8",NA,NA,"  700.0","  189.0","   45.0","    7.0","    1.0","   14.0","    0.0","    1.0","   10.0","    9.0","    1.0","    0.0","    0.0","    5.0","    1.0","    0.0","   12.0","   45.0","    0.0","    0.0","    2.0","    1.0","    0.0","    1.0","   13.0","    2.0","    1.0","   44.0","   40.0","10679.0","    0.0","    0.0","  225.0","   52.0","   85.0","    0.0","   17.0","    0.0","    0.0"
"10582.5",NA,NA,"  710.0","   80.0","   76.0","    0.0","    0.0","   67.0","    0.0","    0.0","    0.0","   31.0","    0.0","    0.0","    0.0","    8.0","    4.0","    0.0","    0.0","  404.0","    0.0","    0.0","    8.0","    0.0","    1.0","    4.0","    2.0","    0.0","    0.0","    0.0","   38.0","10679.0","    0.0","    0.0","    0.0","    0.0","   16.0","    0.0","    0.0","    0.0","    0.0"
"10782.3",NA,NA,"  720.0","   16.0","   20.0","    0.0","    0.0","   26.0","    0.0","    0.0","    3.0","    3.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","  101.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    3.0","   28.0","10679.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0"
"10986.9",NA,NA,"  730.0","   28.0","   31.0","    0.0","    0.0","   28.0","    0.0","    1.0","    1.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    4.0","  101.0","    0.0","    0.0","    0.0","    0.0","    1.0","    2.0","    4.0","    4.0","    0.0","    0.0","   16.0","10679.0","    0.0","    0.0","    0.0","    2.0","   10.0","    0.0","    0.0","    0.0","    0.0"
"11187.8",NA,NA,"  740.0","   15.0","   13.0","    0.0","    0.0","   14.0","    0.0","    0.0","    0.0","    6.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","   55.0","    0.0","    0.0","    2.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    7.0","10679.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0"
